Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian offers modern, clean rooms at a good value, though it is located outside the city center, next to the Four Points Hotel. Some reviewers suggest that it is more affordable compared to other Starwood properties, but potentially not as luxurious as options like the Westin."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious, well-furnished apartments with kitchens and laundry facilities, providing a comfortable stay for families or groups. It is located in the CBD, near the Guo Mao subway station, with on-site amenities like a pool, gym, and restaurants."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style courtyard hotel located in a hutong near Tiananmen Square, offering clean, comfortable rooms with modern bathrooms, free internet, and a choice of Chinese or Western breakfast. Though in a traditional neighborhood, it provides a tricycle service to main roads and airport pickup (potentially free), balancing local experience with convenient amenities."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel offers traditionally decorated rooms with modern amenities like free internet and flat-screen TVs, situated in Beijing's hutong district near the subway. While some found the beds firm and breakfast average, others appreciated the value, peaceful courtyard, and convenient access to local dining and attractions."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms, including a 3-bedroom option with a full kitchen, dining room, and washer/dryer, at a rate of $85-$92 USD per night. The hotel also features a workout room and a small restaurant."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel is a 3-4 star hotel that offers clean, recently refurbished rooms and a breakfast buffet with both Western and Asian options. It is located about a 30-minute walk or a short taxi ride from Tiananmen Square."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel offers budget-friendly accommodations with options ranging from dorm rooms to private hotel rooms, located in the traditional hutong area close to Tiananmen Square. While basic, it provides amenities like a restaurant, bar, and tour booking services, with some rooms offering features like TVs and refrigerators."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel offers rooms in multiple buildings, with Building 1 being rated as 5-star and having mini-suites, while Building 4 is cheaper but has harder beds; the hotel has a variety of amenities, including multiple restaurants, a supermarket, and a fitness center with a pool (for an extra charge). Some reviewers found the hotel to be a good value, especially with conference rates, but others felt it was not up to international standards for a 4-star hotel, suggesting that better deals could be found elsewhere."
china_beijing_beijing_guangming_hotel,"The Guangming Hotel offers modern, clean rooms with amenities such as LCD TVs with international channels and comfortable beds, at a rate of around $90 per night. It is located near the embassy district and provides currency exchange services."
china_beijing_beijing_hotel,"The Beijing Hotel is in a central location near Tiananmen Square and the Forbidden City, with some rooms offering views of these landmarks; it is less expensive than the Raffles Hotel which is next door, and the Grand Hyatt across the street. Some reviewers mention that the hotel appears older and less modern than these alternatives."
china_beijing_beijing_international_hotel,"Beijing International Hotel is a large, centrally located hotel with a breakfast buffet, multiple restaurants, gym, and spa; while some reviewers mention that it may not be up to true 5-star Western standards, promotional deals may be available. It is located near a shopping mall, grocery store, and the train station, with easy access to major attractions via walking, taxi, or subway."
china_beijing_beijing_jade_international_youth_hostel,"Jade Youth Hostel offers budget-friendly accommodations with private rooms and dorms, with reviewers noting it is clean with hotel-like amenities such as TV and daily cleaning; it is located within walking distance of the Forbidden City, and offers services such as tour booking. Breakfast is available for an extra charge, and internet is available."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a traditional courtyard hotel located in a hutong, offering a unique Chinese experience with clean rooms, AC, and internet access. Though not luxurious, it provides comfortable amenities and is conveniently located near the metro and tourist attractions."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern, luxurious hotel with spacious, well-appointed rooms and amenities often available at a great value, sometimes comparable in price to lower-rated hotels. While some found the restaurants expensive, others noted better, cheaper options nearby and that the hotel's location, though not in the center, was convenient due to inexpensive taxi services."
china_beijing_capital_hotel_beijing,"The Capital Hotel in Beijing offers spacious rooms and is located within walking distance of Tiananmen Square and the Forbidden City, with breakfast included in some packages. Some reviewers mention that it's a good value for the money, but others note that some aspects of the hotel are expensive, such as the restaurants and internet."
china_beijing_china_world_hotel,"The China World Hotel is part of the Shangri-La chain and is connected to the China World shopping mall, with designer stores and restaurants. Some reviewers found it luxurious, especially the Horizon Club rooms, but others found it overpriced for what it offers."
china_beijing_city_hotel_beijing,"The City Hotel is a no-frills hotel with clean rooms and friendly staff, located close to bars, restaurants, and the subway. The hotel offers apartments with single beds, but some guests have reported issues with hard beds and a lack of utensils."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers a unique experience in architect-designed villas with private access to an unrestored section of the Great Wall, but some reviewers found it overpriced for the level of service and amenities. While some guests found the food and spa services to be of good quality, others cited issues with the high cost of dining, spa treatments, and transportation."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing with beautifully furnished, small rooms and free internet. The hotel is located off Nanluoguxiang, near designer shops, bars, and restaurants, and offers amenities such as free bicycle hire, cheap laundry service, and both Western and traditional Chinese breakfast options."
china_beijing_courtyard_by_marriott,"The Courtyard by Marriott Beijing offers a convenient location connected to a shopping mall with various dining options, but some rooms may be outdated and the service can be inconsistent. Some reviewers found it to be good value for the location, while others found the quality lacking compared to other hotels in the same price range."
china_beijing_courtyard_by_marriott_beijing_northeast,"The Beijing Courtyard Marriott Northeast is a modern, high-rise hotel located about 20 minutes from the airport, with clean rooms, flat-screen TVs, and modern bathrooms. Some reviewers mentioned reasonable taxi fares to city locations and an affordable breakfast option if booked with the room."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing Wangfujing is a recently renovated hotel with comfortable rooms and a convenient location on Wangfujing Street, with rates that many reviewers found provided good value. Some reviewers recommend booking Club rooms for extra amenities, such as free internet and happy hour, which they felt were worth the extra cost."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel is reported to be cheaper than comparable downtown hotels, offering good value for money, especially when booking advance purchase packages on the Crowne Plaza website. Guests can enjoy amenities such as a gym, a heated indoor swimming pool, and a Club Lounge with free internet access for club rooms and suites."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel offers nice, clean rooms and decent service at a good value, with rooms around 400 RMB, but some reviewers noted overcharges on internet and other services. It is located close to the airport and exhibition center, but is far from the city center."
china_beijing_crowne_plaza_park_view_wuzhou,"The Crowne Plaza Wuzhou offers spacious and clean rooms with a breakfast buffet catering to international cuisines, but internet access is expensive. Some reviewers noted corporate rates include internet, and there's a small mall nearby with affordable food options."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel offers spacious rooms, comfortable beds, and a high-quality buffet breakfast, with rates around $100 per night according to a review from 2009. While some found the location inconvenient, the hotel is near a subway station, providing access to the city, and reviewers noted the ongoing construction in the surrounding area."
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City Beijing is a modern, clean, and well-equipped hotel with small rooms and affordable prices, located near major attractions like Forbidden City and Tiananmen Square. Some rooms are in the basement with small windows, and breakfast is available for an extra charge."
china_beijing_days_inn_joiest_beijing,"Days Inn Joiest in Beijing offers modern, clean rooms with flat-screen TVs and buffet breakfast, but some guests have reported issues with noise and language barriers with staff. While some reviewers considered it a four-star hotel, others thought it was closer to a two-star, with mixed experiences regarding cleanliness and maintenance."
china_beijing_double_happiness_courtyard_hotel,"The Double Happiness Courtyard Hotel offers traditionally decorated rooms around a courtyard, with free internet and breakfast included. Some reviewers found it good value for money at around $110 USD per night, while others noted basic service and occasional issues with plumbing or room temperature."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree Hilton Beijing offers modern, spacious rooms and amenities such as a rooftop pool, gym, and executive lounge. Some reviewers mention good deals, such as suite upgrades for under $100, and note that while the hotel is not centrally located, taxis are readily available and inexpensive."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel offers large rooms and a restaurant with an excellent and varied buffet for around £8. Rooms have wired internet access, and the hotel contains a Vegas-like mall in the basement with restaurants, boutiques, a spa, and a gym/pool free for VIP guests."
china_beijing_fujian_hotel,"The Fujian Hotel in Beijing offers comfortable rooms with amenities expected of a 4-5 star hotel at a cost of around RMB 580. It is conveniently located near the 3rd ring road and a mall, with free WIFI, and a breakfast buffet with both Western and Chinese options."
china_beijing_gloria_plaza_hotel_beijing,"Gloria Plaza Hotel is conveniently located near the subway and shopping areas, with spacious rooms, but some guests have noted that the rooms are worn and in need of renovation. The breakfast buffet offers a wide range of options, and the hotel provides amenities such as a fitness center and pool."
china_beijing_grand_hotel_beijing,"The Grand Hotel Beijing is a traditional hotel with spacious rooms and a luxurious feel, located near the Forbidden City and Tiananmen Square, and is considered a good value for its price. While some found it expensive, others felt it offered a balance of luxury and affordability compared to other hotels like the Grand Hyatt and Raffles."
