Hotel,Summary
china_beijing_aloft_beijing_haidian,"This hotel is located in the Haidian district of Beijing, next to a Four Points Hotel and near a large shopping mall. It is not centrally located and requires taxi rides to reach the subway or other attractions."
china_beijing_ascott_beijing,"This hotel information does not contain information about mountain resorts. The Ascott Beijing offers spacious apartments with amenities like kitchens, laundry facilities, and multiple bedrooms, suitable for families or groups. The hotel also features a pool and gym."
china_beijing_autumn_garden_courtyard_hotel,"This is a courtyard hotel in a hutong, near Tiananmen Square, accessible via narrow alleyways and a tricycle service. The hotel offers free internet, breakfast, and a mobile phone for use during the stay."
china_beijing_bamboo_garden_hotel,"There is no information about mountain resorts in the hotel reviews. The hotel is located in Beijing, in the hutongs area."
china_beijing_beijing_century_towers,"I am sorry, but the provided hotel reviews do not mention anything about mountain resorts. Therefore, I cannot provide a summary that extracts information relevant to the query."
china_beijing_beijing_dong_fang_hotel,"This hotel is located outside of the city center, about a 20-30 minute walk to Tiananmen Square. The hotel caters to large groups and the staff generally speaks English."
china_beijing_beijing_far_east_international_youth_hostel,"There is no mention of mountain resorts in the reviews. The hotel is located in the hutongs in Beijing, about 1-2 km south of Tiananmen Square."
china_beijing_beijing_friendship_hotel_grand_building,"There is no information about mountain resorts in the hotel reviews. The Friendship Hotel is a large complex with multiple buildings, restaurants (including a TGI Friday's), shops, and a supermarket on site, located in northwest Beijing."
china_beijing_beijing_guangming_hotel,"The Guangming hotel in Beijing is near the US and Japanese embassies, off the 3rd Ring road. Rooms are modern, clean, and equipped with LCD TVs featuring international channels."
china_beijing_beijing_hotel,"This hotel is located near Tiananmen Square and the Forbidden City, close to a subway stop and the Wangfujing shopping area. The hotel consists of multiple buildings, with some rooms offering views of the Forbidden City."
china_beijing_beijing_international_hotel,"There is a rotating restaurant on the 28th floor, and a spa center, but the swimming pool may be closed. The hotel also has a gym that was being upgraded as of 2008."
china_beijing_beijing_jade_international_youth_hostel,"I am sorry, but this document does not contain any information about mountain resorts. It contains reviews for the Beijing Jade Youth Hostel."
china_beijing_beijing_sihe_courtyard_hotel,"I am sorry, but the reviews do not mention any mountain resorts. The reviews are about a courtyard hotel in Beijing."
china_beijing_bohao_radegast_hotel_beijing,"There is no information about mountain resorts in these hotel reviews. The Radegast Hotel CBD Beijing is a modern, luxurious hotel located in the Central Business District of Beijing. It offers spacious rooms, multiple restaurants, a spa, and a swimming pool."
china_beijing_capital_hotel_beijing,"I am sorry, but the provided hotel reviews do not contain information about mountain resorts. Therefore, I am unable to generate a summary based on the query."
china_beijing_china_world_hotel,"There is no information about mountain resorts in these hotel reviews. The China World Hotel is described as a luxurious business hotel with spacious rooms, a gym, and a pool, located in the Chaoyang district of Beijing, close to shopping and a subway stop."
china_beijing_city_hotel_beijing,"I am sorry, the provided text does not contain information about mountain resorts, but rather a hotel in Beijing with mixed reviews. The City Hotel is described as a standard, no-frills accommodation, conveniently located near bars, restaurants, and the subway."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is located in a valley near the Great Wall, offering access to a private, unrestored section of the wall via a steep, 20-minute path. It consists of architecturally unique villas spread across the mountainside, with shuttle service available."
china_beijing_courtyard_7,"This courtyard hotel is located in the hutong area of Beijing, near Nanluoguxiang street. It is within walking distance of Hohai Lake, Beihai Park, and the Forbidden City."
china_beijing_courtyard_by_marriott,"I am sorry, but this document does not contain information about mountain resorts. Therefore, I cannot generate a summary based on the query."
china_beijing_courtyard_by_marriott_beijing_northeast,"There is a fitness room, lap pool, and hot tub at the hotel. The hotel is a high-rise building, and rooms on higher floors have less traffic noise."
china_beijing_crowne_plaza_hotel_beijing,"This query cannot be fulfilled, as the hotel is in Beijing and there is no information about mountain resorts."
china_beijing_crowne_plaza_hotel_zhongguancun,"There is a warm indoor pool available. The hotel is located near Peking University and Tsinghua University, about 45 minutes from the city center by subway."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"This hotel is located near the Beijing Capital Airport and the International Exhibition Center, with a free airport shuttle service. It is primarily a business hotel, with amenities such as a gym, business center, and restaurants."
china_beijing_crowne_plaza_park_view_wuzhou,"I am sorry, but the provided hotel reviews do not contain information about mountain resorts. Therefore, I cannot generate a relevant summary."
china_beijing_crowne_plaza_sun_palace_beijing,There is a spa with a swimming pool and saunas. The hotel also has a fitness center.
china_beijing_days_inn_forbidden_city_beijing,"I'm sorry, but none of the reviews discuss mountain resorts. All of the reviews are for the Days Inn Forbidden City in Beijing."
china_beijing_days_inn_joiest_beijing,"I am sorry, but the query is ""What are the best mountain resorts?"" and the document is about a hotel in downtown Beijing. Therefore, there is no relevant information to extract from the document."
china_beijing_double_happiness_courtyard_hotel,"I am sorry, but this document contains hotel reviews from Beijing, China, and does not contain information about mountain resorts."
china_beijing_doubletree_by_hilton_beijing,"There is a rooftop garden including an in-door swimming pool near the seperate spa rooms and gym. The hotel also features a 3rd floor outdoor roof garden, swimming pool and health spa."
china_beijing_empark_grand_hotel,"I am sorry, but the provided hotel information does not mention any mountain resorts. Therefore, I cannot provide a relevant summary."
china_beijing_fujian_hotel,"There is no information about mountain resorts in the hotel reviews. The reviews mention that the hotel is located near the 3rd ring road and a mall with a supermarket and Starbucks, about 20-30 minutes from the airport."
china_beijing_gloria_plaza_hotel_beijing,"There is no mention of mountain resorts in the reviews for the Gloria Plaza Hotel. The hotel is located in Beijing and is near shopping, restaurants, and subway stations."
china_beijing_grand_hotel_beijing,"There is no information about mountain resorts in these hotel reviews. The Grand Hotel in Beijing is centrally located near the Forbidden City and Tiananmen Square. The hotel offers spacious rooms, a breakfast buffet, and an indoor pool."
china_beijing_grand_hyatt_beijing,"I'm sorry, but this query is unanswerable. The provided hotel information does not mention mountain resorts."
china_beijing_grand_mercure_hotel_xidan,"There is no information about mountain resorts in these hotel reviews. The Grand Mercure Hotel Xidan Beijing is near the Forbidden City and Tiananmen Square, with subway stations and shopping malls within walking distance."
china_beijing_grand_millennium_beijing,There is no information about mountain resorts in the hotel reviews.
china_beijing_grand_view_garden_hotel,"I am sorry, but the query ""What are the best mountain resorts?"" is not relevant to the hotel reviews provided. The reviews describe the Grand View Garden Hotel in Beijing, focusing on its cleanliness, location, amenities, and service quality, and do not contain information related to mountain resorts."
china_beijing_guangzhou_hotel,"I am sorry, but the document does not contain information about mountain resorts. It contains hotel reviews for the Guangzhou Hotel in Beijing."
china_beijing_harmony_hotel,This query is unanswerable. The provided reviews do not contain information about mountain resorts. The reviews are for the Harmony Hotel in Beijing.
china_beijing_hebei_hotel_beijing,"I am sorry, but this document does not contain information about mountain resorts. It contains reviews for the Hebei Guest House in Beijing. Therefore, I cannot provide a summary that extracts information relevant to the query about mountain resorts."
china_beijing_hilton_beijing,"I am sorry, but the query is about mountain resorts and the reviews are about the Hilton Beijing. This hotel is located in Beijing, China. The hotel has undergone renovations, offers multiple restaurants, and has a gym with a pool and squash courts."
china_beijing_hilton_beijing_wangfujing,"I am sorry, but this document contains hotel reviews for a hotel in Beijing, China. Therefore, I cannot provide a summary of mountain resorts."
china_beijing_holiday_inn_beijing_lido,"I am sorry, but the query is about mountain resorts while the document contains hotel reviews. I am unable to provide an answer."
china_beijing_holiday_inn_central_plaza,"I am sorry, but mountain resorts are not mentioned in these hotel reviews."
china_beijing_holiday_inn_chang_an_west,"I'm sorry, but the provided hotel reviews do not mention anything about mountain resorts. Therefore, I cannot generate a summary based on that topic. The reviews focus on the Holiday Inn Chang An West in Beijing, its location, services, and amenities."
china_beijing_holiday_inn_downtown_beijing,"I am sorry, but this document does not contain information about mountain resorts. It discusses the Holiday Inn Downtown Beijing, including its location, amenities, and renovations."
china_beijing_holiday_inn_express_beijing_minzuyuan,"There is no information about mountains or resorts in these hotel reviews. The hotel is near the Olympic venues, a subway station, and the Chinatown shopping center. Some rooms overlook an atrium, while others have outside views."
