Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian is a modern, stylish hotel with clean rooms, though some reviewers mention that the common areas appear to be degrading quickly. The hotel is located next to a Four Points Hotel and has a gym and pool."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious apartments with fully equipped kitchens and laundry facilities, catering to families and groups seeking a comfortable stay. Its location in the CBD provides convenient access to restaurants, shops, and subway lines, with amenities including a pool, gym, and on-site dining options like Starbucks and Italian cuisine."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style courtyard hotel located in a hutong (alleyway) near Tiananmen Square. Rooms are clean and comfortable with modern bathrooms, and the hotel offers amenities such as free internet and a mobile phone for guests to use."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is a traditionally decorated hotel located in the hutongs, offering a peaceful environment with gardens and courtyards, and rooms equipped with computers and flat-screen TVs. It is located within walking distance of the subway, lakes, and restaurants."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with multiple bedrooms, full kitchens, dining rooms, and washer/dryers. The rooms include flat-screen TVs and access to a workout room."
china_beijing_beijing_dong_fang_hotel,"The hotel has a pleasant courtyard, a coffee shop with character in an older part of the building (named 1918), and a lobby bar. Rooms were described as modern, clean, and comfortable after refurbishment."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel is located in a traditional hutong area, offering a glimpse into local Beijing life. It features a courtyard, cafe, and basement bar with internet access and movie screenings, providing communal spaces for travelers."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is a large complex with multiple buildings set in a garden-like area, offering a tranquil environment away from the city's chaos. It features traditional Beijing-style architecture, underground walkways connecting buildings, and several restaurants and shops."
china_beijing_beijing_guangming_hotel,"The Guangming hotel features modern, hi-tech decorated rooms with LCD TVs and international channels, and a lobby that is clean and 5-star-ish. It is located off the 3rd Ring road near a food street and embassies."
china_beijing_beijing_hotel,"The Beijing Hotel has a location near Tiananmen Square and the Forbidden City, with some rooms having views, and is connected to the Raffles Hotel. Some reviewers mention the hotel appears old, but the rooms are large, clean, and include amenities."
china_beijing_beijing_international_hotel,"The Beijing International Hotel has spacious, clean rooms with marble bathrooms, and offers amenities like a gym and spa. There is a revolving restaurant on the 28th floor with city views, and a shopping center located across the street."
china_beijing_beijing_jade_international_youth_hostel,"Jade International Youth Hostel has a nicely decorated breakfast area and reading room in a traditional style, as well as a common area with a TV, stereo, couches, and books. Rooms include TVs, and the lobby has free WiFi."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a small, well-run hotel with a lot of traditional Chinese atmosphere in a hutong neighborhood. The courtyard is beautiful and peaceful, and the hotel has a down-to-earth feel."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern hotel with luxurious interiors, including marble columns and glass adornments in the lobby, and rooms featuring modern color schemes, flat screen TVs, and impressive bathrooms. Some reviewers noted the hotel was new and a bit unfinished, but offered great service."
china_beijing_capital_hotel_beijing,"The Capital Hotel has a spacious lobby with restaurants and shops, and offers amenities such as a bowling alley and pool. The hotel is located within walking distance of Tiananmen Square, Forbidden City, and Wangfujing shopping street."
china_beijing_china_world_hotel,"The China World Hotel has a grand and opulent lobby with live music, and rooms that are well-equipped with comfortable beds and modern, spacious bathrooms. It is connected to a high-end shopping mall and located near a subway stop for easy access to tourist sites."
china_beijing_city_hotel_beijing,"The City Hotel is centrally located in Beijing near bars and restaurants, and a short walk to the subway. Reviews mention standard Chinese service, clean rooms, and staff who do not speak English."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is a collection of architect-designed villas spread across a valley, offering private access to an unrestored section of the Great Wall. The hotel features a main building with restaurants and a spa, and guests are transported around the property in BMWs."
