Hotel,Summary
china_beijing_aloft_beijing_haidian,"The Aloft Beijing Haidian is a modern and stylish hotel with clean, well-appointed rooms, but some reviewers note that the common areas appear to be degrading quickly. The hotel's decor of the lobby/ground floor area is modern and stylish."
china_beijing_ascott_beijing,"Ascott Beijing offers spacious, well-furnished apartments with amenities like fully equipped kitchens and laundry facilities, alongside features such as a pool, gym, and on-site dining. The apartments range from 2 to 3 bedrooms and are located in the CBD, close to transportation and shopping."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style hotel located in a hutong near Tiananmen Square. It offers rooms with modern western-style bathrooms, free internet, and a choice of English or Chinese breakfasts."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong and features a traditional Chinese courtyard setting. Rooms include modern amenities like flat-screen TVs, free internet via in-room computers, and updated bathrooms, while maintaining Chinese-style decor and furniture."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style spaces with amenities like full kitchens, dining rooms, washer/dryers, and flat-screen TVs. The rooms are described as spartan and clean."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel features a coffee shop with character in an older part of the building dating back to 1918, and rooms were recently refurbished, offering modern amenities. Some reviewers mention the hotel having western-style features alongside more traditional aspects, such as an extensive Chinese buffet."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel is located in a traditional hutong area, offering a glimpse into old Beijing. It features a courtyard and communist decor, blending cultural elements with basic amenities."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is a large complex comprised of multiple buildings in traditional Beijing style with grey brick and Chinese roofs, surrounded by maintained gardens. Some rooms have been recently remodeled, while others retain older communist hotel fixtures."
china_beijing_beijing_guangming_hotel,"The Guangming hotel was recently remodeled before the Olympics and has a modern, hi-tech decor. The lobby is clean and ""5-star-ish""."
china_beijing_beijing_hotel,"The Beijing Hotel consists of three distinct buildings, with Building A being the newest and Buildings B and C representing older, pre-Mao and communist-era styles; the Raffles group has reportedly taken over managing the older parts of the hotel, potentially blending its renowned style with the hotel's historic elements. Some rooms in Building C have been updated with 10-foot ceilings and marble bathrooms."
china_beijing_beijing_international_hotel,"The Beijing International Hotel has a spacious foyer and marble bathrooms, with neutral-toned room decor, and a restaurant on the top floor providing city views. Though some found the decor uninspiring, others appreciated the marble bathrooms and found the rooms comfortable and tastefully furnished."
china_beijing_beijing_jade_international_youth_hostel,"The Jade Youth Hostel has a traditional-style breakfast area and reading room, and offers emperor/empress suits for photos. It provides modern amenities like ensuite rooms with cable TV and Wi-Fi in the lobby."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a small, well-run hotel with a lot of atmosphere, situated in a traditional courtyard home (Sihe) in a hutong. It offers traditional Chinese-style furnishings with modern amenities like AC, TV, and internet access."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern, luxurious hotel with a Chinese flair, featuring spacious rooms, high-end amenities like TVs in the bathroom, and multiple restaurants offering diverse cuisines. The hotel's interior features marble columns and glass adornments, blending modern design with traditional elements."
china_beijing_capital_hotel_beijing,"The Capital Hotel has a grand lobby with traditional-style marble pillars and walls, while the rooms are modern, well-decorated, and appointed with amenities like tea service sets. The hotel blends traditional touches with modern amenities such as a bowling alley and swimming pool."
china_beijing_china_world_hotel,"China World Hotel's lobby is rich without being over the top, and features live music; some rooms have a wall of dark wood paneling. It is connected to a high-end shopping mall."
china_beijing_city_hotel_beijing,"The City Hotel is a no-frills hotel with a convenient location near bars, restaurants, and the subway. Some reviewers describe the hotel as shabby, while others found it clean and comfortable."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is a collection of architect-designed villas blending modern design with a location next to an unrestored, private section of the Great Wall. The property offers a mix of shared houses and private villas, with restaurants and spa facilities available."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing with traditionally-designed furnishings, lovely bathrooms, and courtyards. The hotel has modern amenities such as free internet, heated floors, and walk-in showers."
china_beijing_courtyard_by_marriott,"The Courtyard by Marriott Beijing features renovated rooms and is connected to the New World Shopping Center, offering a blend of modern amenities and convenient access to local shops and restaurants. Some rooms offer city views, and the hotel's location provides easy access to cultural sites via the nearby subway."
china_beijing_courtyard_by_marriott_beijing_northeast,"The Beijing Courtyard Marriott Northeast is a modern, high-rise hotel with up-to-date rooms featuring flat-screen TVs and contemporary bathrooms. The hotel is decorated in an eloquent and modern style."
