Hotel,Summary
china_beijing_aloft_beijing_haidian,The Aloft Beijing Haidian is a modern and stylish hotel with clean rooms and up-to-date amenities like LCD TVs with movie options and a gym with TechnoGym cardio machines. Guests have noted the hotel's trendy decor and have been pleasantly surprised by gestures like small gifts upon check-in for Starwood Preferred Guest members.
china_beijing_ascott_beijing,"The Ascott Beijing offers apartment-style rooms with fully equipped kitchens and laundry facilities, providing a different experience than a typical hotel. The breakfast buffet improved during one guest's stay, and the staff actively sought feedback for improvement, suggesting a changing experience."
china_beijing_autumn_garden_courtyard_hotel,"Autumn Garden Hotel is located in a hutong (maze of alleyways), and offers a free trishaw service to the main road. Guests are given a mobile phone to use during their stay and can be picked up from the airport."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a unique cultural experience away from typical tourist areas, with gardens and traditional Chinese decor. The hotel provides modern amenities such as in-room computers with internet access, flat-screen TVs, and is situated near the subway for convenient access to city attractions."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style spaces with amenities such as full kitchens, dining rooms, washer/dryers, and flat-screen TVs with cable. The hotel also features a workout room in the basement with various exercise equipment."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel has a coffee shop with character in an older part of the building and a bar that has inconsistent drink prices. Some reviewers were pleasantly surprised by the hotel, exceeding their expectations after being apprehensive."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel is located in a traditional hutong neighborhood with local shops and restaurants, offering a glimpse into everyday Chinese life. The hotel has a mix of room types, a restaurant with Chinese and Western food, a cafe/bar, and a travel agency."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex comprised of multiple buildings connected by underground walkways, with varied quality of rooms depending on refurbishment status; it has several restaurants, shops and a supermarket on site, with a mix of Western and Chinese amenities. The hotel is located away from the city center but close to universities, and is known for its extensive grounds and a mix of old and new facilities."
china_beijing_beijing_guangming_hotel,"The Guangming hotel was recently remodeled and offers modern, hi-tech rooms with LCD TVs featuring many international channels. Guests have noted the excellent service and cleanliness, with some rooms offering free internet."
china_beijing_beijing_hotel,"The Beijing Hotel consists of three distinct buildings with different construction periods, including one built more than 100 years ago, and displays museum art throughout. Guests have noted the hotel's architecture and decor evokes feelings of traveling back to the communist era."
china_beijing_beijing_international_hotel,"Beijing International Hotel offers a large breakfast buffet with both Western and Chinese options, and a rotating restaurant on the 28th floor with city views. The hotel is undergoing renovations, including a new reception area and lobby, and fitness facilities that will be upgraded, with the potential for surprises during your stay."
china_beijing_beijing_jade_international_youth_hostel,"The Jade International Youth Hostel offers amenities like free bike hire (with deposit), a fish tank in reception, and emperor/empress suits for photos. Breakfast options vary, with some reviewers highlighting the quality while others find it just okay."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is located in a traditional Hutong neighborhood, offering a unique cultural experience, with some rooms furnished with traditional Chinese furniture. The hotel has a courtyard and offers different room sizes."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast is a modern, luxurious hotel with spacious, well-appointed rooms with features such as modernized lighting systems and electric curtains. Although new, some reviewers noted that the hotel had some unfinished aspects."
