Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel offers reliable wireless internet, comfortable beds, and rooms that accommodate 2 adults and 2 children. It is located next to a Four Points Hotel and close to a large shopping mall with various dining options."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious apartments with fully equipped kitchens and laundry facilities, providing a home-away-from-home experience. Guests appreciate the convenience of on-site amenities like a pool, gym, and restaurants, as well as its central location near the subway and shopping."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a small, traditional-style hotel located in a hutong near Tiananmen Square, offering clean, comfortable rooms and a choice of English or Chinese breakfasts. The hotel provides services like free internet, airport pick-up, a mobile phone for use during the stay, and a tricycle service to the main road."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is a small, quiet hotel in a historic building with spacious gardens, Chinese decor, and a peaceful courtyard. It is located in a hutong, offering a taste of the real Beijing, and has helpful staff that provide attentive service."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with full kitchens, dining areas, and washer/dryers, including 3-bedroom options suitable for large groups. The hotel is located across the street from a supermarket, allowing guests to cook meals and save money."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel has a coffee shop with character, friendly staff, and a bar. Rooms are comfortable and clean, with amenities expected in a modern hotel."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel has a friendly atmosphere with a communal courtyard, helpful staff, and a basement bar where travelers can hang out and watch movies. Some guests felt completely at home, citing excellent service and comfortable, spacious rooms."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is a large complex with multiple buildings connected by underground passageways, featuring gardens, several restaurants including a TGI Friday's, a supermarket, and a pool and fitness center. It is located a bit outside the city core but near universities, with a new subway station opening nearby, and offers a mix of Western and Chinese amenities."
china_beijing_beijing_guangming_hotel,"The Guangming hotel offers clean, modern rooms with amenities like LCD TVs with international channels and comfortable beds. Some reviewers found it to be a great value, comparable to higher-end hotels."
china_beijing_beijing_hotel,"Some guests found the staff friendly and helpful, while others experienced indifferent or hostile service. The hotel has amenities such as a post office and a bank, and some rooms include features like a fax machine and couches."
china_beijing_beijing_international_hotel,"The hotel is centrally located with friendly, English-speaking staff, comfortable and clean rooms with twice-daily housekeeping, and a breakfast buffet. Some guests who stayed long-term felt at home and safe."
china_beijing_beijing_jade_international_youth_hostel,"The Jade Youth Hostel offers clean and comfortable rooms with amenities like TV and daily cleaning service, creating a hotel-like environment with a welcoming bar/lounge area for relaxation. Some reviewers mentioned the staff were friendly and the hotel has a communal area for watching movies."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is described as a peaceful and comfortable haven, with a friendly and helpful staff, down a narrow hutong. Guests repeatedly describe it as a ""coming home"" due to its heartiness and security."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast is a modern, comfortable, and well-managed hotel located in Beijing's central business district with friendly staff providing superb service. Some found the staff excessively attentive, creating a less relaxed environment."
china_beijing_capital_hotel_beijing,"Some reviewers mention staff remembering their names, providing personalized service, and being particularly helpful. The hotel offers amenities such as a pool and club lounge."
china_beijing_china_world_hotel,"The China World Hotel has comfortable rooms and a staff known for courteous and helpful service, with amenities like slippers by the bed and complimentary bottled water. Some reviewers mention the hotel's grand lobby, live music, and a Horizon Club level with caring staff, fresh flowers, and personalized pajamas, creating a luxurious and attentive experience."
china_beijing_city_hotel_beijing,"City Hotel offers apartments, some with multiple beds, though configurations may not match the booking. It is located near bars, restaurants, and the subway, providing convenient access to Beijing's attractions."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers villas with shared living room and kitchen spaces, creating a communal atmosphere, and some reviewers mention the staff's friendliness and helpfulness. Some reviewers enjoyed the peaceful atmosphere of the hotel."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in Beijing's old hutong area with traditionally-designed furnishings. The hotel features courtyards, quiet atmosphere, and helpful staff and offers amenities such as free internet and tea in the room."
china_beijing_courtyard_by_marriott,"The Courtyard by Marriott Beijing is connected to the New World Shopping Center, which includes a supermarket and food court. Reviewers appreciated the clean rooms, helpful concierge, and the convenience of having restaurants and a subway station nearby."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel staff is very friendly, helpful, and accommodating. Rooms are clean, comfortable, modern, and spacious."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is praised for its helpful and friendly staff, with some reviewers feeling well-treated and respected. Some reviewers mention a good location near shopping and tourist sites."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel offers a Club Lounge with complimentary drinks and refreshments, and the staff is consistently friendly, gracious, and professional, with some staff remembering guests' names. The hotel also has comfortable, quiet rooms and an abundant breakfast buffet."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"Many reviewers note the staff is friendly and helpful. The hotel is modern, clean, and quiet, with spacious and well-equipped rooms."
china_beijing_crowne_plaza_park_view_wuzhou,"Rooms are spacious, clean, and comfortable with good service and a breakfast buffet catering to international cuisines; some found the staff friendly, helpful, and competent. The hotel has multiple restaurants, a pool, and a gym, with a small shopping area nearby."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel is known for its excellent service, with staff remembering guests' names and providing attentive care, especially to families with children. Some guests felt so comfortable that they considered the hotel their ""temporary home."""
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City is known for its friendly and helpful staff, with some reviewers mentioning feeling at home, and offers cozy, clean rooms with modern amenities. The hotel is located near major attractions like Tiananmen Square and the Forbidden City, as well as shopping and subway access."
china_beijing_days_inn_joiest_beijing,"The hotel has modern, clean rooms with amenities like flat-screen TVs, and offers a buffet breakfast with a variety of options. Some guests found the staff friendly and helpful, despite language barriers."
china_beijing_double_happiness_courtyard_hotel,"Double Happiness Courtyard Hotel is a traditional Chinese house in old Beijing with charming interiors, a relaxing courtyard, and helpful staff. It is located in a hutong, offering an authentic experience with amenities like free internet, breakfast, and a bar, making it feel like a home away from home."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree by Hilton Beijing is known for its helpful and friendly staff, who provide excellent service from the concierge to housekeeping, making guests feel very welcome. Some reviewers felt as though they were in a home away from home."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel offers comfortable rooms with amenities, and the staff is attentive to guests' needs. There is an underground mall with restaurants, boutiques, and a gym/pool."
china_beijing_fujian_hotel,"The Fujian Hotel is noted for its excellent and accommodating staff, offering services like in-room WIFI setup and free amenities such as fresh fruit and bottled water. Several reviews mention repeat stays, highlighting the hotel's convenient location near the 3rd ring road and a mall."
china_beijing_gloria_plaza_hotel_beijing,"Some guests have stayed at the hotel multiple times and found the staff to be friendly and helpful. The rooms are spacious with comfortable beds, although some guests have found them to be a bit worn and in need of renovation."
china_beijing_grand_hotel_beijing,"The Grand Hotel Beijing has spacious rooms, a warm indoor pool, and offers excellent service, with staff going above and beyond to assist guests. Some reviewers mention the staff being friendly, polite, and helpful, and the hotel has a traditional, luxurious feel."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing is praised for its friendly staff, excellent service, and convenient location near major attractions and shopping, with many reviewers noting the hotel's ability to cater to western travelers. Features like spacious suites, a notable pool, and the availability of amenities for families make it a comfortable and accommodating option for longer stays."
china_beijing_grand_mercure_hotel_xidan,"The Grand Mercure Hotel Xidan Beijing is centrally located near shopping, subways, and tourist attractions, and it offers amenities such as a pool, spa, sauna, and fitness center. Guests have described the hotel as comfortable, clean, and offering a warm atmosphere."
china_beijing_grand_millennium_beijing,"The Grand Millennium has spacious, modern rooms with comfortable beds, a selection of pillows, and excellent bathrooms. The staff is noted to be helpful, with many having good English, and some guests have become frequent visitors, considering it their preferred hotel in Beijing."
