Hotel,Summary
china_beijing_aloft_beijing_haidian,The hotel has a small swimming pool.
china_beijing_ascott_beijing,The hotel has a gorgeous pool area with a steamroom and sauna. The pool is huge and clean with big towels and a baby pool is available.
china_beijing_autumn_garden_courtyard_hotel,"There is no mention of poolside service at this hotel. The hotel is located in a hutong, a 5-10 minute walk from Tiananmen Square."
china_beijing_bamboo_garden_hotel,"I am sorry, but none of the hotel reviews mention a pool or poolside service."
china_beijing_beijing_century_towers,"I am sorry, but the reviews provided make no mention of poolside service."
china_beijing_beijing_dong_fang_hotel,There is a pleasant courtyard to sit around with access to the coffee shop.
china_beijing_beijing_far_east_international_youth_hostel,There is no mention of a pool or poolside service at this hotel. The hotel has a bar/cafe and a restaurant.
china_beijing_beijing_friendship_hotel_grand_building,"Several reviews mention a pool and fitness center, but state there is an extra charge to use these facilities; one review mentions the pool costs 8 pounds to use, and another mentions 60 RMB. One review states you must wear a swimming cap and can either bring your own, or pay 100 yuan to purchase one."
china_beijing_beijing_guangming_hotel,"Neither review mentions poolside service or facilities. The hotel is described as clean, modern, and well-located near embassies and a food street, with good value for the price."
china_beijing_beijing_hotel,"I am sorry, but none of the hotel reviews mention poolside service."
china_beijing_beijing_international_hotel,"I am sorry, but the provided reviews do not contain any information about the quality of poolside service. There are mentions of a swimming pool, but its status (closed, under construction) is the only detail given."
china_beijing_beijing_jade_international_youth_hostel,"I am sorry, but none of the reviews mention a pool at this hotel."
china_beijing_beijing_sihe_courtyard_hotel,"This hotel is a traditional courtyard hotel located in a hutong, with a garden. There is no mention of a pool."
china_beijing_bohao_radegast_hotel_beijing,"The hotel has an indoor sunshine swimming pool, and reviewers mention that the pool attendants treat guests like kings. One reviewer noted that when they went to take a shower after using the steam room, a staff member asked if they wished to let him put on their clothes."
china_beijing_capital_hotel_beijing,"The hotel has an indoor pool, but some reviewers noted it was small and smelled of high chlorine levels. One reviewer mentioned the pool was decent, while another noted the pool heater wasn't working properly."
china_beijing_china_world_hotel,"The hotel has a terrific, full-size swimming pool, and a health club with a 20m indoor pool. Rules got laid back, now you don't need to wear a swimming cap!"
china_beijing_city_hotel_beijing,"There is no mention of a pool or poolside service in the provided hotel reviews. The reviews describe the hotel as comfortable, clean, and centrally located, but also mention issues such as hard beds, lack of utensils, shabby conditions, and potential management problems."
china_beijing_commune_by_the_great_wall_kempinski,"The hotel has a kids club with a cute pool, but the adult pool was still under construction as of July 2008. Some reviewers noted that staff formed clusters at the pool bar and outnumbered guests rather than taking care of them."
