Hotel,Summary
china_beijing_aloft_beijing_haidian,"There is a small swimming pool and gym area. The gym has basic weights, one cable machine, and TechnoGym cardio machines with built-in LCD TVs."
china_beijing_ascott_beijing,The Ascott Beijing offers in-room massage services for around $14 USD per hour and has a massage center in the building. There is also a steamroom and sauna available for guests.
china_beijing_autumn_garden_courtyard_hotel,"I am sorry, but the reviews do not mention any spa services at this hotel. The reviews focus on the hotel's location in a hutong, its proximity to Tiananmen Square, and its friendly staff."
china_beijing_bamboo_garden_hotel,"One review mentions that the hotel offers massage services, which one guest found relaxing. No other specific spa services are mentioned in the reviews."
china_beijing_beijing_century_towers,"I'm sorry, the provided reviews do not mention spa services. However, the hotel has a work-out room in the basement with treadmills, stationary bikes, a rowing machine, ballet bar, free weights, and weight machines."
china_beijing_beijing_dong_fang_hotel,"One review mentions a ""good massage establishment"" in the hotel. No other spa services are mentioned in the reviews."
china_beijing_beijing_far_east_international_youth_hostel,"There is no mention of spa services at this hotel in the provided reviews. The hotel is located in the Hutongs, within walking distance of Tiananmen Square."
china_beijing_beijing_friendship_hotel_grand_building,"Some reviews mention a spa and massage parlor, but note that they are quite pricey. No further details about the spa services are provided."
china_beijing_beijing_guangming_hotel,"I am sorry, but the provided reviews do not contain any information about spa services at the hotel. Therefore, I cannot generate a summary that focuses on this aspect."
china_beijing_beijing_hotel,"I am sorry, there is no mention of spa services in these hotel reviews."
china_beijing_beijing_international_hotel,"The hotel has a spa and fitness center, but some reviewers noted that the gym and pool were under construction at certain times. One reviewer mentioned a massage at the spa was wonderful."
china_beijing_beijing_jade_international_youth_hostel,"I am sorry, but none of the reviews mention any spa services at this hotel. The reviews focus on the hotel's affordability, location near attractions like the Forbidden City and Tiananmen Square, and amenities such as free Wi-Fi and breakfast."
china_beijing_beijing_sihe_courtyard_hotel,There is no mention of spa services at this hotel in the reviews. The hotel does have a courtyard.
china_beijing_bohao_radegast_hotel_beijing,"The hotel has a nice spa with swimming and workout facilities, though the workout room is a little small and limited. The spa staff were over attentive, which some guests found to be not relaxing."
china_beijing_capital_hotel_beijing,The hotel has a spa. The spa is reported to be a little overpriced.
china_beijing_china_world_hotel,"The hotel has a spa called Jing Chen on Level B2 that offers massages and has luxurious decor. There is also a health club with a sauna, oxygen room, and massage center, although the massage prices are high compared to the rest of Beijing."
china_beijing_city_hotel_beijing,"I am sorry, but none of the reviews mention any spa services at this hotel. The reviews focus on room quality, cleanliness, and location."
china_beijing_commune_by_the_great_wall_kempinski,"The hotel has a spa with roomy treatment rooms, but some reviewers found the staff not well-trained. One reviewer recommends the Thai foot massage."
china_beijing_courtyard_7,One reviewer mentioned their upgraded suite had a small sauna which they enjoyed after visiting the Great Wall. The hotel also provides daily refreshed toiletries.
china_beijing_courtyard_by_marriott,The hotel is near a foot massage and general massage spa which is respectable and not expensive. The health club is located on the 5th floor.
china_beijing_courtyard_by_marriott_beijing_northeast,"One review mentions a massage spa parlor located a block and a half from the hotel, offering foot massages in a private room. The hotel also has a lap pool and hot tub."
china_beijing_crowne_plaza_hotel_beijing,"The hotel has massage rooms, spa services, a pool, a sauna and steam rooms. Some reviewers found spa staff to be too forward."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel has a spa with steam and sauna, although it was noted that one was opening in September 2009. The pool was warm."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel has a spa that offers foot massages, Chinese massages, and oil massages; however, one reviewer had a strange and displeasing experience with the spa services, including being offered sex services. The fitness center is well-equipped and has a sauna and steam room, but they were cold during one reviewer's visit."
china_beijing_crowne_plaza_park_view_wuzhou,I did not find enough information about spas at this hotel to provide an adequate summary.
china_beijing_crowne_plaza_sun_palace_beijing,The hotel has a spa with a swimming pool and saunas. There is also an adjoining complex that houses a spa.
china_beijing_days_inn_forbidden_city_beijing,There is no mention of spa services at this hotel in the reviews. The hotel is centrally located near major attractions and shopping areas.
china_beijing_days_inn_joiest_beijing,"I am sorry, but none of the reviews mention anything about spa services at this hotel."
china_beijing_double_happiness_courtyard_hotel,"There is no mention of spa services in the reviews. The hotel is a traditional Chinese courtyard hotel with Chinese-style decorated rooms, free internet, and breakfast."
