Hotel,Summary
china_beijing_aloft_beijing_haidian,"There is a pool table in the communal area. The hotel is next to a Four Points Sheraton, providing access to more dining options."
china_beijing_ascott_beijing,"The Ascott Beijing includes a number of restaurants and shops (Thai, Japanese, Chinese, Italian, Starbucks, Subway, a 24 hour convenience store, an ATM). Breakfast is served in the nearby Casa Mia Italian restaurant, and the hotel has a breakfast buffet."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong, offering a glimpse into local Beijing life. The staff are helpful and friendly, and the hotel provides a trishaw service to the main road."
china_beijing_bamboo_garden_hotel,"The hotel is located in a hutong, or residential area, and is not in the main hotel district. Many guests are independent travelers, and the hotel is near a youth hostel."
china_beijing_beijing_century_towers,The hotel features a small restaurant and a workout room in the basement. The apartment-style rooms have a living room with a flat-screen TV.
china_beijing_beijing_dong_fang_hotel,The hotel caters to large groups and has a coffee shop/bar in the lobby that seems to be a popular meeting spot. There is also a karaoke bar in the lobby.
china_beijing_beijing_far_east_international_youth_hostel,The hostel part of the property has a communal courtyard that facilitates meeting other travelers. There is also a basement bar and a cafe that encourage social interaction.
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings connected by underground passageways, several restaurants including a TGI Friday's, and shops, which may provide opportunities to meet other travelers. The hotel often hosts conference attendees and tour groups, which could increase chances for social interaction."
china_beijing_beijing_guangming_hotel,"The hotel is located off the 3rd Ring road (San Huan), adjacent to a food street and within walking distance of US and Japanese embassies. The lobby is clean and 5-star-ish."
china_beijing_beijing_hotel,"I am sorry, but the reviews do not provide information about opportunities to meet new people at this hotel."
china_beijing_beijing_international_hotel,"The hotel is large and conventionally used by tour groups. There is a bar on the second floor and a lobby, though the lobby lacks seating."
china_beijing_beijing_jade_international_youth_hostel,"The hostel has a communal bar area that serves food throughout the day, and a large common area with a TV, stereo, couches, and books. Some reviewers mention it's not very ""cozy"" and more like a hotel than a hostel, and the ""hostel type part is spread out so there isn't that meeting others feeling."""
china_beijing_beijing_sihe_courtyard_hotel,"The hotel has a courtyard where guests can meet other travelers. The breakfast room is small, which facilitates interaction between guests."
china_beijing_bohao_radegast_hotel_beijing,There is no hotel bar and the restaurants close at 10 PM. The hotel is located close to shopping centers and local restaurants.
china_beijing_capital_hotel_beijing,"The hotel lobby is large and often crowded with tour groups, and the hotel has a bowling alley. The hotel also organizes tours for hotel guests."
china_beijing_china_world_hotel,"The lobby is grand and spacious, often featuring live music, which creates a bustling atmosphere with many visitors and businessmen. The hotel is connected to a high-end shopping mall and is located near a subway stop, making it convenient for exploring the city."
china_beijing_city_hotel_beijing,"The hotel is next door to several good pubs and local restaurants that cater to foreigners, and staff encouraged strangers to sit with guests at breakfast. The hotel is close to the subway and easy to get taxis."
china_beijing_commune_by_the_great_wall_kempinski,The hotel consists of houses with bedrooms off a communal space with shared living room/kitchen areas. Some reviewers indicated they shared a villa (5 rooms) with other people.
china_beijing_courtyard_7,"Courtyard 7 is located in a hutong area with many shops, pubs, bars and restaurants, near a funky street with a fantastic buzz. Some reviewers met Beijing friends at the hotel before going out to bars on the lane."
china_beijing_courtyard_by_marriott,"The hotel is connected to the New World Shopping Center, which includes American fast food chains, a supermarket and a food court. The hotel also has an Executive Lounge which offers a free happy hour with drinks and snacks."
china_beijing_courtyard_by_marriott_beijing_northeast,The hotel has a restaurant that serves a buffet and a bar downstairs. There are many Western and Chinese businesspeople eating breakfast at the hotel.
china_beijing_crowne_plaza_hotel_beijing,"The hotel has a lobby area where people can sit and is very international, but large groups can make it frustrating to get service. The hotel has a lounge on the 8th floor where a continental or mini-buffet breakfast is served and cocktail hour between 1730 and 1930."
china_beijing_crowne_plaza_hotel_zhongguancun,The hotel has a Club Lounge which is a convenient place to relax. There are a variety of restaurants and the staff are friendly.
china_beijing_crowne_plaza_international_airport_hotel_beijing,The hotel bar was virtually empty during past stays but offered good international sports coverage on TV. The hotel is primarily a business hotel and can be eerily empty during holidays.
china_beijing_crowne_plaza_park_view_wuzhou,"Several reviewers mention a large breakfast buffet with international cuisines. There are multiple restaurants in the hotel, including a Brazilian restaurant with an all-you-can-eat meat deal."
china_beijing_crowne_plaza_sun_palace_beijing,"The hotel has multiple restaurants, including Chinese, Italian and Cantonese options, as well as a Sunday buffet with Asian fare and live music in the lobby. The staff are friendly and many speak English."
china_beijing_days_inn_forbidden_city_beijing,The hotel is located near tourist attractions and subway stations. Some reviewers mentioned meeting fellow budget travelers and sharing transportation.
china_beijing_days_inn_joiest_beijing,The hotel has a buffet breakfast on the 4th floor with a wide variety of foods. There is also a mini-golf course on the 2nd floor.
china_beijing_double_happiness_courtyard_hotel,"The hotel has a cosy bar, courtyard, and lounge areas that encourage relaxation and socializing. It is popular with independent travellers and offers opportunities to chat with other guests, including possible encounters with Olympic athletes."
china_beijing_doubletree_by_hilton_beijing,"The hotel has a bar on the ground floor, an executive lounge, and a breakfast area that might be conducive to meeting people. The staff are reportedly friendly and helpful."
china_beijing_empark_grand_hotel,"The hotel has a vegas-like mall in the basement (floor B2) with restaurants, small boutiques, spas, and a gym/pool. The Golden Resources Cafeteria in the hotel offers a buffet for breakfast and dinner."
china_beijing_fujian_hotel,"The hotel has a mix of Chinese and Western guests. The lobby is attractive, and the staff is friendly."
china_beijing_gloria_plaza_hotel_beijing,"The hotel is aimed at large groups who travel across China, so it can be crowded and noisy, especially during breakfast. The hotel has a grand, spacious entrance and a nice lounge area where you can have a coffee or a drink and watch people."
china_beijing_grand_hotel_beijing,The hotel has a large indoor atrium with a fountain bar where live music is played in the evenings. There is an indoor passage to another luxury hotel next door with access to their lobby and facilities.
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing has a lobby lounge which is a great place to meet people, and a Red Moon bar with live music most nights. The hotel is located in a complex with a high-end mall and close to shopping streets, providing opportunities to mingle with other visitors."
china_beijing_grand_mercure_hotel_xidan,"The hotel has a lobby bar that seems popular with Westerners, as well as a lobby with free WIFI and comfortable seating. The lobby bar has happy hour on a daily basis where the ambiance provides a perfect venue for business talk with background live piano music."
china_beijing_grand_millennium_beijing,The hotel has a lobby lounge with live music and a bar. Some reviewers mentioned meeting people on tours arranged by the hotel.
china_beijing_grand_view_garden_hotel,"The breakfast area can get busy, with guests sharing large round tables, and the bar is available for drinks. The hotel also has a bowling alley, disco, and snooker table in the basement."
china_beijing_guangzhou_hotel,"The hotel is centrally located near Tiananmen Square, the Forbidden City, and shopping areas. Some reviews mention language difficulties with the staff."
china_beijing_harmony_hotel,"There is no real social scene at the hotel, but a bar is located in the lobby, though it never seems to be open. The hotel is near a youth hostel where you can find an internet cafe."
china_beijing_hebei_hotel_beijing,"The hotel is located in a traditional hutong neighborhood, and the streets around the hotel are narrow and local. The hotel staff speaks limited English, but are helpful and friendly."
china_beijing_hilton_beijing,The hotel has multiple restaurants and bars that provide opportunities for people watching. The Executive Lounge offers complimentary happy hour and is a place where guests can socialize.
china_beijing_hilton_beijing_wangfujing,The hotel has a bar on the fifth floor that hosts local business networking nights. The Executive Lounge is a place to relax with afternoon tea or evening cocktails.
china_beijing_holiday_inn_beijing_lido,"The hotel has two bars, including the Pig & Thistle, which is described as a rowdy pub frequented by ""attractive and friendly Chinese ladies,"" and an upstairs bar where a reviewer was asked if he wanted company. There are also multiple restaurants, a bowling alley, and shops in the hotel complex."
china_beijing_holiday_inn_central_plaza,"The hotel has a bar and executive lounge, which offers a comfortable seating area. There are also several restaurants and multiple travelers mentioned that they met Storm Li at breakfast."
china_beijing_holiday_inn_chang_an_west,"The hotel staff are friendly and make guests feel at home, and some reviewers became familiar with the staff during their stay. The hotel has multiple restaurants and an executive lounge which may provide opportunities to meet people."
china_beijing_holiday_inn_downtown_beijing,"The hotel has a bar where guests can sit out in the evening over drinks, and a Greyline tour desk in the foyer. The hotel also offers a day excursion to the Great Wall and other places."
china_beijing_holiday_inn_express_beijing_minzuyuan,"The hotel attracts a lot of domestic bus tour groups, and most customers are Chinese tour groups, with a smattering of business types and Westerners. There are five computers by the lobby that are available 24/7."
