Hotel,Summary
china_beijing_aloft_beijing_haidian,"There is no information about beachfront hotels in the reviews. The hotel is located in Haidian, Beijing, next to the Four Points Hotel."
china_beijing_ascott_beijing,"There is no information about beachfront hotels in the provided reviews. The Ascott Beijing is a serviced apartment located in the CBD of Beijing, with amenities such as a pool, gym, and in-room massage services."
china_beijing_autumn_garden_courtyard_hotel,There is no mention of a beachfront or beach in the reviews. The hotel is located in a hutong (alleyway) near Tiananmen Square in Beijing.
china_beijing_bamboo_garden_hotel,"There is no information about beachfront or ocean views for this hotel. The hotel is located in the Hutongs, a residential area in an old part of Beijing, with courtyards and gardens."
china_beijing_beijing_century_towers,"The Century Towers Beijing hotel offers apartment-style spaces, including a large 3-bedroom option with 2 full bathrooms, a full kitchen, a dining room, and a washer/dryer. It is located across the street from a supermarket."
china_beijing_beijing_dong_fang_hotel,There is no information about beachfront hotels in the reviews. The Dong Fang Hotel in Beijing is located about 20-30 minutes from Tiananmen Square. Some rooms have been recently refurbished.
china_beijing_beijing_far_east_international_youth_hostel,"I am sorry, but this hotel is located in Beijing, China, and there is no mention of a beachfront or ocean in the reviews. Therefore, I am unable to provide a summary of beachfront features."
china_beijing_beijing_friendship_hotel_grand_building,"There is no mention of beachfront hotels in the reviews. The Friendship Hotel is a large complex with multiple buildings set in a garden-like area, located in northwest Beijing."
china_beijing_beijing_guangming_hotel,"I am sorry, but the hotel reviews provided do not mention any beachfront hotels. Therefore, I cannot provide a summary that extracts information relevant to the query."
china_beijing_beijing_hotel,"I am sorry, but this document contains reviews for the Beijing Hotel and does not contain information about beachfront hotels."
china_beijing_beijing_international_hotel,"There is no information about beachfront access for this hotel, the reviews mention the hotel is centrally located in Beijing. Some reviews mention a swimming pool, but it was closed at times."
china_beijing_beijing_jade_international_youth_hostel,"I'm sorry, but none of the hotel reviews mention beachfront access. Therefore, I cannot provide a summary that extracts information relevant to the query."
china_beijing_beijing_sihe_courtyard_hotel,"I'm sorry, but none of the hotel reviews contain information about beachfront hotels. Therefore, I cannot provide a summary based on the query."
china_beijing_bohao_radegast_hotel_beijing,"I am sorry, but none of the hotel reviews mention that the Radegast Beijing is a beachfront hotel. Therefore, I am unable to provide a summary that extracts information relevant to the query."
china_beijing_capital_hotel_beijing,There is no mention of the beach in the hotel reviews. The Capital Hotel is located within walking distance of Tiananmen Square and the Forbidden City.
china_beijing_china_world_hotel,"I am sorry, but based on the reviews, there is no information about beachfront hotels. The China World Hotel is described as a luxurious business hotel with a grand lobby, comfortable rooms, and a convenient location in the Chaoyang district of Beijing."
china_beijing_city_hotel_beijing,"There is no information about beachfront hotels in the reviews. The hotel is located in central Beijing, close to bars, restaurants, and the subway."
china_beijing_commune_by_the_great_wall_kempinski,"I am sorry, but none of the hotel reviews mention beachfront hotels. They focus on a hotel near the Great Wall of China."
china_beijing_courtyard_7,"This hotel is a renovated courtyard in the old part of Beijing, located in the hutong area near Nanluoguxiang street. It's within walking distance of Hohai Lake, Beihai Park, and the Forbidden City."
china_beijing_courtyard_by_marriott,"I am sorry, but this hotel is not a beachfront property and the reviews do not contain any information about beaches. So, I cannot create a summary that is relevant to the query."
china_beijing_courtyard_by_marriott_beijing_northeast,"There is no information about beachfront hotels in the reviews. The Courtyard by Marriott Beijing Northeast is located about 20 minutes from the airport and 10 minutes from downtown Beijing, and near a shopping center."
china_beijing_crowne_plaza_hotel_beijing,"I am sorry, but none of the hotel reviews contain information about beachfront hotels. Therefore, I cannot create a summary based on your query."
china_beijing_crowne_plaza_hotel_zhongguancun,There is no information about beachfront hotels in the reviews. The hotel has a warm indoor pool.
china_beijing_crowne_plaza_international_airport_hotel_beijing,"There is no mention of the beach in any of the reviews. This hotel is located near the Beijing airport and exhibition center, making it convenient for travelers and business attendees."
china_beijing_crowne_plaza_park_view_wuzhou,There is no mention of beachfront or waterfront access at this hotel. The hotel is located near the Olympic Park and about 30-45 minutes by taxi from the city center.
china_beijing_crowne_plaza_sun_palace_beijing,"This hotel is not located on the beachfront. It is located on the third ring road in Beijing, near a subway station, but surrounded by construction."
china_beijing_days_inn_forbidden_city_beijing,"I am sorry, but the query is ""beachfront hotels,"" but the provided reviews focus on a hotel in Beijing, near the Forbidden City, Tiananmen Square and Wangfujing Street. Therefore, the reviews do not provide information relevant to the query."
china_beijing_days_inn_joiest_beijing,"I'm sorry, but none of the hotel reviews mention beachfront access. Thus, I cannot provide a summary of the hotel's beachfront access based on the provided text."
china_beijing_double_happiness_courtyard_hotel,"There is no information about beachfront hotels in the reviews. The hotel is located in a hutong (alley) in central Beijing, with traditional Chinese decor and a courtyard."
china_beijing_doubletree_by_hilton_beijing,"I'm sorry, but the provided hotel reviews do not contain information about beachfront hotels. Therefore, I cannot generate a summary based on the query."
china_beijing_empark_grand_hotel,"I am sorry, but none of the hotel reviews mention beachfront access. This hotel is located in northwest Beijing."
china_beijing_fujian_hotel,"This hotel is located near the 3rd ring road in Beijing, about 20-30 minutes from the airport. It offers amenities such as free WIFI, a breakfast buffet with Chinese and Western options, and TV with HBO and CNN."
china_beijing_gloria_plaza_hotel_beijing,"I am sorry, but none of the hotel reviews mention a beachfront."
china_beijing_grand_hotel_beijing,"I'm sorry, but the provided hotel reviews do not mention any beachfront hotels. The Grand Hotel in Beijing is located in a central location near the Forbidden City and Tiananmen Square."
china_beijing_grand_hyatt_beijing,"I am sorry, but the provided text does not include information about beachfront hotels."
china_beijing_grand_mercure_hotel_xidan,"I'm sorry, but the reviews provided do not contain any information about beachfront hotels. They describe the Grand Mercure Hotel Xidan Beijing, which is located in Beijing and has no beach access."
china_beijing_grand_millennium_beijing,"I'm sorry, but the hotel information provided does not contain any beachfront hotels."
china_beijing_grand_view_garden_hotel,"There is no information about beachfront hotels in the reviews. The hotel is located in Beijing, a long way from the city centre, and not near a subway."
china_beijing_guangzhou_hotel,"There is no information about beachfront hotels in the provided text. The Guangzhou Hotel is located in Beijing and is near the subway, Tiananmen Square, and the Forbidden City."
china_beijing_harmony_hotel,"This hotel is not a beachfront hotel. It is centrally located in Beijing near the railway station and subway, with access to shops, restaurants, and tourist attractions."
china_beijing_hebei_hotel_beijing,"This hotel is located in a traditional hutong neighborhood and is within walking distance of the Forbidden City and Tienanmen Square. It is described as a courtyard hotel with basic, functional rooms."
china_beijing_hilton_beijing,There is no information about beachfront hotels in the reviews.
china_beijing_hilton_beijing_wangfujing,"I am sorry, but this hotel is not located near a beach. The hotel is located in central Beijing, close to the Forbidden City and Tiananmen Square."
china_beijing_holiday_inn_beijing_lido,There is no information about beachfront hotels in the reviews.
china_beijing_holiday_inn_central_plaza,"I am sorry, but this hotel information does not contain details to beachfront access or amenities. Therefore, I cannot provide information relevant to the query."
china_beijing_holiday_inn_chang_an_west,"I am sorry, but based on the provided reviews for the Holiday Inn Chang An West, none of them mention beachfront access or proximity to the ocean. Therefore, this hotel is not relevant to the query about beachfront hotels."
china_beijing_holiday_inn_downtown_beijing,"I am sorry, but there is no information about beachfront hotels in the provided text."
china_beijing_holiday_inn_express_beijing_minzuyuan,"I'm sorry, but the hotel is not located on the beach. The hotel is located within walking distance of the Olympic Bird's Nest and Water Cube and close to a subway station."
china_beijing_holiday_inn_express_beijing_temple_of_heaven,"I am sorry, but the reviews do not mention beachfront hotels. The Holiday Inn Express - Temple of Heaven is located in Beijing, a good 20 minute walk to the nearest metro; it is not centrally located near tourist attractions, but is close to the Temple of Heaven. Breakfast is included, rooms are clean, and free internet terminals are available."
china_beijing_holiday_inn_express_beijing_wangjing,"This hotel is not located near a beach. It is near the airport, the Focus Mall, Stellar International Cineplex, and the Hua Tang Shopping Center."
china_beijing_holiday_inn_temple_of_heaven,"I am sorry, but the Holiday Inn Temple of Heaven is located in Beijing, China, and the provided reviews do not mention a beachfront location. The hotel is situated in a residential area, not near the beach."
china_beijing_hollyear_hotel_beijing,"There is no information about beachfront hotels in the reviews. The hotel had clean, modern rooms, but the staff spoke limited English. There was ongoing construction nearby, and the hotel tried to charge extra money upon checkout."
china_beijing_hotel_cote_cour_beijing,There is no information about beachfront hotels in the reviews. The hotel is located in a hutong in central Beijing.
china_beijing_hotel_g,"There is no information about beachfront hotels in the reviews. The hotel is located in Beijing near Sanlitun, which is in the city center."
china_beijing_hotel_ibis_beijing_sanyuan,The hotel is not located near a beach. It is located near the Sanyuanqiao subway station on line 10 and the Airport Express train.
china_beijing_hotel_kunlun,"I am sorry, the hotel reviews do not contain any information about beachfront hotels. Therefore, I cannot provide a summary that extracts information relevant to the query."
china_beijing_hotel_new_otani_chang_fu_gong,"I am sorry, but the provided hotel reviews do not mention whether the hotel has beachfront access. The reviews do mention that the hotel has a pool, is centrally located in Beijing, and has a Japanese garden."
china_beijing_howard_johnson_paragon,"I am sorry, but none of the hotel reviews mention a beachfront location."
china_beijing_huadu_hotel,"There is no information about beachfront hotels in the provided reviews. The Huadu Hotel is located near the airport, Lufthansa Centre, Sanlitun bar Street, and embassy districts, with easy access to the airport and proximity to restaurants and markets."
