Query,Relevant
"""Trendy fusion restaurant offering high-protein vegan dishes suitable for bodybuilders""",False
"""Authentic Sichuan restaurant with spicy, low-carb options for keto diet enthusiasts""",False
"""Artisanal Italian pizzeria with gluten-free crust options and a rustic, intimate ambiance""",False
"""Upscale Japanese sushi bar that caters to pescatarians seeking omega-rich, high-protein meals""",False
"""Boutique French bistro with farm-to-table organic dishes designed for health-conscious gourmets""",False
"""Modern Mexican cantina featuring ancient grains and high-calorie meals tailored for athletes""",False
"""Contemporary Mediterranean eatery emphasizing fresh seafood and low-sodium, protein-packed dishes""",False
"""Rustic American steakhouse serving lean cuts in a retro setting with an emphasis on healthy indulgence""",False
"""Avant-garde Korean BBQ restaurant offering plant-based alternatives with innovative presentation styles""",False
"""Elegant Spanish tapas bar that serves high-protein paella for fitness enthusiasts in a chic environment""",False
"""Traditional Indian restaurant with low-carb, spice-forward dishes appealing to adventurous diners""",False
"""Authentic Vietnamese pho house featuring organic, low-fat broth options in a minimalist setting""",False
"""Trendy burger joint reinventing classic fare with gourmet, high-protein vegan burgers in an industrial space""",False
"""Boutique Middle Eastern restaurant offering authentic, protein-rich falafel and modern twists on tradition""",False
"""High-end Peruvian cevicheria presenting ancient grain accompaniments and paleo-friendly seafood dishes""",False
"""Rustic British pub reinventing classic recipes with lean, low-calorie alternatives in a modern vibe""",True
"""Modern Thai restaurant known for its spicy, high-protein dishes served in an artful, urban atmosphere""",False
"""Authentic Lebanese grill specializing in lean kebabs and wholesome, organic sides in a sleek setting""",False
"""Chic Brazilian churrascaria offering refined low-fat meat options in a festive yet upscale ambiance""",False
"""Contemporary Greek taverna delivering high-protein, low-carb meze in a serene seaside atmosphere""",False
"""Avant-garde Moroccan restaurant featuring spiced, antioxidant-rich dishes for the health-conscious palate""",False
"""Innovative Australian fusion eatery with a focus on sustainable, high-protein dishes and creative plating""",False
"""Rustic German biergarten with a twist: lean sausages and organic sides served in a traditional-meets-modern space""",True
"""Trendy Scandinavian restaurant offering Nordic cuisine with protein-packed selections for active diners""",False
"""Modern South African bistro presenting exotic, nutrient-dense dishes in a chic, urban setting""",False
"""Authentic Turkish restaurant specializing in high-protein kebabs and traditional organic meze""",False
"""Upscale Russian dining blending classic recipes with modern, low-carb reinterpretations for discerning palates""",False
"""Contemporary Cuban restaurant fusing authentic flavors with protein-rich, health-forward options""",False
"""Trendy fusion eatery merging Mediterranean and Japanese influences to create innovative high-protein meals""",False
"""Rustic Argentinian grill focused on lean, grass-fed meats in a sophisticated yet earthy environment""",False
"""Innovative Caribbean restaurant offering spicy, high-antioxidant dishes for the adventurous gourmet""",False
"""Boutique Israeli eatery serving traditional, high-protein dishes with a modern, minimalist twist""",False
"""Modern Nordic seafood restaurant featuring omega-rich selections in a sleek, contemporary design""",False
"""Artisanal Belgian bistro delivering protein-focused reinterpretations of classic comfort foods in a cozy setting""",False
"""Trendy fusion restaurant blending Vietnamese and Italian influences to serve healthy, protein-rich dishes""",False
"""Rustic Polish restaurant offering hearty, high-protein meals with a modern minimalist ambiance""",False
"""Upscale Ethiopian restaurant serving spiced, nutrient-dense dishes in a contemporary yet culturally rich space""",False
"""Contemporary British fine dining with a focus on lean, locally-sourced proteins in a historic venue""",False
"""Modern Indonesian restaurant blending traditional spices with high-protein, low-carb culinary techniques""",False
"""Authentic Malaysian street-food style restaurant reimagined for upscale, protein-rich gourmet experiences""",False
"""Chic fusion restaurant merging Indian and Mexican cuisines for spicy, high-protein culinary creations""",False
"""Boutique fusion eatery combining Korean and French techniques to deliver health-focused, innovative dishes""",False
"""Trendy Lebanese modern cafe offering organic, high-protein options in a sleek, minimalist environment""",False
"""Rustic Cajun restaurant reinventing spicy seafood dishes into lean, protein-packed gourmet fare""",False
"""Avant-garde Peruvian-Japanese fusion restaurant featuring low-carb, high-protein ceviche presentations""",False
"""Modern fusion restaurant blending Middle Eastern and Italian cuisines to serve gourmet, protein-rich meals""",False
"""Trendy Spanish modernist eatery presenting avant-garde tapas with high-antioxidant, curated ingredients""",False
"""Authentic Portuguese seafood restaurant offering protein-packed dishes in a contemporary coastal setting""",False
"""Upscale fusion restaurant combining Indian and Thai flavors for bold, spicy, high-protein culinary experiences""",False
"""Rustic fusion eatery merging traditional Greek and Mexican cuisines to deliver organic, high-protein dishes""",False
