Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian is near the Haidian district, making it suitable for those needing to be in that area. The hotel has amenities such as internet, a gym, and communal computers."
china_beijing_ascott_beijing,"The Ascott Beijing is located in the CBD, near the Guo Mao subway station, making it convenient for business trips. It offers spacious apartments with amenities like high-speed internet, a business center, and English-speaking staff."
china_beijing_autumn_garden_courtyard_hotel,"Autumn Garden Hotel offers free internet, and is located within walking distance to the subway station (Hepingmen and Qianmen). The staff speaks English and are very helpful."
china_beijing_bamboo_garden_hotel,"The hotel has computers with free internet in the rooms, and is located a 10 minute walk from the Golou metro stop making it convenient for business appointments. The hotel also offers currency exchange and can arrange taxi services, though some reviewers found the taxi rates to be higher than average."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with amenities such as a full kitchen, dining room, washer/dryer, and a flat-screen TV with cable including English-language channels. The hotel also has a work-out room in the basement."
china_beijing_beijing_dong_fang_hotel,"The hotel has a business center with internet access and staff that speak some English. Money can be exchanged at the front desk, and there is also an ATM just off the lobby."
china_beijing_beijing_far_east_international_youth_hostel,"I am sorry, but the provided reviews do not contain any information about the suitability of this hotel for business travelers."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings and amenities such as a business center, restaurants, and a supermarket, and is located near universities and the Zhongguancun High Tech district. It offers internet access (cable or Wifi), and some rooms have a trouser press and desk."
china_beijing_beijing_guangming_hotel,"The Guangming hotel offers clean rooms with modern amenities such as LCD TVs with international channels and internet access. It also has a business center with currency exchange services, and is located near the embassy district."
china_beijing_beijing_hotel,"The Beijing Hotel's location is convenient for business, with proximity to a subway stop and the financial district, as well as amenities like fax machines and internet access, though the internet speed has been reported as slow. Some rooms include business suites, and the hotel has a business center, but it may be expensive."
china_beijing_beijing_international_hotel,"Beijing International Hotel is noted for its central location, proximity to the train station and subway, and business center, though internet access is expensive. Some rooms feature desks and broadband internet access, and executive floors offer tea and coffee in the lounge."
china_beijing_beijing_jade_international_youth_hostel,"Jade Youth Hostel offers amenities such as free WiFi in the lobby, an internet room, and tour booking services. The hostel also provides services like laundry facilities, currency exchange, and airport pick-up from the Beijing Railway Station."
china_beijing_beijing_sihe_courtyard_hotel,"The hotel offers free internet, but it may not be an easy place to labor over a computer for many hours due to lighting and electric outlet issues, and the location is not near the financial district. Getting taxis is not especially convenient."
china_beijing_bohao_radegast_hotel_beijing,The Radegast Hotel CBD Beijing is located in the Central Business District and within walking distance of CBD buildings and a subway station. The hotel rooms have a business desk and free wireless internet.
china_beijing_capital_hotel_beijing,"The Capital Hotel offers a business center, meeting rooms, and is located a short walk from the subway. Some rooms include free internet in the club lounge, while it costs extra otherwise."
china_beijing_china_world_hotel,"China World Hotel is well-maintained and located in the Chaoyang district, connected to the China World Center with office towers and a shopping mall. It has a business center, broadband internet, and meeting facilities, with some rooms offering spacious work areas."
china_beijing_city_hotel_beijing,"City Hotel is located near the subway, taxi stands, and local restaurants, making it easy to travel around Beijing. It offers clean, no-frills rooms."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall Kempinski offers villas with spacious rooms suitable for negotiations, and provides a quiet atmosphere. The hotel has conference rooms and offers airport pickup, but staff may have limited English proficiency."
