Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian offers modern, clean rooms with free internet and is located near a large shopping mall; however, it's not downtown and requires taxi rides to the subway or central areas. The hotel provides amenities like a gym with TechnoGym cardio machines and a pool table in the communal area."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious apartments with full kitchens and laundry facilities, providing a home-away-from-home experience. It is centrally located with easy access to transportation, restaurants, and a 7-Eleven for quick needs."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a traditional hutong, offering a unique cultural experience with narrow alleyways and local life; it's a short walk to Tiananmen Square and subway stations, with trishaw service to the main road."
china_beijing_bamboo_garden_hotel,"This hotel is located in a hutong, offering a quiet and peaceful environment with gardens and courtyards, and is within walking distance of the subway, local restaurants, and attractions like Houhai Lake. Rooms feature free internet, and the hotel can arrange taxi services and tours."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with full kitchens, including a refrigerator and microwave, and in-unit washer/dryers. Rooms range from standard to large 3-bedroom options and are located across the street from a supermarket."
china_beijing_beijing_dong_fang_hotel,"The hotel is located about 20-30 minutes walking distance from Tiananmen Square and caters to large groups. There is a coffee shop and bar in the hotel, and a grocery store nearby."
china_beijing_beijing_far_east_international_youth_hostel,"Far East Hotel/Hostel is located in a hutong, offering a glimpse into traditional Beijing life, with easy access to local food, shops, and cultural sites like Tiananmen Square and the Forbidden City. It provides budget-friendly accommodations with amenities such as tour booking, a cafe, and internet access."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings, restaurants (including a TGI Friday's), shops, and gardens, offering a range of amenities and services. It is located a bit outside the city core but close to universities and connected to the city center via readily available and cheap taxis."
china_beijing_beijing_guangming_hotel,"The hotel is located off the 3rd Ring road near embassies and a food street, offering modern, clean rooms with international TV channels. It provides good value, with internet access and currency exchange services, though the breakfast is considered just okay."
china_beijing_beijing_hotel,"The Beijing Hotel is centrally located near Tiananmen Square, the Forbidden City, and the Wangfujing shopping area, with a subway stop nearby. Some rooms have balconies and views, but traffic can be heavy."
china_beijing_beijing_international_hotel,"This hotel is centrally located near the train station and subway, making it easy to get around. It is within walking distance of shopping areas and historical sites like Tiananmen Square, Forbidden City, and Wangfujing Street."
china_beijing_beijing_jade_international_youth_hostel,"Jade Youth Hostel offers affordable rooms, including dorms and private ensuites, and is centrally located near the Forbidden City, Tiananmen Square, and shopping streets, with easy access to public transportation and taxi services. The hostel provides amenities like free Wi-Fi in the lobby, a tourist information office, and bike rentals, catering to travelers seeking convenience and budget-friendly options."
china_beijing_beijing_sihe_courtyard_hotel,"This small, traditional courtyard hotel is located in a quiet hutong, offering a peaceful escape from the city center while still being within walking distance to the subway, Forbidden City and Wangfujing shopping area. Free internet access is available, and the hotel can arrange transportation and tours."
china_beijing_bohao_radegast_hotel_beijing,"The hotel is modern, new as of 2008, and located in Beijing's Central Business District, within walking distance of shopping centers and a subway station. Taxis are readily available and inexpensive for accessing the city center."
china_beijing_capital_hotel_beijing,"The Capital Hotel is centrally located near Tiananmen Square and the Forbidden City, with subway access and taxis readily available. It offers amenities such as a pool, gym, and multiple restaurants, along with conveniences like a 24-hour mini-market across the street."
china_beijing_china_world_hotel,"This hotel is connected to a shopping mall and subway station, providing convenient access to various parts of Beijing and shopping options. Some reviewers noted the hotel's proximity to the Silk Market and other attractions, making it a potentially suitable base for exploring the city."
china_beijing_city_hotel_beijing,"City Hotel is centrally located near bars, restaurants, and the subway, with clean rooms and generally friendly staff. Note that some past guests have reported issues such as hard beds, language barriers, and rooms not matching the original booking."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers unique, architect-designed villas spread across a valley, providing a peaceful and secluded experience with private access to an unrestored section of the Great Wall. Guests are transported around the property by car, and the hotel is located about 1.5 hours from Beijing."
china_beijing_courtyard_7,"Courtyard 7 is located in the hutong area near Nanluoguxiang, close to shops, pubs and restaurants, with easy access to bars and live music venues. It's within walking distance of the Drum and Bell Towers, and a short taxi ride to the Forbidden City."
china_beijing_courtyard_by_marriott,"This hotel is conveniently located near subway lines and a shopping center with a supermarket, food court, and various restaurants open at different hours. The hotel is close to major tourist sites, making it easy to travel around Beijing."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is located about 20 minutes from the airport and 10 minutes from downtown Beijing, with taxis readily available and staff able to assist with directions. A bus outside the hotel connects to the subway, and the hotel has a modern gym, lap pool, and spa tub."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is centrally located on Wangfujing Street, near shopping, food, and tourist attractions like Tiananmen Square and the Forbidden City, accessible by walking or cheap taxis. It offers modern, clean rooms, and some reviewers highlight the concierge service for arranging transportation and tours."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel is near a subway stop, making tourist destinations accessible, and taxis are readily available and cheap. There are also convenience stores and a supermarket within walking distance."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"This hotel is conveniently located near the airport and exhibition center, with a free airport shuttle service. However, it's far from the city center and local amenities, with taxi drivers sometimes having difficulty finding it."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel is located near the Olympic Park and has a small mall with a food court next door. It is not in the city center, but taxis are readily available."
china_beijing_crowne_plaza_sun_palace_beijing,"The hotel is new with spacious rooms and modern amenities, located near the third ring road and a 5-15 minute walk to the subway. Keep in mind that it is not downtown, surrounded by construction, and taxi drivers may have difficulty finding it."
china_beijing_days_inn_forbidden_city_beijing,"This hotel is centrally located within walking distance to major attractions like Forbidden City and Tiananmen Square, as well as shopping and subway stations. Some rooms are small and basic, while other rooms are more spacious and well-equipped, with free internet access."
china_beijing_days_inn_joiest_beijing,"The hotel is modern with clean rooms, flat-screen TVs, and a buffet breakfast, but is not located near many restaurants or an underground station, requiring taxi rides to reach main sites. Some staff have limited English, but are generally helpful."
china_beijing_double_happiness_courtyard_hotel,"Double Happiness Courtyard Hotel is located in a hutong, with traditional Chinese decor, free internet, and a helpful staff that can provide directions and arrange tours. The hotel is close to the subway and within walking distance of the Forbidden City, with local shops and restaurants nearby."
china_beijing_doubletree_by_hilton_beijing,"The hotel is modern, clean, and has friendly staff, with taxis readily available to reach the city center in about 10 minutes. It is located outside the 2nd Ring Road, not close to major sites or a subway station, but near a local shopping mall with various dining options."
china_beijing_empark_grand_hotel,"The hotel has a Vegas-like mall in the basement with restaurants, boutiques, and a gym/pool; it is located in the northwest part of the city, with taxis readily available. There is wired internet access in the rooms, and free wireless in the lobby."
