Hotel,Summary
china_beijing_aloft_beijing_haidian,"The Aloft Beijing Haidian is a modern and stylish Starwood property with clean rooms, but some reviewers mention that the reception staff is incompetent and the hotel's location is not ideal for tourists. The hotel offers good value for money, free internet, and amenities such as a gym and pool, but SPG Platinum members may not receive upgrades."
china_beijing_ascott_beijing,"The Ascott Beijing is a serviced apartment with configurations for larger groups, including 2 and 3-bedroom apartments with full kitchens and laundry. It is located in the Chaoyang District near the Guomao subway station and offers amenities like a pool, gym, and on-site restaurants."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a small, traditional-style courtyard hotel located in a hutong near Tiananmen Square. It offers comfortable rooms, free internet, and helpful staff, with breakfast options and a trishaw service to the main road."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is a boutique hotel located in a hutong, offering a peaceful environment with Chinese-style decor, gardens, and courtyards. Rooms include modern amenities like computers with free internet, and the hotel is located within walking distance of the subway, restaurants, and attractions like Houhai Lake."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms, including a 3-bedroom option with a full kitchen, dining room, washer/dryer, and multiple bathrooms, with rates around $85 USD/night. Rooms are described as spartan but clean."
china_beijing_beijing_dong_fang_hotel,"I am sorry, but this document does not contain the information needed to address the query. The reviews mention that the hotel is a 3- or 4-star hotel that caters to large groups. The hotel has been refurbished and is clean, with a coffee shop in an older part of the building that has lots of character."
china_beijing_beijing_far_east_international_youth_hostel,"The hotel has a hotel and hostel, with rooms that are simple but clean, with good showers. It is located in a hutong, near Tiananmen Square and the subway."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings, including Building 1 which is rated as 5-star and has been recently renovated. The hotel is located in a garden-like setting, with amenities such as a TGI Friday's, a supermarket, and a sports center with a pool and tennis courts."
china_beijing_beijing_guangming_hotel,"The Guangming Hotel is located off the 3rd Ring Road near the US and Japanese embassies. The hotel was recently remodeled and features modern, hi-tech rooms with LCD TVs and international channels."
china_beijing_beijing_hotel,"I am sorry, but the hotel reviews provided do not contain any information on boutique hotels. The reviews are about the Beijing Hotel."
china_beijing_beijing_international_hotel,"There is no information about boutique hotels in the provided reviews. The Beijing International Hotel is a large, conventional hotel centrally located near the train station, subway, and shopping areas, with amenities such as a breakfast buffet, revolving restaurant, and spa."
china_beijing_beijing_jade_international_youth_hostel,"The Jade Youth Hostel offers private ensuite rooms that some reviewers found to be of 3-star hotel standard, with amenities like TV, comfortable beds, and daily cleaning service. Some reviewers note that the hostel has a clean and smart appearance, making it more like a hotel than a typical hostel."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a small, traditional courtyard-style hotel located in a hutong in central Beijing, offering a unique cultural experience. The hotel features antique Chinese furnishings, quiet courtyards, and a mix of Chinese and Western breakfast options, with staff providing helpful service."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern, luxurious hotel with spacious, well-appointed rooms featuring amenities such as flat-screen TVs, soaking tubs with mirror TVs, and automated lighting and curtains. The hotel offers multiple restaurants, a spa with a swimming pool, and is located in the Central Business District, close to shopping centers and subway access."
china_beijing_capital_hotel_beijing,"There is no information about the hotel being a boutique hotel. The Capital Hotel is a large hotel with multiple amenities such as a pool, bowling alley, spa, and several restaurants."
china_beijing_china_world_hotel,"There is no information about boutique hotels in the reviews. The China World Hotel is a large, luxurious hotel that is part of the Shangri-La chain and is well-suited for business travelers."
china_beijing_city_hotel_beijing,"The City Hotel in Beijing offers apartments with multiple single beds, with some rooms having double beds. It is located near pubs, restaurants catering to foreigners, and a subway station providing access to attractions like Tiananmen Square and the Forbidden City."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is a collection of architect-designed villas spread across a valley, offering a private section of the Great Wall. Each villa is unique, with options to rent a whole villa or individual rooms, and features amenities like restaurants, a spa, and a kids club."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing, located in the hutongs near the Bell and Drum Towers off Nanluoguxiang street. The hotel features traditionally-designed furnishings, courtyards, and amenities like free internet, and is within walking distance of shops, restaurants, Hohai Lake, Beihai Park and the Forbidden City."
china_beijing_courtyard_by_marriott,There is no information about boutique hotels in the provided reviews. The reviews are for Courtyard by Marriott in Beijing.
china_beijing_courtyard_by_marriott_beijing_northeast,"There is no information about boutique hotels in this set of reviews. The hotel is modern with well-appointed rooms, and is conveniently located near the airport."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is not a boutique hotel; it is described as a luxurious, modern, and large hotel. It is conveniently located on Wangfujing Street, close to shopping, restaurants, and tourist attractions."
china_beijing_crowne_plaza_hotel_zhongguancun,"I am sorry, but the provided hotel reviews do not contain the information needed to fulfill your request. There is no mention of boutique hotels in the given text."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"There is no information about boutique hotels in this document. This hotel is located close to the airport and exhibition center, with shuttle service, but far from the city center. The rooms are modern and clean, but some guests have experienced service issues such as slow check-in/out and language difficulties."
china_beijing_crowne_plaza_park_view_wuzhou,"There is no mention of this hotel being a boutique hotel. The hotel has multiple restaurants, a pool, and a gym."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel is a new, luxurious hotel with spacious rooms and modern amenities, including a spa with a swimming pool and saunas. It features a Yunnan theme, multiple restaurants, and is located near the third ring road and a subway station, though some taxi drivers may have difficulty finding it."
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City is described as a stylish, modern, clean, and cozy small boutique hotel with IKEA-ish style rooms. It is a newer property that offers a good value and is located near major attractions."
china_beijing_days_inn_joiest_beijing,"I am sorry, but the provided reviews do not contain information about boutique hotels. All reviews are about Days Inn Joiest in Beijing."
china_beijing_double_happiness_courtyard_hotel,"Double Happiness Courtyard Hotel is a traditional Chinese courtyard hotel located in a hutong (alleyway), featuring rooms decorated with traditional Chinese furniture, free internet, and a courtyard. It is located near a police station and offers a breakfast buffet."
