Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian is a modern, clean, and stylish hotel that offers good value for money, with amenities such as a gym, pool table, and a small swimming pool. It is located near a large shopping center and offers easy access to dining options and the Four Points Sheraton, although its location is not ideal for those wanting to visit the historic sites in central Beijing."
china_beijing_ascott_beijing,"Ascott Beijing offers spacious apartments with fully equipped kitchens and laundry facilities, suitable for families or larger groups. It features amenities like a pool, gym, and on-site dining options, with a convenient location near transportation and shopping."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong, a 5-10 minute walk to Tiananmen Square and the subway, offering a feel for ""real"" Beijing. Guests appreciated the choice of English or Chinese breakfasts and the availability of free internet."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a unique cultural experience away from typical tourist areas, with easy access to the subway and local attractions. The hotel features traditional Chinese decor, gardens, and amenities like in-room computers with internet access."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with multiple bedrooms, full kitchens, dining rooms, and washer/dryers, making it suitable for large groups or families. Its proximity to a supermarket allows guests to save money by cooking meals."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel is located about 30 minutes by foot from Tiananmen Square and offers a breakfast buffet with both Western and Asian options. The hotel has a coffee shop and bar, and some rooms offer views of the city."
china_beijing_beijing_far_east_international_youth_hostel,"Far East Hotel/Youth Hostel is located in a traditional hutong neighborhood, within walking distance of Tiananmen Square and other major attractions. It offers both private rooms in the hotel and dorm beds in the hostel, along with amenities like a restaurant, bar, tour desk, and internet access."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is a large complex with multiple buildings set in a garden-like environment, offering amenities like a supermarket, several restaurants including a TGI Friday's, and a fitness center with a pool. It is located a bit outside the city center but near universities and connected to the city's attractions via readily available and cheap taxis."
china_beijing_beijing_guangming_hotel,"The Guangming hotel is located off the 3rd Ring road, near the US and Japanese embassies and a food street. The rooms are modern, clean, and equipped with LCD TVs with international channels; internet access may be available depending on booking."
china_beijing_beijing_hotel,"The Beijing Hotel is located near Tiananmen Square and the Forbidden City, with some rooms offering views of these landmarks; it is connected to the Raffles Hotel and close to the Wangfujing shopping area and a subway stop. Some reviewers mention construction noise, surly staff, dated rooms, and issues with cleanliness, while others praise the location, breakfast buffet, and the historical significance of the older buildings."
china_beijing_beijing_international_hotel,"Beijing International Hotel is centrally located near shopping areas and historical sites, with amenities such as a breakfast buffet, money exchange, and revolving restaurant. Some rooms offer city views, and the hotel is near a subway line and shopping centers."
china_beijing_beijing_jade_international_youth_hostel,"Jade International Youth Hostel is a budget-friendly accommodation option within walking distance of the Forbidden City, Tiananmen Square, and shopping streets, offering private rooms and dorms. It provides amenities such as free Wi-Fi in the lobby, a tour desk, and breakfast."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a traditional Chinese courtyard hotel located in a hutong, with easy access to the subway and tourist attractions such as the Forbidden City and Tiananmen Square. The hotel features a peaceful courtyard, clean rooms, helpful staff, and offers free internet access."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern, luxurious hotel located in the Central Business District, with spacious, well-appointed rooms, multiple restaurants, a spa, and a swimming pool. It is conveniently located near shopping centers and offers excellent service."
china_beijing_capital_hotel_beijing,"Capital Hotel in Beijing is located within walking distance of Tiananmen Square and the Forbidden City, with amenities such as a pool, bowling alley, and multiple restaurants. Some reviewers recommend club-class rooms for benefits like free internet and breakfast in the club lounge."
china_beijing_china_world_hotel,"China World Hotel is praised for its luxurious rooms, extensive breakfast buffet, and excellent service, and is connected to a shopping mall and subway stop. However, it is primarily a business hotel located in a commercial area, with some reviewers noting expensive food and a less personal atmosphere."
china_beijing_city_hotel_beijing,"City Hotel is centrally located in Beijing, close to bars, restaurants, and the subway, making it convenient for accessing attractions such as Tiananmen Square and the Forbidden City. Some rooms are apartment-style with multiple beds, though some guests have reported hard beds and a lack of kitchen utensils."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is located in a valley next to the Great Wall, with villas designed by Asian architects and a private section of the Wall. It offers multiple restaurants, a spa, and a kids club."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing, within walking distance of several tourist attractions. It is located in a hutong area with shops, bars, and restaurants, and some rooms have private courtyards."
china_beijing_courtyard_by_marriott,"Courtyard by Marriott Beijing is located in a convenient location, with the subway and tourist attractions nearby; it is connected to the New World shopping center with a food court and supermarket. Some rooms have been renovated and rooms can be noisy due to traffic."
china_beijing_courtyard_by_marriott_beijing_northeast,"The Beijing Marriott Courtyard Hotel is located close to the airport and has staff that speak English, modern rooms, and a gym, lap pool, and spa tub. The hotel is located near a shopping center with a Starbucks and is close to public transportation."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is centrally located near Wangfujing Street, the Forbidden City, and Tiananmen Square, making it convenient for sightseeing and shopping. Some rooms offer club-level access with amenities like free internet and happy hour, while the hotel also features a pool, spa, and various dining options."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel has a warm pool, spa with steam and sauna, and a variety of restaurants. It is located near the Summer Palace, Peking University, and Tsinghua University, with subway access to the Forbidden Palace and Tiananmen."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel is located near the airport and exhibition center, but is far from downtown Beijing. It has modern amenities and spacious rooms."
china_beijing_crowne_plaza_park_view_wuzhou,"The Crowne Plaza Wuzhou is located near the Olympic Park and offers spacious rooms, a breakfast buffet with international cuisines, and a gym/pool facility. Some reviewers found it suitable for families, citing the spacious rooms, swimming pool, and proximity to the Bird's Nest and Water Cube."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel in Beijing is a new, clean hotel with large rooms, comfortable beds, and a pool. It is located near subway lines, making it easy to access different parts of the city, and offers a high-quality buffet breakfast."
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City Beijing is in a great central location near major attractions like Forbidden City and Tiananmen Square. The hotel is known for its cleanliness, helpful staff, and good value, though some rooms are small and may have limited natural light."
china_beijing_days_inn_joiest_beijing,"Days Inn Joiest, Beijing is a modern hotel with clean rooms, flat-screen TVs, and a buffet breakfast with a wide variety of foods. The hotel has a mini-golf course and is close to a shopping area."
china_beijing_double_happiness_courtyard_hotel,"Double Happiness Courtyard Hotel is a traditional Chinese courtyard hotel located in a hutong, offering unique rooms with Chinese-style decor, free internet, and breakfast. The hotel is close to a subway station and major attractions, with staff known for being friendly and helpful in English."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree Hilton Beijing is a modern hotel with spacious rooms, a rooftop pool and garden, and friendly staff. It is located outside the city center, but taxis are readily available for transportation to attractions."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel in Beijing offers large, clean rooms and a restaurant with a plentiful buffet including Asian dishes and vegetarian options. It features a vegas-like mall in the basement with restaurants, boutiques, spas, and a gym/pool, but is located in the northwest part of the city, requiring taxi rides to reach historical attractions."
china_beijing_fujian_hotel,"Fujian Hotel in Beijing is a conveniently located hotel near the 3rd ring road and a mall with a supermarket and food options. The hotel offers amenities such as free WIFI, fresh fruit, and a breakfast buffet with Chinese and Western options."
china_beijing_gloria_plaza_hotel_beijing,"Gloria Plaza Hotel is centrally located near shopping, restaurants, and an underground station, making it convenient for sightseeing. Some reviewers noted the spacious rooms and extensive breakfast buffet."
china_beijing_grand_hotel_beijing,"The Grand Hotel is centrally located near the Forbidden City and Tiananmen Square, making it convenient for tourists; it features spacious rooms, a luxurious feel, and a breakfast buffet with Western and Eastern options. The hotel provides services such as arranging tours, airport pickup, and has amenities like an indoor pool, gym and spa."
