Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is located in Haidian, away from the central areas of Beijing and tourist sites. Taking a taxi to the closest subway station costs 15-20 CNY."
china_beijing_ascott_beijing,"The Ascott Beijing is located in the CBD of Beijing, in the Chaoyang district, near the Guomao subway stop. It is within walking distance of the Silk Market."
china_beijing_autumn_garden_courtyard_hotel,"I am sorry, but the provided hotel information does not contain details about art museums. Therefore, I cannot provide a summary that includes the hotel's proximity to art museums."
china_beijing_bamboo_garden_hotel,"I am sorry, but this hotel is not described as being near any art museums. Reviewers do mention that it is within walking distance to the Drum Tower/Houhai Lake area."
china_beijing_beijing_century_towers,"The Century Towers Beijing hotel offers apartment-style rooms with multiple bedrooms, full kitchens, and dining rooms. It is located across the street from a large supermarket."
china_beijing_beijing_dong_fang_hotel,The Dong Fang Hotel is about a 30-minute walk or a short taxi ride to Tiananmen Square. The hotel is also located near a metro station.
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel is located in a hutong, about a 20-minute walk from Tiananmen Square and close to shops with art, antiques, and statues. Liulichang, known for its book shops with Chinese pen and ink prints, is also nearby."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is located in the northwest of the city, near Peking University, Tsinghua University, and the Summer Palace. It is not near the tourist attractions."
china_beijing_beijing_guangming_hotel,"The hotel is located off the 3rd Ring road (San Huan), near the US and Japanese embassies, and adjacent to a food street. The hotel is near the Hilton, across the street and one block away."
china_beijing_beijing_hotel,The hotel is located about half an hour away from the art zone (aka 798) by cab. The hotel has a vast collection of museum art on display throughout.
china_beijing_beijing_international_hotel,"I am sorry, but the reviews do not contain information about art museums, so I am unable to provide a summary."
china_beijing_beijing_jade_international_youth_hostel,"I'm sorry, but none of the reviews mention proximity to art museums. The hotel is within walking distance of the Forbidden City, Tiananmen Square, and Wangfujing shopping street."
china_beijing_beijing_sihe_courtyard_hotel,"I am sorry, but the provided hotel reviews do not contain information about the proximity to art museums. The hotel is located in a traditional Hutong area, near the Wangfujing street and within walking distance to the Forbidden City."
china_beijing_bohao_radegast_hotel_beijing,"I am sorry, the provided reviews do not mention proximity to art museums. The hotel is located in Beijing's Central Business District (CBD), within walking distance of an upscale mall and close to the new CCTV building."
china_beijing_capital_hotel_beijing,This hotel is within walking distance of Tiananmen Square and the Forbidden City. It is also near a subway station that goes to the shopping district.
china_beijing_china_world_hotel,"I am sorry, but the provided hotel reviews do not mention art museums. Therefore, I cannot generate a summary with the requested information."
china_beijing_city_hotel_beijing,"The City Hotel is located near a subway station, making it easy to access Tiananmen Square, the Forbidden City, and the Military Museum. It is also next door to pubs and close to local restaurants that cater to foreigners."
china_beijing_commune_by_the_great_wall_kempinski,"I am sorry, but this hotel is not near any art museums. It is located by the Great Wall of China."
china_beijing_courtyard_7,"Courtyard 7 is located in the hutongs near the Bell and Drum Towers, off Nanluoguxiang street. It is within walking distance of Hohai Lake, Beihai Park, and the Forbidden City, and a manageable stroll to Qianhai Lake."
china_beijing_courtyard_by_marriott,"I'm sorry, but the provided text does not contain information about nearby art museums. Therefore, I cannot create a summary based on the query."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is located near the Forbidden City, about 10 minutes from downtown without traffic, and a short (but unspecified) cab ride away from nicer restaurants. It is not particularly close to a subway station."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is centrally located on Wangfujing Street, within walking distance of Tiananmen Square and the Forbidden City, and near shopping and restaurants. It is also close to a subway station."
china_beijing_crowne_plaza_hotel_zhongguancun,"I am sorry, but none of the reviews mention proximity to any art museums. However, the hotel is located near Summer Palace, Peking University, Tsinghua University and the Olympic ""Bird Nest""."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"This hotel is located far from the city center, requiring a 40-minute to over an hour-long taxi ride to central Beijing. The hotel is close to the airport and exhibition center."
china_beijing_crowne_plaza_park_view_wuzhou,The Crowne Plaza Wuzhou is located a 30-45 minute taxi ride from central Beijing. The hotel is near the Olympic Park.
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel is located in Beijing's North East, near the third ring road and a 5-10 minute walk to the Shaoyaoju subway station on line 10, with easy subway access around the city. The hotel is surrounded by construction and a one-way road system."
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City is within walking distance of Tiananmen Square, Wangfujing Street, and the Forbidden City. It is also centrally located between two subway stations."
china_beijing_days_inn_joiest_beijing,"The hotel is located in a newly built commercial area and close to a shopping area (ChongWenMen DaJie), and Tiananmen and Wangfujing are within walking distance (though long, less than 1 hour). Bus lines in front of the hotel go to CiQiKou subway and GuoMao Carrefour supermarket."
china_beijing_double_happiness_courtyard_hotel,"I am sorry, I cannot answer the query. There is no mention of art museums in the reviews."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree Hilton Beijing is not near any major sites, a subway station, or the city center, but it is located in Xuan Wu District. There are art works inside the hotel."
