Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel has a stylish and modern decor, and is part of the Starwood group. It is located next to a Four Points hotel, and near a massive mall."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious apartments with full kitchens and laundry facilities, suitable for families or groups, and features amenities like a pool, gym, and in-house restaurants and shops. It is located in the CBD, near the Guo Mao subway station, and is popular with long-stay expats."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a smaller, traditional-style hotel located in a hutong (alleyway) near Tiananmen Square. Guests appreciate the hotel's unique location and helpful staff who offer services like trishaw rides and mobile phone use."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is a smaller hotel located in a historic building within the hutongs, featuring Chinese decor, gardens, and courtyards; some reviewers note it feels like an oasis, while others mention the surrounding area can be a bit scruffy. Rooms include computers with free internet access, and the hotel is located a short walk from the subway and Houhai Lake area."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with multiple bedrooms, full kitchens, and dining rooms, with rates as low as $85-$92/night. The hotel features amenities such as a workout room and a restaurant."
china_beijing_beijing_dong_fang_hotel,"The hotel has a coffee shop that is in an older part of the building with lots of character and a lobby bar. Rooms were described as spacious, bright and spotlessly clean with modern bathrooms."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel is located in a traditional Hutong neighborhood, offering a glimpse into local Beijing life. The hotel has a lobby, cafe, and tour booking service; the hostel has a courtyard, and rooms range from dorms to private rooms."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings set in a garden-like area, offering a mix of renovated and older rooms, some with amenities like marble bathrooms and purified water faucets. It features a range of facilities including multiple restaurants (like TGI Friday's), shops, and recreational options like a pool and fitness center (for an extra cost)."
china_beijing_beijing_guangming_hotel,"The hotel was recently remodeled and is described as a smaller version of the Hilton, with modern, hi-tech decor. The lobby is clean and 5-star-ish."
china_beijing_beijing_hotel,"The Beijing Hotel is a historic hotel with multiple buildings, some of which are older and have been updated. It is connected to the Raffles Hotel and located near Tiananmen Square and the Forbidden City."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is described as a large, conventional hotel with a spacious foyer and a business-oriented atmosphere, featuring amenities like a revolving restaurant with city views and a money exchange service. While some reviews mention the hotel being older and needing updates, others praise the comfortable rooms and extensive breakfast buffet with both Western and Chinese options."
china_beijing_beijing_jade_international_youth_hostel,"The hotel offers private rooms with ensuite bathrooms that are cleaned daily and provide amenities such as towels and toothbrushes. The facility is well-run, secure, and clean, resembling a hotel more than a typical hostel, with features like a tourist office and common areas."
china_beijing_beijing_sihe_courtyard_hotel,"This small, well-run hotel with a lot of atmosphere is located in one of the dwindling number of central Beijing neighborhoods that has not been modernized. It is a courtyard hotel that is an oasis of peace with a wonderful down to earth feel."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast is described as a modern and luxurious hotel with marble columns and glass adornments in the lobby. Rooms are spacious and well-appointed, with modernized lighting, electric curtains, and multiple restaurants."
china_beijing_capital_hotel_beijing,"The Capital Hotel has a grand lobby with statuettes and a live fish tank, a bowling alley, pool, and several restaurants including Sichuan and Northern Chinese. Some reviewers found the hotel to be a bit depressing and empty, but the location is central, and some upper-level rooms are Club level."
china_beijing_china_world_hotel,The China World Hotel has a grand and spacious lobby with live music and is connected to a high-end shopping mall. The Horizon Club level offers a lounge and rooms that can only be accessed by stairs within the club.
china_beijing_city_hotel_beijing,"The City Hotel is a no-frills accommodation in central Beijing, located next to bars and restaurants that cater to foreigners, and within walking distance of the subway. Some rooms are apartment-style with multiple beds, but may have hard beds and lack kitchen utensils."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall consists of architecturally unique villas spread across a valley, offering a private, unrestored section of the Great Wall, and features amenities such as a spa, kids club, and multiple restaurants. Some reviewers mention encountering wealthy Chinese and expats, while others note that the hotel can be busy with day tours and conferences."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing, located in the hutongs near the Bell and Drum Towers, off Nanluoguxiang street. The hotel features traditionally-designed furnishings and courtyards with trees and lanterns, creating a peaceful atmosphere."
china_beijing_courtyard_by_marriott,"The hotel has an executive lounge and is connected to the New World Shopping Center with a grocery store, food court, and department store. It is described as a safe haven at an affordable price, and some rooms have been recently renovated."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is modern and elegant, with an ultramodern bathroom that features a large walk-in shower. Guests can upgrade to the Club Level for a top-floor room."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is described as luxurious without being overly formal and a quiet refuge from the bustle of the city. It offers club-level rooms with access to a private lounge, free drinks, and personalized service."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel offers a Club Lounge with complimentary drinks and refreshments, as well as rooms with rain showers. Some reviewers mention attentive and personalized service, with staff remembering guests' names."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel is described as smart, clean, quiet, and modern, with spacious, well-equipped rooms. It features amenities like a club lounge, fitness center, spa, and multiple bars and lounges, but is located in an industrial area far from the city center."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel has an impressive look and feel with spacious, nicely decorated rooms. Club level rooms include breakfast, cocktails, and internet services."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace is a new, luxurious hotel with large rooms, comfortable beds, and spacious bathrooms. It features a Yunnan theme and a high-end focus, with multiple restaurants and a spa."
china_beijing_days_inn_forbidden_city_beijing,"The hotel features a modern design, courtyard setting, and is located near the Forbidden City and Tiananmen Square. The hotel offers amenities such as free internet, and helpful staff, but some rooms can be small and lack views."
china_beijing_days_inn_joiest_beijing,"The hotel features modern, clean rooms with flat-screen TVs and new bathroom fixtures, including massage showers. It offers a buffet breakfast with a wide variety of Western, Chinese, and Japanese foods."
china_beijing_double_happiness_courtyard_hotel,"The Double Happiness Courtyard Hotel is a traditional Chinese courtyard hotel with charming interiors and unique rooms arranged around an inner courtyard, located in a hutong (traditional alley neighborhood) in central Beijing. The hotel features carved wooden furniture, silk bedspreads, and a quiet atmosphere away from the city noise, with amenities like free internet and a bar."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree by Hilton Beijing is a new, modern hotel with spacious rooms and a rooftop pool and garden. Guests who book an executive floor room can enjoy services at the Executive Lounge."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel features a Vegas-like mall in the basement with restaurants, boutiques, spas, and a gym/pool free for VIP guests. Rooms are large and well-appointed."
china_beijing_fujian_hotel,"The Fujian Hotel is described as a good business hotel with comfortable rooms and standard amenities expected of a 4-5 star establishment, and frequented by a mix of Chinese and Western guests. While not stellar, it offers good value, free internet, and is conveniently located near the 3rd Ring Road, a mall, and about 20-30 minutes from the airport."
china_beijing_gloria_plaza_hotel_beijing,"The Gloria Plaza Hotel has spacious rooms and a grand lobby, with a location convenient to the underground and shopping. Reviews mention a good breakfast buffet and leisure center, but also note that the hotel caters to large tour groups."
china_beijing_grand_hotel_beijing,"The Grand Hotel Beijing features traditional decor with Chinese porcelain and rosewood furniture, aiming for classical charm rather than modern design. The hotel has multiple restaurants, secluded tea rooms, a three-story atrium, and a rooftop bar, with some reviewers noting the hotel does not attract the ""tonier set"" of other luxury hotels."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing is a luxury property in a great central location, connected to a high-end shopping mall. Regency Club level rooms offer access to a lounge with complimentary breakfast, drinks and appetizers."
china_beijing_grand_mercure_hotel_xidan,"The Grand Mercure Hotel Xidan Beijing features a lobby with pottery, glasswork, an aquarium, and a lounge with a bar, and it has a pool, spa, sauna, and fitness center. Rooms include amenities like bathrobes, and some reviewers mention upgrades to suites or executive rooms with access to private libraries and lounges."
china_beijing_grand_millennium_beijing,"The Grand Millennium has a modern and classy lobby, spacious and luxurious rooms, and is located in the Central Business District. It features a large gym, a huge indoor swimming pool, and a bar with a Chinese culture band."
china_beijing_grand_view_garden_hotel,"The Grand View Garden Hotel has a Chinese architectural style and a lobby with a marble staircase and piano, with multiple restaurants and a shop selling Olympic merchandise. Hotel guests get free access to a garden, Daguanyuan, based on the Chinese classic ""The Dream of the Red Mansion""."
china_beijing_guangzhou_hotel,"The Guangzhou Hotel is centrally located near Tiananmen Square and the Forbidden City, with shopping and restaurants nearby. Some rooms have been renovated for a more modern look, and the hotel offers a mix of Chinese and Western breakfast options."
china_beijing_harmony_hotel,"The Harmony Hotel is located near the Beijing Railway Station and subway, with clean rooms and staff who speak English. The hotel has a restaurant with a breakfast buffet and is within walking distance of shopping and tourist attractions."
china_beijing_hebei_hotel_beijing,"The Hebei Hotel is a courtyard hotel located in a traditional Hutong neighborhood, offering an authentic feel of old Beijing. It features suites that open onto a lovely courtyard with a water feature, providing a sense of historical charm and tranquility."
china_beijing_hilton_beijing,"The Executive Lounge offers complimentary drinks and food, with attentive service. Some reviewers mention automatic upgrades to the Executive tower for Diamond members."
china_beijing_hilton_beijing_wangfujing,"The Hilton Beijing Wangfujing has a boutique hotel style with modern, sleek decor and is not too big in size, providing a cozy atmosphere. Executive level rooms have access to a lounge with benefits, and the hotel has a smaller gym and nice pool."
china_beijing_holiday_inn_beijing_lido,"The Holiday Inn Lido offers multiple restaurants, a gym, pool, sauna, and shops, and is connected to the Lido Place shopping mall with restaurants and a bowling alley. Rooms on the Executive floor are well-appointed, and the hotel is located in a less busy, more local area, a short taxi ride from downtown."
china_beijing_holiday_inn_central_plaza,"The Holiday Inn Central Plaza is described as a modern, stylish hotel that feels like a 5-star experience but isn't pretentious, with excellent service and spacious, well-maintained rooms. The hotel features a huge lobby, a well-equipped gym, and several high-quality restaurants."
china_beijing_holiday_inn_chang_an_west,"The hotel offers an executive level with upgraded rooms comparable to a 5-star hotel in the US, including access to an executive lounge with free food and drinks, and services like free laundry. Guests on the executive floor receive a higher level of service, with staff going above and beyond to make them feel at home."
china_beijing_holiday_inn_downtown_beijing,"The Holiday Inn Downtown Beijing offers executive level rooms with access to an executive lounge, complimentary internet, soft drinks, beer, and laundry service. Some reviewers mention the hotel is undergoing renovations."
china_beijing_holiday_inn_express_beijing_minzuyuan,"The hotel is modern, new, and clean, with spacious rooms and luxurious showers. It is located near the Olympic Park and a subway station, but away from the city center in a more traditional Chinese area."
china_beijing_holiday_inn_express_beijing_temple_of_heaven,"The Holiday Inn Express Temple of Heaven offers clean, modern rooms with free Wi-Fi and internet terminals. It is located in a quiet, residential area a short taxi ride away from major attractions, with a free breakfast buffet and laundry facilities."
china_beijing_holiday_inn_express_beijing_wangjing,"The hotel is new with modern furniture and amenities, and rooms include flat-screen TVs. It is located above an upmarket shopping mall and across the road from a shopping plaza with restaurants."
china_beijing_holiday_inn_temple_of_heaven,"The Holiday Inn Temple of Heaven offers an executive floor with perks such as a free breakfast buffet, laundry allowance, mini-bar beverages, and access to an executive lounge with snacks and happy hour. Some reviewers mention silver service in the dining areas and excellent service from the staff."
china_beijing_hollyear_hotel_beijing,"The hotel appears to cater primarily to Asian guests and has limited English-speaking staff. It features a small gym on the 3rd floor, but the lights are turned off when the gym is closed."
china_beijing_hotel_cote_cour_beijing,"The Hotel Cote Cour SL is a small, beautifully designed hotel located in a quiet hutong in the center of Beijing. It has well-appointed rooms and bathrooms, a stylish lounge, and a courtyard."
china_beijing_hotel_g,"Hotel G is a modern, trendy boutique hotel with large, well-designed rooms and a warm, friendly staff, located near Sanlitun, close to bars, clubs, restaurants and shopping. It offers a relaxed and flexible check-in/out policy, a wine bar with theme parties, a pillow menu, and the ability to choose the color of the lights on the windows."
china_beijing_hotel_ibis_beijing_sanyuan,"The hotel is a standard, clean Ibis hotel located next to the Sanyuanqiao subway station, the first stop on the Airport Express train. It is situated in a new development area, near a Novotel, with limited dining or shopping options in the immediate vicinity."
china_beijing_hotel_kunlun,"The executive level (floors 21 and above) offers renovated rooms, butler service, free food on the top floor, and great bathrooms. The hotel features multiple restaurants and bars, including a revolving restaurant on the 29th floor."
china_beijing_hotel_new_otani_chang_fu_gong,"The New Otani Chang Fu Gong Hotel has a beautiful lobby, thematic restaurants, and a luxury day spa with a beauty salon. Some reviewers considered it a luxury hotel with elegant, clean, and well-equipped rooms."
