Hotel,Summary
china_beijing_aloft_beijing_haidian,There are a couple of computers and a pool table in the communal area. There are a number of good restaurants in the Four Points Sheraton next door and a massive mall about a block away that has other dining options.
china_beijing_ascott_beijing,"The Ascott Beijing is located in a building with several restaurants, art galleries, a massage place, a convenience store, and a tea house. The breakfast is served in the Casa Mia Italian restaurant."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel has a friendly staff that speaks English and is very helpful. The hotel provides a map, a mobile phone to use during your stay, and a tricycle service to the main road."
china_beijing_bamboo_garden_hotel,"Many reviewers mention the hotel's proximity to restaurants, bars, and the Houhai Lake area, which offers public dancing and singing. Some reviews note that most guests are older tourists who travel in groups."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with multiple bedrooms, living rooms, and dining areas, which can accommodate large groups. The hotel has a small restaurant and is located across the street from a large supermarket."
china_beijing_beijing_dong_fang_hotel,"The hotel has a coffee shop with character, also serving as a bar. There is also a karaoke bar and nightclub."
china_beijing_beijing_far_east_international_youth_hostel,The hostel part of the Far East International Youth Hostel has a courtyard that acts as a communal meeting space where travelers can socialize. There is also a basement bar in the hotel with internet access where people can hang out and watch movies.
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel has multiple restaurants including a TGI Friday's, a pub, and a beer garden. It is a large complex with underground walkways connecting buildings and shopping counters."
china_beijing_beijing_guangming_hotel,"The hotel is near a food street adjacent to it, and in the embassy district. The lobby is clean and 5 star-ish."
china_beijing_beijing_hotel,"The Beijing Hotel is connected to the Raffles Hotel, and guests can access facilities like the tennis court, bowling alley, pool, and billiard room for a fee. The lobby can be crowded and busy."
china_beijing_beijing_international_hotel,"The hotel has a bar on the second floor, but limited seating in the lobby. The hotel is often used by tour groups."
china_beijing_beijing_jade_international_youth_hostel,"The hostel has a huge common area with TV, stereo, couches, and books, as well as a popular bar/lounge with movies, cheap beer, and table football. However, some reviewers noted that the hostel doesn't necessarily have a strong social atmosphere."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel has a courtyard where guests can meet and compare experiences, and breakfast is also a social event where adventurers trade hints each morning. The hotel is small and intimate, and the courtyard can be a great location to make contacts with other travelers."
china_beijing_bohao_radegast_hotel_beijing,The hotel has 4-5 restaurants and is close to shopping centers and local restaurants. There is no hotel bar and all restaurants close at 10 pm.
china_beijing_capital_hotel_beijing,"The hotel has 3 bars, a bowling alley, and several superb restaurants including a Sichuan and a northern Chinese restaurant. The lobby is enormous, and there is a live fish tank in the lobby."
china_beijing_china_world_hotel,"The China World Hotel has a grand and spacious lobby with live music, and is connected to a shopping mall with a variety of restaurants. There is also a tea lounge in the lobby."
china_beijing_city_hotel_beijing,"The hotel is next door to several good pubs and local restaurants that cater to foreigners, and staff encouraged strangers to sit with you at breakfast."
china_beijing_commune_by_the_great_wall_kempinski,"The hotel consists of individual houses that have separate bedrooms with bathrooms and a shared living room/kitchen, and some villas can be rented as a whole or by room. Some reviewers found the communal spaces ideal for large families, while others would not want to share with strangers."
china_beijing_courtyard_7,"Courtyard 7 is located off Nanluoguxiang, a street with designer shops, bars, and restaurants, and is near clubs like Mao Live House and Yu Gong Yi Shan. The hotel courtyard is a place to socialize, and some rooms have private courtyards."
china_beijing_courtyard_by_marriott,"The hotel is connected to the New World Shopping Center, which includes fast food chains, a food court, a supermarket and a gym. There is a bar/lounge on the ground floor."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel restaurant's breakfast buffet is a social gathering point for business travelers, both Western and Chinese. There is a bar downstairs."
china_beijing_crowne_plaza_hotel_beijing,The hotel has a bar in the lobby that is a nice place to get a quick drink. Guests in executive club rooms can meet other interesting people from different parts of the world in a private lounge.
china_beijing_crowne_plaza_hotel_zhongguancun,The hotel has a Club Lounge where guests can relax and enjoy drinks and refreshments. There are multiple restaurants including Valley Cafe which provides a breakfast buffet.
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel has a bar that offers good international sports coverage on TV but was virtually empty during stays. It also has a club lounge with free drinks and nibbles for 2 hours at night, but it was very quiet."
china_beijing_crowne_plaza_park_view_wuzhou,"Multiple restaurants are in the hotel, including a Brazilian restaurant. There are also restaurants and a small shopping area within a 5-10 minute walk."
china_beijing_crowne_plaza_sun_palace_beijing,"The hotel has evening live music in the lobby, and several restaurants are housed in an adjoining complex. One reviewer mentioned that at times there seemed to be more staff waiting to serve than guests."
china_beijing_days_inn_forbidden_city_beijing,"I am sorry, but none of the hotel reviews mention opportunities for socializing."
china_beijing_days_inn_joiest_beijing,The hotel has a buffet breakfast at the 4th floor with a wide variety of foods. There is a mini-golf course on the 2nd floor.
china_beijing_double_happiness_courtyard_hotel,"The Double Happiness Courtyard Hotel has a cosy little bar, a small courtyard, and a lounge where guests can relax and chat. Some reviewers mention meeting other travelers and even Olympic athletes at the hotel."
china_beijing_doubletree_by_hilton_beijing,The hotel has a bar on the ground floor that serves drinks and an executive lounge that serves evening hors d'oeuvres and drinks. The hotel also has a restaurant.
china_beijing_empark_grand_hotel,"The Empark Grand Hotel has a Vegas-like mall in the basement with restaurants, boutiques, and a spa. There is also a gym and pool that is free for VIP guests."
china_beijing_fujian_hotel,"I am sorry, but there is no information about opportunities for socializing at the Fujian Hotel in these reviews."
china_beijing_gloria_plaza_hotel_beijing,The hotel caters to large tour groups and may lack attention to individual guests. The hotel has a grand entrance and lounge area where you can have a coffee or drink and watch people.
china_beijing_grand_hotel_beijing,The hotel has an atrium with live music in the evenings and a fountain bar. There is also a lounge on the 3rd floor for reading and relaxing.
china_beijing_grand_hyatt_beijing,The Grand Hyatt Beijing has a lobby lounge that is a great place to meet people. The Red Moon bar offers live music and is a comfortable lounge place.
china_beijing_grand_mercure_hotel_xidan,"The hotel has a lobby bar popular with Westerners, and a lobby with free WIFI and comfortable seating. There is also a V9 restaurant with buffet-style food."
china_beijing_grand_millennium_beijing,"The Grand Millennium has a ground floor lobby lounge with live music and a bar, but the bar's atmosphere may not appeal to everyone. Some reviewers mentioned meeting people on tours arranged by the hotel."
china_beijing_grand_view_garden_hotel,"The hotel has a bar, 3 restaurants, a disco, snooker table, and bowling alley. Breakfast is served in 3 rooms that double as restaurants."
