Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is located in Haidian, away from downtown Beijing and close to a large shopping center with various dining options, including restaurants serving dog meat. The hotel is near the last metro stop, requiring a taxi ride, and some taxi drivers may not know the location."
china_beijing_ascott_beijing,"The Ascott Beijing is located in the CBD, close to the subway, with restaurants, a mini-mart, and a 7-Eleven nearby. However, it's noted as not being a ""tourist hotel,"" requiring visitors to do their own research, though the staff can provide information."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong, offering a glimpse into the local Beijing way of life, and is a short walk from Tiananmen Square. It provides services such as a trishaw to the main road and a mobile phone for use during the stay."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel, located in a hutong, offers traditionally decorated rooms, a tranquil courtyard, and is within walking distance of the Houhai Lake area, Drum Tower, and subway. Some rooms feature in-room computers and views of the gardens."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with kitchens, dining areas, and washer/dryers, located across the street from a large supermarket, allowing guests to cook meals. The hotel also features a restaurant where basic Chinese phrases may be helpful due to limited English spoken by the staff."
china_beijing_beijing_dong_fang_hotel,The Dong Fang Hotel is located about 30 minutes walking distance from Tiananmen Square and has a coffee shop in an older part of the building with lots of character. The hotel offers both Western and Asian breakfast options and is close to a street market and shops.
china_beijing_beijing_far_east_international_youth_hostel,"Located in the hutongs of old Beijing, the Far East Hotel/Hostel offers a glimpse into traditional Chinese life with its proximity to local restaurants, shops, and cultural sites like Tiananmen Square. The hotel is situated in a neighborhood with narrow streets and bustling local activity."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is a large complex built in the 1950s with multiple buildings connected by underground passageways, featuring gardens and a mix of Chinese and Western restaurants. It is located in northwest Beijing, near universities and about 45 minutes from the city center."
china_beijing_beijing_guangming_hotel,"The Guangming Hotel is located off the 3rd Ring Road, near a food street and the US and Japanese embassies. It offers modern, hi-tech rooms with international TV channels and is noted for its convenient currency exchange rates."
china_beijing_beijing_hotel,"The Beijing Hotel is a historic hotel in a central location, within walking distance of Tiananmen Square, the Forbidden City, and the Wangfujing shopping street. It consists of three distinct buildings, with Building B being the oldest and having a communist-era aesthetic."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is centrally located near the train station and subway, within walking distance of Tiananmen Square, Wangfujing Street, and the Forbidden City. However, some reviews mention a lack of real-life experiences or good restaurants in the immediate area."
china_beijing_beijing_jade_international_youth_hostel,"The Jade Youth Hostel is located within walking distance of major sights like the Forbidden City, Tiananmen Square, and the Night Market. It's situated in a historic area down a long alley, offering a glimpse into local life."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a small, traditional courtyard-style hotel located in a hutong, offering an authentic Chinese experience with traditional furnishings and a peaceful courtyard. It is situated in a local neighborhood, within walking distance to the Forbidden City and the Wangfujing shopping area."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Hotel CBD Beijing is described as a typical Chinese 5-star hotel with Chinese-style furnishings. The hotel is located in a classy, young neighborhood that is quiet but very central, and close to shopping centers and local restaurants."
china_beijing_capital_hotel_beijing,"The Capital Hotel is located within walking distance of Tiananmen Square, the Forbidden City, and Wangfujing shopping street. The hotel offers excursions to the Great Wall, and some staff can write destinations in Chinese for taxi drivers."
