Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is modern and stylish, but some reviewers mention the reception staff being incompetent and the rooms having cheap blinds. A reviewer suggests paying double for the Westin in Chaoyang or Financial Street for a true 5-star service experience."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious apartments with full kitchens, laundry facilities, and amenities like a pool, gym, and on-site restaurants including Italian, Japanese, and Starbucks. Some rooms feature L'Occitane toiletries and massage services are available in-room."
china_beijing_autumn_garden_courtyard_hotel,"The hotel offers traditional-style rooms with modern western-style bathrooms and is located in a hutong near Tiananmen Square. Though described as not upper class with narrow streets, it is considered an oasis with a quiet courtyard and helpful staff."
china_beijing_bamboo_garden_hotel,The Bamboo Garden Hotel offers suites with Chinese-style furniture and flat-screen TVs. Some reviewers noted that the bathrooms are small and that the towels are thin.
china_beijing_beijing_century_towers,"The hotel offers apartment-style rooms, including a large 3-bedroom option with a full kitchen, dining room, 2 full bathrooms with American Standard fixtures, and a washer/dryer. Rooms also include a flat-screen TV with cable, and the hotel has a work-out room in the basement."
china_beijing_beijing_dong_fang_hotel,"The hotel rooms have been refurbished and are modern, with amenities expected in a Western-style hotel. There is a coffee shop with character that doubles as a bar, and a breakfast buffet with a variety of European and Chinese foods."
china_beijing_beijing_far_east_international_youth_hostel,"The hotel offers standard and deluxe rooms, with the latter featuring wooden floors instead of carpets. Rooms include amenities like TVs and refrigerators."
china_beijing_beijing_friendship_hotel_grand_building,"Building 1 is rated as 5-star with mini-suites that include a lounge, bedroom, large bathroom, flat-screen TVs, and free ethernet; the hotel also has a sports center with an impressive 50m pool, tennis courts, and a gym for an extra fee. Some rooms have marble walls and floors, separate showers and bathtubs, comfortable bedding, and numerous English TV channels."
china_beijing_beijing_guangming_hotel,"The hotel was recently remodeled and has a lobby that is 5-star-ish. Rooms are well-decorated and modern, with LCD TVs that have many international channels."
china_beijing_beijing_hotel,"The Beijing Hotel is a historic hotel with multiple buildings; Building A is newer while Buildings B and C are older, with some reviewers noting outdated decor. Some rooms have balconies with views of Chang An Avenue or the Forbidden City, and the hotel is connected to the Raffles Hotel."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is a large, centrally located hotel with amenities such as a spa, gym, and revolving restaurant on the 28th floor offering city views; some rooms feature marble bathrooms and a pillow menu. Some reviewers note the hotel may be older, with some maintenance issues and that China's 5-star rating may not align with Western standards."
china_beijing_beijing_jade_international_youth_hostel,"The hotel offers private rooms with ensuite bathrooms, TV, and daily cleaning service, similar to a 3-star hotel standard. A buffet breakfast is available for an extra charge."
china_beijing_beijing_sihe_courtyard_hotel,"The hotel has antique Chinese furnishings, and VIP rooms are available. Some reviewers considered it overpriced compared to luxury hotels and noted small rooms."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern, luxurious hotel with spacious, well-appointed rooms, marble columns in the lobby, and a spa with a swimming pool. Some rooms feature a soaking tub with a TV, and the hotel offers multiple restaurants with various cuisines."
china_beijing_capital_hotel_beijing,"The Capital Hotel is a large, full-service hotel with amenities such as a pool, spa, bowling alley, and multiple restaurants; club-level rooms are available and include lounge access with complimentary internet. Rooms range from updated and luxurious to outdated, and some offer views of the Forbidden City."
china_beijing_china_world_hotel,"The China World Hotel is a 5-star hotel that is part of the Shangri-La chain, known for its opulent public areas, well-equipped rooms, and high service levels. It is connected to a shopping mall with designer stores and has a gym, pool, and several restaurants, with some reviewers noting the breakfast buffet is extensive and luxurious."
china_beijing_city_hotel_beijing,"The City Hotel offers apartments with multiple single beds, a stove, and a fridge, but may lack utensils. It is located near bars, restaurants catering to foreigners, and a subway station that provides access to Tiananmen Square and the Forbidden City."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers architect-designed villas with private access to an unrestored section of the Great Wall. It features restaurants, a spa, and a kids club, but some report that the service and amenities do not consistently meet luxury expectations."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel with beautifully furnished rooms, some including private courtyards and saunas. The hotel offers amenities such as heated floors, free internet, and is located near designer shops, bars, and restaurants."
china_beijing_courtyard_by_marriott,"This hotel is connected to the New World Shopping Center and has amenities such as an executive lounge, pool, and gym. Reviews mention that the hotel has both renovated and unrenovated rooms, with some bathrooms needing upgrades."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is modern with well-appointed rooms, featuring large flat-screen TVs and ultramodern bathrooms with walk-in showers. Guests can enjoy amenities such as a fitness room, lap pool, and hot tub."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is a modern, luxurious hotel with well-decorated rooms and a stunning atrium, located on Wangfujing Street, a main shopping street with easy access to major tourist sites. Some rooms offer access to a club lounge with complimentary services such as breakfast, happy hour, and laundry."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel offers a spa, Club Lounge with free internet, and several restaurants including a Chinese restaurant called Rouge. Suites feature spacious rooms and rain showers."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The Crowne Plaza Beijing Intl Airport Hotel is described as a new and gorgeous hotel with comfortable rooms, high-quality linens, and marble bathrooms. It offers amenities such as a gym, multiple restaurants and lounges, and a spa with massage services."
china_beijing_crowne_plaza_park_view_wuzhou,"The Crowne Plaza Wuzhou is described as a clean, modern, and comfortable five-star hotel with spacious, nicely decorated rooms. It offers multiple restaurants, a large heated swimming pool, and a gym, with some reviewers highlighting the Brazilian restaurant and breakfast buffet."
china_beijing_crowne_plaza_sun_palace_beijing,"This luxurious hotel offers spacious rooms with comfortable beds, excellent bathrooms, and a spa with a swimming pool and saunas. The hotel has a fabulous buffet breakfast with a wide selection of international cuisines, and attentive staff catering to guests' needs."
china_beijing_days_inn_forbidden_city_beijing,"The hotel is not luxurious and is described as a 3-star hotel, with rooms that are small and have hard beds. Some rooms are located in a half-basement, and some reviewers noted issues with cleanliness and maintenance."
china_beijing_days_inn_joiest_beijing,"The hotel has modern rooms with flat screen TVs, massage showers, and a buffet breakfast with a wide variety of foods, but some rooms may have machine noise problems. Some reviewers noted issues such as peeling wallpaper, dirty rooms, and cigarette smoke."
china_beijing_double_happiness_courtyard_hotel,"The hotel is a traditional Chinese courtyard hotel with rooms decorated with carved wooden furniture and silk bedspreads. The rooms have a/c, flat screen TVs and marble bathrooms, but some guests have complained about hard mattresses."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree Hilton Beijing is a new, modern hotel with spacious rooms and excellent service, including an executive lounge and rooftop pool. Some reviewers mention 5-star accommodations and excellent breakfast options."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel is described as an elegant, 5-star hotel with large rooms. It features a vegas-like mall in the basement with restaurants, boutiques, spas, and a gym/pool, along with a Golden Resources Cafeteria offering breakfast and dinner buffets."
china_beijing_fujian_hotel,"The Fujian Hotel offers amenities expected of a 4-5 star hotel, including free WIFI, fresh fruit, a mini bar, and a full complement of toiletries. Rooms have CNN and HBO in English, and the hotel offers both Western and Chinese food options, with a breakfast buffet."
china_beijing_gloria_plaza_hotel_beijing,"The hotel has a leisure center, indoor pool, beauty salon, and several restaurants. Some rooms have been renovated with deep pile carpets and new furniture."
china_beijing_grand_hotel_beijing,"The Grand Hotel is a luxury hotel centrally located near the Forbidden City and Tiananmen Square, offering spacious, traditionally decorated rooms, some with Forbidden City views. It features a marble bath with separate shower and tub, an indoor pool, a health club, and an atrium with live music."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing is a luxury hotel connected to a high-end shopping mall, offering upscale rooms, a fantastic pool and spa, and fine dining options like the Made in China restaurant. The hotel is centrally located near major attractions and shopping areas, with options for airport pick-up, club-level amenities, and family-friendly accommodations."
china_beijing_grand_mercure_hotel_xidan,"The hotel features a lobby with fine pottery and glasswork, a swimming pool, spa, sauna, and fitness center. Some reviewers mention being upgraded to suites with comfortable beds and luxurious bathrooms."
china_beijing_grand_millennium_beijing,"The Grand Millennium Hotel offers spacious and luxurious rooms with large bathrooms, flat-screen TVs, and complimentary internet. It features a gym, a large indoor swimming pool, and multiple restaurants offering a range of eastern and western delicacies."
china_beijing_grand_view_garden_hotel,"The Grand View Garden Hotel has multiple restaurants, a bowling alley, disco, snooker table, and a pool, but the pool changing area is small and in need of renovation. Some reviewers found the hotel to be outdated and worn, while others found the Chinese architecture style and lobby to be impressive."
china_beijing_guangzhou_hotel,"The Guangzhou Hotel is centrally located near Tiananmen Square and the Forbidden City, with spacious rooms. Some rooms have been renovated with a modern look."
china_beijing_harmony_hotel,"The hotel is located near the Beijing Railway Station and subway, with some rooms being spacious ""deluxe"" rooms featuring a sofa and chairs. Some reviewers noted in-room massage services."
china_beijing_hebei_hotel_beijing,"The hotel offers courtyard suites with well-equipped, large bedrooms and sitting rooms, air conditioning, TVs, nice bathrooms, and water coolers, overlooking a courtyard with a water feature. These suites are more expensive, with rack rates of 1200 RMB and 2100 RMB."
china_beijing_hilton_beijing,"The Hilton Beijing offers newly refurbished rooms with amenities such as flat-screen TVs in bathrooms, large soaking tubs, and separate shower stalls. Executive level guests receive access to a lounge with complimentary drinks and snacks and can enjoy services like concierge assistance, in-room massage, and a gym with squash courts and an indoor pool."
china_beijing_hilton_beijing_wangfujing,"The Hilton Wangfujing offers large, modern rooms with high-tech amenities like rain showers, video screens in the bathroom, and electrical curtains. Guests can enjoy access to the executive lounge, a well-equipped fitness center, and a large pool."
china_beijing_holiday_inn_beijing_lido,"The hotel has an executive floor with a lounge, gym, pool, sauna, beauty center, shops, and several restaurants including a steak house, Thai, and Indian. Some reviewers mention features that are not up to date and that the hotel is showing its age."
china_beijing_holiday_inn_central_plaza,"The Holiday Inn Central Plaza is a modern, spacious, and well-furnished 4-star hotel with amenities such as multiple restaurants, a pool, and a gym. Executive level rooms include breakfast, internet, evening cocktails, and snacks."
china_beijing_holiday_inn_chang_an_west,"The hotel offers executive rooms comparable to a 5-star hotel in the US, with access to an executive lounge offering free food and drinks, and includes a buffet breakfast. Some rooms have separate showers, extra-large bathrooms, and electric pants presses."
china_beijing_holiday_inn_downtown_beijing,"The executive floor rooms are renovated with flat screen TVs and complimentary internet, soft drinks, beer, and laundry service. However, the hotel building is old, the gym is missing equipment, and the pool is small."
china_beijing_holiday_inn_express_beijing_minzuyuan,"This hotel is modern and new, with large rooms and luxurious showers. However, the hotel attracts many domestic bus tour groups, and service can be slow when they arrive."
china_beijing_holiday_inn_express_beijing_temple_of_heaven,"This hotel is a Holiday Inn Express, offering modern, clean rooms. It is located a taxi ride away from the city center and does not have convenient subway access."
china_beijing_holiday_inn_express_beijing_wangjing,"The hotel rooms have flat-panel TVs and clock-radios with iPod docks. It is located above Focus Mall, an upmarket shopping mall."
china_beijing_holiday_inn_temple_of_heaven,"The hotel offers an executive floor with perks like a free breakfast buffet, laundry allowance, mini-bar drinks, and access to the executive lounge with snacks and happy hour. Some reviewers noted silver service in the dining areas."
china_beijing_hollyear_hotel_beijing,"This hotel was described as a 2-3 star hotel by American standards, and had hard beds, stained showers, and terrible towels. There is a gym, but the lights are turned off when it is closed."
china_beijing_hotel_cote_cour_beijing,"Hotel Cote Cour SL is a boutique hotel located in a traditional Beijing hutong offering well-appointed rooms and bathrooms. The hotel provides modern amenities, stylish lounges, and personalized service."
china_beijing_hotel_g,"Hotel G offers stylish and spacious rooms with amenities like L'Occitane toiletries, comfortable beds with pillow menus, free Wi-Fi, and a mini-bar with complimentary soft drinks. Some rooms have features like mood lighting, large TVs, and access to a gym with modern equipment."
china_beijing_hotel_ibis_beijing_sanyuan,"This hotel is located near the Sanyuanqiao subway station, the first stop on the Airport Express train, but a taxi driver may have difficulty finding it. There is no free mineral water in the rooms, and Evian is available for 25 RMB in the bar."
china_beijing_hotel_kunlun,"The Kunlun Hotel offers executive level rooms on the 21st floor and above that are renovated with butler service, free food on the top floor, and great bathrooms. Some rooms feature city views and large bathrooms with LCD screens, and there is also a revolving restaurant on the 29th floor."
china_beijing_hotel_new_otani_chang_fu_gong,"The New Otani Chang Fu Gong Hotel is described as a luxury hotel with elegant, clean, and well-equipped rooms, multiple thematic restaurants, a swimming pool, indoor tennis/basketball/volleyball courts, and a luxury day spa with a beauty salon. Some reviewers noted that it is not quite a 5-star hotel."
china_beijing_howard_johnson_paragon,"The hotel has an executive floor with a separate lounge and rooms that are clean and relatively big; some rooms have balconies facing the atrium. Some reviewers mentioned booking the ""Club HoJo"" for extra amenities."
china_beijing_huadu_hotel,"The hotel rooms include robes and slippers, and the hotel has multiple restaurants. Rooms include amenities such as a small fridge, drinking water dispenser with water heater, and some office supplies."
china_beijing_hwa_apartment_hotel,"This is an apartment-style business hotel with apartment-style rooms that are very big, like a one-bedroom apartment, but the hotel is not luxurious. The hotel has amenities such as a pool, gym with a squash court, and breakfast, but the pool area is in the basement and a bit gloomy, and the gym is basic."
china_beijing_intercontinental_beijing_beichen,"The Intercontinental Beijing Beichen is a modern, upscale hotel with elegant furnishings, located across from the Olympic Green and offering views of the Bird's Nest and Water Cube. It features amenities such as large rooms with marble bathrooms, LCD TVs, well-equipped work desks, a fitness center, and an infinity pool, with some rooms offering hot pots, French presses, and pillow menus."
china_beijing_intercontinental_financial_street_beijing,"The Intercontinental Beijing is a modern, upscale hotel with spacious rooms, large bathrooms featuring separate tubs and showers, and high-end amenities. Guests can enjoy a luxurious experience with access to a spa, a well-equipped fitness center, and club-level privileges including lounge access with complimentary food and drinks."
china_beijing_jade_garden_hotel,The hotel has a history as a guesthouse during the Long March and was completely redone for the Beijing Olympics. Some reviewers were upgraded to superior rooms that were large and well appointed.
china_beijing_jian_guo_hotel,"The hotel has renovated rooms, particularly those on the Executive level of the A tower, and split-level suites with balconies overlooking the hotel garden. It also has a French restaurant, a pastry shop, a salon, and a gym with a view over the courtyard gardens and pools."
china_beijing_jianguo_hotel_qianmen_beijing,"The hotel is described as clean and well-appointed, with an elegant lobby and a Beijing Opera theme, including nightly opera performances. Some reviewers mention a ""4-star feel"" and ""grand luxe,"" while others found the hotel to be average or boring."
china_beijing_jinqiao_international_apartment_hotel,"The Jinqiao Hotel Apartments, also known as Junqiao Apartments Hotel or Jinqiao International Garden, offers roomy, modern apartments with kitchens and amenities such as a washer/dryer. The hotel includes a Western-themed restaurant, a bar, and a grocery store."
china_beijing_joy_city_hotel,"The hotel offers suites with kitchens including electric kettle, washing machine, microwave, full-size fridge and a stove top cooker, and some rooms have large HDTVs. It is connected to the Joy City shopping mall with various shops and restaurants, and is located close to the subway and airport bus."
china_beijing_jw_marriott_hotel_beijing,"The JW Marriott Beijing is a modern, upscale hotel with spacious rooms, large marble bathrooms with TVs, and high-end amenities. It features an extensive gym, indoor pool, spa, and executive lounge, and is connected to a shopping mall with luxury shops and restaurants."
china_beijing_kapok_hotel,"Hotel Kapok offers modern, stylish rooms with amenities like glass-walled bathrooms, free internet, and optional upgrades to courtyard or fashion suites; some reviewers describe it as a 4.5 to 5-star experience. The hotel is centrally located near the Forbidden City and Wangfujing shopping area."
china_beijing_kellys_courtyard,"Kelly's Courtyard is a small, 9-room accommodation decorated with a glass-covered courtyard, chinoiserie, a carp-filled pond, and a rooftop terrace. It also features a mezzanine reading-TV-internet lounge."
china_beijing_kempinski_hotel_beijing_lufthansa_center,"The Kempinski Lufthansa Centre offers multiple dining options, including German, Italian, and Chinese cuisines, and is connected to the Lufthansa Shopping Centre, which features a supermarket. Some rooms feature amenities such as music in the bathroom, and the hotel also has a swimming pool with city views."
china_beijing_kuntai_royal_hotel,"The Kuntai Royal Hotel offers spacious rooms with comfortable beds, marble bathrooms featuring separate showers and tubs, and a large indoor pool. Some rooms have luxurious bathrooms with dimming lights and TV speakers, and the hotel provides amenities like bathrobes and high-quality toiletries."
china_beijing_lee_garden_service_apartment_beijing,"Lee Gardens Service Apartment offers spacious apartments with kitchenettes, a gym, and a pool, and is located near the Wangfujing shopping area. Some reviewers noted the presence of high-end hotels in the area, and that the hotel offers a cheaper alternative to them."
china_beijing_legendale_hotel_beijing,"The Legendale Hotel in Beijing offers spacious, well-equipped rooms with large bathrooms and Loccitane amenities. It features an indoor pool, health club with jacuzzies, and is located near a shopping center and dining options."
china_beijing_loong_palace_hotel_resort,"The Loong Palace is a 5-star hotel with facilities such as indoor tennis courts, a bowling alley, a recreation center/gymnasium, a pool, and a spa. Rooms are spacious and clean with black marble bathrooms."
china_beijing_luxury_serviced_residence,"The Luxury Serviced Residence offers spacious apartments with full kitchens and multiple bathrooms, some with a loft-style layout. It's located in the embassy area, near a 24-hour convenience store, with access to breakfast at a nearby cafe."
china_beijing_marco_polo_parkside_hotel,"The Marco Polo Parkside is described as a 5-star hotel with spacious rooms, luxurious bathrooms, and amenities like flat-screen TVs and 24-hour room service; some rooms feature a glass wall between the bathroom and bedroom. It is located near the Olympic Park, with a subway station about 10-15 minutes away by foot, and offers a breakfast buffet with a variety of Western and Chinese dishes."
china_beijing_marriott_beijing_hotel_west,"The Marriott West Beijing offers generous-sized rooms, with suites featuring jacuzzi tubs; the executive lounge provides perks like free internet, breakfast, and happy hour. Guests have access to a Bally's Fitness Center."
china_beijing_marriott_executive_apartments_sandalwood,"The Marriott features spacious 2-bedroom apartments with fully equipped kitchens, home cinema systems, and access to a gym, swimming pool, sauna, and steam room. It is located in the Chaoyang district, with a high-end mall nearby, and offers amenities such as same-day laundry service."
china_beijing_marriott_hotel_beijing_city_wall,"The hotel is newly constructed with spacious and beautifully appointed rooms. It has an Olympic-size heated pool and a spa with private rooms, rose petals, candles, and aromatherapy oils for massages and baths."
china_beijing_mercure_wanshang_beijing,The hotel has a gym that some reviewers considered world-class and a spa with massage services. Some reviewers found the rooms large and the hotel spotless.
china_beijing_michael_s_house_in_beijing,"The Emperor's Suite offers a spacious living area with a comfortable sofa, flat-screen TV, and a computer with internet access. Deluxe rooms are available and massages can be arranged."
china_beijing_motel_268_beijing_wangfujing,"This hotel is located in the Wangfujing district, close to shopping areas, public transport, and the Forbidden City. Rooms range from small, basic options to larger, modern rooms with nice bathrooms, and some include free internet."
china_beijing_new_world_hotel_jing_guang,"The hotel has remodeled public spaces and executive floors, with modern rooms that include LCD TVs. Some rooms offer city views and the hotel contains a convenience store."
china_beijing_nikko_new_century_beijing_hotel,"The hotel has a beautiful lobby, a well-equipped gym, and offers buffet-style breakfast with Western, Japanese, and Chinese choices. Some rooms feature amenities such as a fax machine, flat-screen TV, a safe, separate shower and bathtub, and free internet access on the Executive Floor."
china_beijing_novotel_peace_hotel,"The Novotel Peace Beijing has executive rooms with amenities such as free internet, evening cocktails, and breakfast in a club room with views. Some reviewers found the hotel luxurious, with clean rooms, a nice pool, and a great location near shopping."
china_beijing_novotel_xinqiao_beijing,"The premier level rooms in the new wing offer free breakfast, internet, laundry service, lounge access, and meeting rooms. Upgraded rooms on the executive level include access to a business lounge with concierge service, afternoon snacks and drinks, and breakfast."
china_beijing_oakwood_residence_beijing,"The Oakwood Residence offers spacious apartments with fully equipped kitchens, laundry machines, and multiple bathrooms in some units. Select apartments include amenities like flat-screen TVs, DVD players, and access to facilities such as a swimming pool, gym, and spa."
china_beijing_orange_hotel_beijing_asia_games_village,"The Orange Hotel offers modern, clean rooms, some with a pet goldfish, and provides complimentary little snacks. Deluxe rooms are available, and the hotel is near the Olympic stadiums."
china_beijing_oriental_bay_international_hotel,"The Oriental Bay International Hotel in Beijing features spacious rooms, an indoor pool, a fitness center, and a French-style restaurant, ""Le ceil,"" with city views. The hotel offers a Western and Asian breakfast buffet and is located near a metro station for easy access to Beijing central."
china_beijing_oriental_culture_hotel,"The hotel features modern rooms with amenities such as plasma TVs, free internet, walk-in showers with adjustable shower heads, and optional turn-down service including chocolates and weather forecasts; suites are available and are well-furnished and decorated. The hotel offers a gym and pool facilities."
china_beijing_oriental_garden_hotel,"The hotel offers suites, 24-hour room service with Asian and Western dishes, and a business center. Rooms have amenities such as a safe, tea and coffee facilities, and a lounge area."
china_beijing_palm_springs_beijing_marriott_executive_apartments,"The apartments are spacious, beautifully decorated, and well-appointed with hardwood floors and marble bathrooms, offering a luxurious feel. Guests have access to an athletic club with a workout room and a large indoor pool featuring marble floors and columns."
china_beijing_park_hyatt_beijing,"The Park Hyatt Beijing offers modern, sleek rooms with great city views from the upper floors of the Yintai Centre. It features spa-style bathrooms with rain showers, Japanese-style toilets, and high-end amenities, with dining options including the China Grill on the 65th floor."
china_beijing_park_plaza_beijing_wangfujing,The hotel is near luxury shops like Ferrari and Lamborghini and close to the upscale Regent Hotel; some reviewers were upgraded to suites or the Regent. The club level offers amenities like free drinks and snacks during happy hour.
china_beijing_peixin_hotel_beijing,"The hotel offers amenities such as in-room computers with free internet, flat-screen TVs, and a breakfast buffet. Some rooms are spacious with king-size beds, and the hotel is non-smoking."
china_beijing_plaza_hotel_beijing,"The Plaza Hotel is a modern, clean hotel with restaurants, a coffee shop, and a Japanese restaurant. Rooms have amenities such as TV, tea/coffee making facilities, a mini bar, and complimentary water."
china_beijing_prime_hotel,"The Prime Hotel offers spacious rooms, large bathrooms, and optional club-level rooms with a separate check-in, a club lounge, and complimentary afternoon tea and cakes. The hotel includes amenities such as a breakfast buffet with Western and Chinese dishes, a gym, and a pool."
