Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian offers good value with modern, clean rooms at a lower price point compared to other Starwood properties and hotels like Hyatt or Hilton. Factoring in taxi fares to downtown areas is recommended when assessing overall value due to its location in Haidian."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious apartments with fully equipped kitchens and laundry facilities, suitable for families and groups, and is located near the CBD and subway. Some reviewers noted good value for the size and amenities, while others mentioned potential downsides like hard beds or slow laundry machines."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a small, traditional-style hotel located in a hutong near Tiananmen Square, offering clean rooms, free internet, and a choice of English or Chinese breakfast. Reviewers mention helpful and friendly staff, airport pickup (possibly not a regular service), and a free mobile phone for use during the stay."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a quiet environment with Chinese-style rooms, free internet, and a garden. Reviews mention reasonable prices for food and services, but some report additional taxi and travel agent fees."
china_beijing_beijing_century_towers,"The Century Towers Beijing offers apartment-style rooms, including a 3-bedroom option with a full kitchen, dining room, washer/dryer, and two full bathrooms, with rates as low as $85 USD/night. Rooms also feature a flat-screen TV with cable, and the hotel is located across the street from a supermarket, with a workout room available in the basement."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel is a 3-4 star hotel located about a 30-minute walk or short taxi ride to Tiananmen Square, with clean, recently refurbished rooms. It offers a breakfast buffet with both Western and Asian options, and some reviewers mention affordable dining and a pleasant coffee shop, though prices in the coffee shop may be inconsistent."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel is a budget-friendly option located in a hutong, offering clean rooms, a restaurant, and tour booking services. It is within walking distance of Tiananmen Square and other attractions, though some taxi drivers may have difficulty finding it."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is a large complex with multiple buildings, some recently renovated, offering various amenities like a supermarket, restaurants (including TGI Fridays), and a fitness center with a pool (for an extra cost). It is located a bit outside the city core but close to universities and connected to the city center by relatively cheap taxi service."
china_beijing_beijing_guangming_hotel,"The Guangming hotel offers clean, modern rooms with amenities such as LCD TVs with international channels. It is located near embassies and a food street, with currency exchange services at a favorable rate compared to other hotels."
china_beijing_beijing_hotel,"The Beijing Hotel is located near Tiananmen Square and the Forbidden City, with some rooms offering views of these landmarks; some reviewers found it offered good value compared to neighboring hotels like the Raffles and Grand Hyatt, while others felt it was overpriced for the quality and service offered. Some guests reported issues with cleanliness, outdated rooms, and inconsistent service, while others praised the hotel's location and amenities like the breakfast buffet and pool."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is centrally located near the train station, subway, and shopping areas, with room rates starting at $130 USD. Reviewers note the breakfast buffet offers both Western and Chinese cuisine, but some found the rooms and bathrooms to be dated with cleanliness issues."
china_beijing_beijing_jade_international_youth_hostel,"Jade International Youth Hostel offers affordable rooms, including dorms and private en-suites, and is located within walking distance of the Forbidden City and other major sights; reviewers note the clean facilities and helpful staff who can arrange tours and transportation. Breakfast is available for an additional fee, and amenities include free WiFi in the lobby and bike rentals with a deposit."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is situated in a traditional hutong, offering a unique cultural experience, but some reviewers found it overpriced for the amenities provided. The hotel offers clean rooms, friendly staff, and a peaceful courtyard, but some rooms are small, and breakfast quality varies."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a new, modern five-star hotel with spacious rooms and amenities, located in the Central Business District. Some reviewers found it to be a great value, especially with discounts, but noted some unfinished aspects and occasional functional issues."
china_beijing_capital_hotel_beijing,"Capital Hotel Beijing offers a great location near Tiananmen Square and the Forbidden City, with clean rooms and a good breakfast buffet included in some rates. Some found it to be a good value, although some rooms may be dated, and the beds are firm."
china_beijing_china_world_hotel,"The China World Hotel is part of the Shangri-La chain and is connected to the China World shopping mall with designer stores and restaurants, and is close to a subway stop and the Silk Market. Some reviewers found it overpriced, while others mentioned that it offered great value at negotiated rates or during promotion specials."
china_beijing_city_hotel_beijing,"The City Hotel is described as a no-frills hotel with a reasonable price, a convenient location near bars, the subway, and restaurants, but some rooms have hard beds. Some reviewers reported issues with the management, room quality, and strong cigarette smoke."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is an architecturally unique hotel with private access to an unrestored section of the Great Wall. Some reviews mention that the hotel is overpriced for what it offers, while others highlight the exceptional location and unique experience as being worth the cost."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing, located near shops, pubs, and restaurants, with free internet at the restaurant. Rooms may be small and beds hard, but the hotel offers free bicycle hire, cheap laundry service, and pre-packed breakfasts for early departures."
china_beijing_courtyard_by_marriott,"The Courtyard by Marriott in Beijing is in a convenient location near a subway station, shopping center, and various restaurants, with rooms that are clean but may be outdated. Some reviewers mention reasonable prices, while others suggest the hotel does not provide good value."
china_beijing_courtyard_by_marriott_beijing_northeast,"The Courtyard by Marriott Beijing Northeast offers a modern hotel with immaculate, spacious rooms and comfortable beds, though breakfast can be expensive at $20 per person. Some reviewers found the hotel staff helpful, especially the concierge, and noted the convenience to the airport, while others mentioned the hotel's location is a bit removed from city sights."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is located on Wangfujing Street, near shopping and tourist attractions, with breakfast included and club level rooms offering amenities such as free internet and drinks. Reviews mention that it offers great value for the location, service, and price, especially if booked in advance, but some guests had issues with the service provided."
china_beijing_crowne_plaza_hotel_zhongguancun,"The Crowne Plaza Zhongguancun is located near the Summer Palace, Peking University, and Tsinghua University, with subway access to the Forbidden Palace and Tiananmen Square. Reviewers mention reasonable room rates, a gym, a heated indoor swimming pool, and a Club Lounge with free internet for Club floor rooms and suites."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The Crowne Plaza Beijing Airport is located near the airport and exhibition center, but far from downtown Beijing. Some reviewers found it to be good value for the money, with decent rooms and breakfast for around 400 RMB."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel has spacious rooms, a breakfast buffet with international cuisines, and a gym/pool. It is located near the Olympic Park and a small mall with a food court, but is a 30-45 minute taxi ride to the city center."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel is a new hotel with spacious rooms, comfortable beds, and a great breakfast buffet. While the location is not central and surrounded by construction, it is close to a subway station, and many reviewers noted that it provided great value, especially considering the quality of the hotel and its amenities."
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City Beijing is praised for its excellent location near major attractions and subway, making it a great value, and while rooms are small and may have hard beds, the hotel is clean, modern, and offers free internet. Some reviewers note issues with taxi drivers not knowing the location and potential noise from construction or thin walls, but staff are generally helpful."
china_beijing_days_inn_joiest_beijing,"Days Inn Joiest Beijing offers good value for money with spacious rooms and new amenities like plasma TVs. The buffet breakfast has a wide variety of Western, Chinese, and Japanese foods, and booking through the hotel's website may offer the cheapest rates."
china_beijing_double_happiness_courtyard_hotel,"The Double Happiness Courtyard Hotel, costing 110 USD per night, offers traditionally decorated rooms, modern amenities, free internet, and breakfast. Some found it inexpensive for Beijing, with friendly staff and a convenient location near attractions."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree Hilton Beijing offers a 5-star experience at a lower price, with spacious, modern rooms and excellent service. Though not centrally located, taxis are readily available and inexpensive, with some reviewers noting difficulty getting taxis to find the location."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel offers large rooms, a varied buffet breakfast (included in some stays), and access to a gym/pool. It is located in the northwest part of the city, with inexpensive taxi service available."
china_beijing_fujian_hotel,"The Fujian Hotel is a 4-star hotel with rooms around RMB 580, free WIFI, and a breakfast buffet with Chinese and Western options. It is located near the 3rd Ring Road, about 20-30 minutes from the airport."
china_beijing_gloria_plaza_hotel_beijing,"Gloria Plaza Hotel is noted for its convenient location near the Beijing railway station and underground, with spacious rooms, though some guests found the furniture old. The breakfast buffet is generally well-regarded, although it can get crowded."
china_beijing_grand_hotel_beijing,"The Grand Hotel Beijing is noted for its central location near the Forbidden City and Tiananmen Square, with some rooms offering views of these landmarks; some found it a great value for the price, while others thought it was not worth the money. While some reviewers found the breakfast buffet extensive, others considered the hotel's facilities to be dated."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing is centrally located near the Forbidden City and Wangfujing shopping street and has a large shopping mall underneath the hotel with affordable dining options. Some reviewers found the hotel to be a great value due to discounted rates and promotions, while others considered it overpriced for what it offers, especially regarding food and internet costs."
china_beijing_grand_mercure_hotel_xidan,"The Grand Mercure Xidan Beijing is located near subway stations and shopping areas, with rooms that are clean but may need renovation. Breakfast is included and varied, and amenities include a pool and gym, though some guests have noted issues with service and dated bathrooms."
china_beijing_grand_millennium_beijing,"The Grand Millennium Hotel features spacious and luxurious rooms with free internet, large bathrooms, and access to a gym and pool. Some reviewers mention inconsistent service, occasional sewage smells, and taxi drivers not knowing the location, while others cite promotions for lower rates."
china_beijing_grand_view_garden_hotel,"Grand View Garden Hotel rooms are generally clean and comfortable, though some guests have noted worn bathrooms. Some reviewers mention that it is possible to get free access to the adjacent Daguanyuan garden."
china_beijing_guangzhou_hotel,"The Guangzhou Hotel is noted for its prime location near Tienanmen Square, the Forbidden City, and shopping areas, with subway access. Some reviewers mention reasonable prices, while others note extra costs for internet and water."
china_beijing_harmony_hotel,"Harmony Hotel is praised for its great location near the Beijing Railway Station and subway, making it convenient for accessing major attractions and transportation. Reviews mention reasonable prices, clean rooms, and helpful staff, although some note the hard beds and dated facilities."
china_beijing_hebei_hotel_beijing,"Hebei Hotel is a courtyard hotel located in a Hutong, offering standard rooms and suites; standard rooms are small and may have issues like smelly drains and basic showers, while suites are larger and better equipped. Some reviewers suggest checking the room before paying due to reported issues with cleanliness, maintenance, and mismatched pricing relative to room quality."
china_beijing_hilton_beijing,"The Hilton Beijing is close to the airport and Lufthansa Center, with a subway station nearby for accessing tourist attractions. The hotel offers an executive lounge, newly refurbished rooms in the executive wing, and a gym with squash courts and an indoor pool; internet access requires a fee."
china_beijing_hilton_beijing_wangfujing,"The Hilton Beijing Wangfujing is located in the center of town, behind the APM mall on Wangfujing Street, within walking distance of Tiananmen Square and the Forbidden City. Rooms are spacious, modern, and well-equipped, and some reviewers mention special rates, like a 2-for-1 promotion."
china_beijing_holiday_inn_beijing_lido,"Holiday Inn Lido is close to the airport, has a variety of restaurants and shops, and offers amenities such as a gym and pool. Some reviewers found the hotel outdated and overpriced, while others found it comfortable and convenient, especially for business travelers."
china_beijing_holiday_inn_central_plaza,"The Holiday Inn Central Plaza Beijing is a well-managed 4-star hotel with excellent service, spacious rooms, and a superb breakfast buffet, all at a reasonable price, though the location is not in the city center. Taxis are cheap and readily available, but some drivers may have difficulty locating the hotel."
china_beijing_holiday_inn_chang_an_west,"Holiday Inn Chang An West is located on the west side of Beijing, a bit far from the city center but near a subway station. It is well-priced, offers clean and spacious rooms, and provides amenities such as free internet (though sometimes not free), an executive lounge, and a breakfast buffet."
china_beijing_holiday_inn_downtown_beijing,"Holiday Inn Downtown Beijing is located close to the subway, and some reviewers mention it is a good value for the price, especially considering the breakfast buffet. Some found the rooms small and dated prior to renovations, but the executive floors offered complimentary internet and laundry service."
china_beijing_holiday_inn_express_beijing_minzuyuan,"Holiday Inn Express Minzuyuan is a new, modern hotel with clean, spacious rooms and complimentary internet. It is located near the Olympic venues and a subway station, with inexpensive taxi service to other attractions."
china_beijing_holiday_inn_express_beijing_temple_of_heaven,"Holiday Inn Express Temple of Heaven is noted for good value, clean, modern rooms, and free amenities like breakfast and internet. Although not centrally located or near subway access, taxis are readily available and affordable."
china_beijing_holiday_inn_express_beijing_wangjing,"Holiday Inn Express Wangjing is a new hotel that offered reasonable prices during the 2008 Beijing Olympics, with free internet, tasty breakfast, and proximity to the Hua Tang Shopping Center. The hotel is also located above Focus Mall, near a shopping plaza with restaurants, a liquor store, and a supermarket, and is a 20-minute taxi ride from the airport."
china_beijing_holiday_inn_temple_of_heaven,"The Holiday Inn Temple of Heaven is noted for offering good value, with clean rooms and a helpful staff. Its location is in a residential area, a short walk from the Temple of Heaven and a 10-minute walk to the nearest subway station, making it easy to access other parts of Beijing."
china_beijing_hollyear_hotel_beijing,"The hotel has clean, modern rooms, but some guests reported issues with hard beds, stained showers, and poor quality towels. Some guests experienced attempts to charge extra fees upon checkout, and the hotel is located near ongoing construction."
china_beijing_hotel_cote_cour_beijing,"Hotel Cote Cour SL is a small, restored courtyard hotel in a hutong, offering modern amenities and a mix of Western and Chinese elements; some found it overpriced for the small rooms and potential inconvenience of the location, while others considered it a good value due to the service and unique experience. Prices may not reflect the size of the rooms, and breakfast is included."
china_beijing_hotel_g,"Hotel G is praised for offering great quality and service at half the price of similar hotels, with comfortable beds and stylish rooms; some reviewers booked through Agoda.com and received good deals with breakfast included. Some reviewers also mentioned special offers that included dinner at half price."
china_beijing_hotel_ibis_beijing_sanyuan,"Ibis Sanyuan Hotel is located near the Sanyuanqiao subway station and the ABC (airport beijing city) station, providing easy access to the airport and Beijing city. The hotel offers clean rooms, free internet in the lobby or in the room, and is reasonably priced, with some reviewers noting it as a great value, especially considering its location and convenience to public transportation."
china_beijing_hotel_kunlun,"The Kunlun Hotel offers executive level rooms (21st floor and above) that are renovated with butler service, free food on the top floor, and great bathrooms. Some reviewers mention company rates, which include free airport transfer and a wide assortment for breakfast."
china_beijing_hotel_new_otani_chang_fu_gong,"New Otani Chang Fu Gong Hotel is centrally located near the Silk Market and subway, offering a complimentary breakfast buffet with Asian and Western options, and access to a health club with a pool and fitness room; some found it good value for money, with reasonable rates, while others noted the rooms are not luxurious and bathrooms can be small."
china_beijing_howard_johnson_paragon,"Howard Johnson Paragon Hotel is conveniently located near the train station and subway, with access to a shopping mall, making it a good value option. Some rooms offer views and the breakfast buffet is varied, though some guests found the service and staff English proficiency inconsistent."
china_beijing_huadu_hotel,"The Huadu Hotel offers good value for money, with corporate rates around $75 including breakfast. Rooms are large and clean with amenities like free internet, tea/coffee, robes, and slippers."
china_beijing_hwa_apartment_hotel,"Hua Wei Business Appartment Hotel offers apartment-style rooms with kitchens, with reviewers citing rates such as USD $110 per night for a two-bedroom suite and 898 RMB per night for a similar suite. Reviewers note the hotel's central location near shopping, restaurants, and the subway, and mention amenities such as free internet access and breakfast."
china_beijing_intercontinental_beijing_beichen,"Rooms are spacious and well-equipped, with amenities such as a flatscreen TV, executive work desk, and complimentary toiletries. Some reviewers mentioned good value for the price, particularly when booking rooms with breakfast included."
china_beijing_intercontinental_financial_street_beijing,"The Intercontinental Beijing is reasonably priced, especially for club level rooms, and is located near a subway station, although taxis are readily available and inexpensive. The hotel has a gym, pool, and offers free internet in some rooms, and several reviewers noted that breakfast was included in the price."
china_beijing_jade_garden_hotel,"The Jade Garden Hotel, also known as Cui Ming Zhuang, is located near the Forbidden City, Tiananmen Square, and Wangfujing shopping. Reviewers mention competitive prices, clean and well-presented rooms with flat-screen TVs, and helpful staff, though some note limited English proficiency and issues with air conditioning."
china_beijing_jian_guo_hotel,The Jian Guo Hotel is reasonably priced with a good location near the subway and Silk Market. Breakfast is often included and offers a wide selection of foods.
china_beijing_jianguo_hotel_qianmen_beijing,"The Qianmen Hotel is reasonably priced, with some reviewers mentioning rates around $50-$60 per night including breakfast. The hotel is described as clean and functional, with an adequate breakfast buffet and a convenient supermarket across the road."
china_beijing_jinqiao_international_apartment_hotel,"Jinqiao Hotel Apartments offers apartment-style rooms with kitchens and amenities like a washing machine, with rates around $65 including breakfast. It's located near the second ring road with easy access to transportation and on-site facilities like a grocery store and restaurants."
china_beijing_joy_city_hotel,"Joy City Hotel Beijing offers reasonable rates, especially when booked through websites like ctrip.com, with potential upgrades to business suites including kitchen facilities; the hotel is connected to the Joy City shopping mall with dining options and ATM's."
china_beijing_jw_marriott_hotel_beijing,"The JW Marriott Beijing generally costs around $200/night. Some reviewers mentioned the ""Buy 2 for the 3rd Free"" weekend promotion, suggesting potential value deals."
china_beijing_kapok_hotel,"Hotel Kapok is a modern, clean hotel with a central location near the Forbidden City and Wangfujing shopping area, offering free internet and reasonable prices. Some rooms have glass-walled bathrooms, and while breakfast is available, local eateries nearby offer cheaper options."
china_beijing_kellys_courtyard,"Kelly's Courtyard is a 9-room accommodation located in a hutong area, requiring a walk down alleys to reach it. It features a glass-covered courtyard, rooftop terrace, and an upstairs lounge, with staff known for their hospitality and assistance with transportation."
china_beijing_kempinski_hotel_beijing_lufthansa_center,"The Kempinski Lufthansa Center is located close to the subway and Lufthansa Shopping Centre, offering a variety of dining options including Cantonese BBQ, German food, and a Japanese restaurant. Some rooms are reported as old and in need of renovation, while others are spacious and well-equipped, with a wide selection of food at the breakfast buffet."
china_beijing_kuntai_royal_hotel,"Kuntai Royal Hotel has spacious, clean rooms with comfortable beds and excellent bathrooms. Some reviewers noted issues with food quality, temperature control, and internet speed, while others praised the breakfast buffet and convenient location near shopping and transportation."
china_beijing_lee_garden_service_apartment_beijing,"Lee Gardens Service Apartment Beijing offers spacious apartments with kitchens and amenities like a gym and pool, located near the Wangfujing shopping area and subway, providing a cheaper alternative to typical hotels. Some reviews mention fully-equipped kitchens, while others note a lack of utensils unless requested."
china_beijing_legendale_hotel_beijing,"The Legendale Hotel in Beijing offers large, fully-equipped rooms with amenities like flat-screen LCD TVs and DVD players. It features a pool resembling an antique Roman pool, a health club with jacuzzies, and a buffet breakfast with a variety of food options, located near a shopping center, Starbucks, and dining options, within walking distance of the Forbidden City and Tiananmen Square."
china_beijing_loong_palace_hotel_resort,"The Loong Palace Hotel is considered excellent value for what you get, with spacious and clean rooms, very good restaurants, and facilities including indoor tennis courts, a bowling alley, a recreation center/gymnasium, and a spa. The hotel is located outside of the city center, requiring a 30-minute taxi or train ride to downtown Beijing."
china_beijing_luxury_serviced_residence,"Luxury Serviced Residence offers spacious apartments with kitchens and multiple bathrooms at reasonable rates, with breakfast included. It is located near a 7-Eleven and within walking distance of the Silk Market and subway, making it a potentially good value for families."
china_beijing_marco_polo_parkside_hotel,"The Marco Polo Parkside is a 5-star hotel with spacious rooms, luxurious bathrooms, and amenities like free internet, a breakfast buffet, and a pool; some reviewers noted good value when booking at promotional rates, proximity to the Olympic Park, and affordable nearby dining options. Some reviews mention the hotel's distance from the city center and limited English spoken by staff."
china_beijing_marriott_beijing_hotel_west,"The Beijing Marriott West offers large rooms and suites, with executive lounge access available. While some found the location inconvenient, taxis are readily available and inexpensive."
