Hotel,Summary
china_beijing_aloft_beijing_haidian,"I am sorry, but none of the reviews mention rooftop bars. The hotel has a small swimming pool, a gym, and computers in the communal area."
china_beijing_ascott_beijing,"I am sorry, but none of the hotel reviews mention rooftop bars."
china_beijing_autumn_garden_courtyard_hotel,This hotel does not have rooftop bars. It is a traditional style hotel located in a hutong near Tiananmen Square.
china_beijing_bamboo_garden_hotel,"I am sorry, but none of the reviews mention a rooftop bar."
china_beijing_beijing_century_towers,"I am sorry, but there is no mention of rooftop bars at this hotel. The hotel offers apartment-style rooms with kitchens and washer/dryers, and has a workout room in the basement."
china_beijing_beijing_dong_fang_hotel,"The hotel has a coffee shop that doubles as a great bar, and rooms on the 12th floor offer views over the city. There was also a 'nightclub' on the top floor."
china_beijing_beijing_far_east_international_youth_hostel,"I am sorry, but none of the hotel reviews mention a rooftop bar. However, the property has a basement bar, as well as a cafe/bar area."
china_beijing_beijing_friendship_hotel_grand_building,"I am sorry, but none of the reviews mention rooftop bars."
china_beijing_beijing_guangming_hotel,"Neither of the reviews mentions a rooftop bar. The hotel is located off the 3rd Ring road, near embassies, and has a food street adjacent to it."
china_beijing_beijing_hotel,"I am sorry, but the provided hotel reviews do not contain information about rooftop bars."
china_beijing_beijing_international_hotel,"The hotel has a rotating restaurant on the 28th floor that provides great views of the city, but it was closed during one guest's stay. There is also a bar on the second floor."
china_beijing_beijing_jade_international_youth_hostel,"I am sorry, but none of the hotel reviews mention a rooftop bar."
china_beijing_beijing_sihe_courtyard_hotel,This hotel is a small courtyard hotel located in a traditional Hutong neighborhood. There is a courtyard where guests can sit and eat breakfast.
china_beijing_bohao_radegast_hotel_beijing,"I am sorry, but none of the reviews mention a rooftop bar at the Radegast Hotel. The reviews do mention that there is no nice hotel bar and all restaurants close already at 10pm."
china_beijing_capital_hotel_beijing,"The Capital Hotel has multiple bars, including an Italian restaurant on the 20th floor. This restaurant offers a view over Beijing."
china_beijing_china_world_hotel,"I did not find any information about rooftop bars at this hotel in the reviews. However, the Aria bar was mentioned as an excellent place to meet for a drink."
china_beijing_city_hotel_beijing,"I am sorry, the provided hotel reviews do not contain information about rooftop bars."
china_beijing_commune_by_the_great_wall_kempinski,"This hotel is near the Great Wall, with a main building and villas spread out. The hotel offers restaurants and a spa."
china_beijing_courtyard_7,"The hotel is located in a hutong area full of interesting shops, bars and restaurants and some bars/restaurants with tables on the roof. There are also great clubs around the corner."
china_beijing_courtyard_by_marriott,"I'm sorry, but none of the hotel reviews mention a rooftop bar. I am unable to provide a summary about rooftop bars for this hotel."
china_beijing_courtyard_by_marriott_beijing_northeast,"I am sorry, but the provided reviews do not mention a rooftop bar. Therefore, I am unable to fulfill your request."
china_beijing_crowne_plaza_hotel_beijing,"This hotel has nice facilities on the top floor including massage rooms and a pool, and a bar in the lobby. However, the bar scene in the evening is poor due to no-one being there."
china_beijing_crowne_plaza_hotel_zhongguancun,"I am sorry, but none of the hotel reviews mention rooftop bars."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"I am sorry, but there is no mention of rooftop bars in the provided hotel reviews. Therefore, I cannot provide a summary that extracts information relevant to the query."
china_beijing_crowne_plaza_park_view_wuzhou,"I am sorry, but there is no mention of rooftop bars or related ammenities in this hotel."
china_beijing_crowne_plaza_sun_palace_beijing,"I am sorry, but there is no mention of rooftop bars in any of the reviews."
china_beijing_days_inn_forbidden_city_beijing,"I am sorry, but none of the reviews mention any rooftop bars at this hotel. The reviews do focus on the hotel's convenient location, cleanliness, and helpful staff."
china_beijing_days_inn_joiest_beijing,"I am sorry, but the provided hotel reviews do not contain information about rooftop bars. Therefore, I cannot generate a summary based on the query."
china_beijing_double_happiness_courtyard_hotel,"I am sorry, but none of the hotel reviews mention a rooftop bar."
china_beijing_doubletree_by_hilton_beijing,"The hotel features a 3rd floor outdoor roof garden and a swimming pool. There is also a bar on the 65th floor, and China Grill on the 66th floor."
china_beijing_empark_grand_hotel,"I am sorry, but the provided reviews do not contain information about rooftop bars. They mention a Vegas-like mall in the basement with restaurants and spas, and a restaurant called Golden Resources Cafeteria that offers buffet for breakfast and dinner."
china_beijing_fujian_hotel,"I am sorry, but there is no information about rooftop bars in the provided hotel reviews. Therefore, I cannot provide a summary that extracts information relevant to the query."
china_beijing_gloria_plaza_hotel_beijing,"I am sorry, but none of the hotel reviews mention rooftop bars. Therefore, I am unable to provide a summary."
china_beijing_grand_hotel_beijing,The Grand Hotel has a rooftop bar that overlooks the center of Beijing. It also has a restaurant upstairs that offers superb views.
china_beijing_grand_hyatt_beijing,"I am sorry, but there is no mention of a rooftop bar at this hotel in the reviews. However, there is a Red Moon bar with live music."
china_beijing_grand_mercure_hotel_xidan,"I am sorry, but the provided reviews do not mention a rooftop bar. However, the property has a lobby bar that is popular with Westerners, as well as a pool, spa, sauna, and fitness center."
china_beijing_grand_millennium_beijing,The hotel has a bar with a jazz band which some found noisy. The hotel has a lounge with a Chinese culture band.
china_beijing_grand_view_garden_hotel,"I am sorry, but there is no mention of rooftop bars in the reviews for the Grand View Garden Hotel."
china_beijing_guangzhou_hotel,"I am sorry, there is no information about rooftop bars in the provided reviews. However, the hotel is centrally located near shops, restaurants, and bars."
china_beijing_harmony_hotel,There is no mention of rooftop bars in the provided hotel reviews. The hotel does have a minimal bar that is not comfortable.
china_beijing_hebei_hotel_beijing,"I am sorry, but none of the reviews mention rooftop bars. The Hebei Guest House is described as a basic courtyard hotel located in a traditional hutong neighborhood."
china_beijing_hilton_beijing,"I am sorry, but none of the provided reviews mention rooftop bars. Therefore, I cannot provide a summary about this hotel with that information."
china_beijing_hilton_beijing_wangfujing,The hotel bar has a stunning view where you can see the Forbidden City by night. There is also a nice garden area on the roof outside the pool.
