Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel has a breakfast buffet that is considered good and reasonably priced, and is located near the Four Points Sheraton which has a number of good restaurants. There are plenty of eating options around, including restaurants that serve dog meat."
china_beijing_ascott_beijing,"The hotel has an Italian restaurant called Casa Mia (but it closed at some point during the reviews), and several other restaurants including Thai, Japanese, Starbucks and Subway. Some reviewers ordered food delivery to their rooms."
china_beijing_autumn_garden_courtyard_hotel,"This hotel offers both English and Chinese breakfast options. The staff can prepare simple lunches, and the hotel is located near Quanjude Roast Duck Restaurant."
china_beijing_bamboo_garden_hotel,"The hotel restaurant is reported to be very good, reasonably priced, and serves delicious food, with some reviewers specifically recommending the Eight Treasure Tofu Pot, Bamboo shoots with mushrooms, Sweet and sour pork, and Beijing-style noodles. A dumpling house next door to the hotel is popular with locals and offers meals for around $5."
china_beijing_beijing_century_towers,"The hotel offers apartment-style rooms with full kitchens, including a refrigerator and microwave, and is located across the street from a large supermarket. The hotel restaurant is small and serves food."
china_beijing_beijing_dong_fang_hotel,The hotel has a coffee shop and offers a breakfast buffet with both Western and Asian options. Some reviewers mention having dinner at the hotel and enjoying the food.
china_beijing_beijing_far_east_international_youth_hostel,"The hotel restaurant serves Chinese and Russian food, and the breakfast buffet offers a large spread with Western dishes. Some reviewers recommend the restaurant and praise the chef, with meals costing around 18-25 RMB, but others found the 50RMB breakfast buffet to be steep."
china_beijing_beijing_friendship_hotel_grand_building,"The hotel has multiple restaurants including a TGI Friday's; some reviewers found the food average but with reasonable variety, while others praised the room-service food, especially the bean curd with chile paste. There are restaurants near the hotel, and a breakfast buffet offering a mix of Western and Chinese dishes."
china_beijing_beijing_guangming_hotel,The hotel is adjacent to a food street and offers breakfast for 80 yuan. The breakfast was described as only okay with a limited selection.
china_beijing_beijing_hotel,"The hotel has 2 speciality Chinese restaurants that are reasonably priced and serve good food. Breakfast is available, with an extensive buffet that includes both western and Asian dishes."
china_beijing_beijing_international_hotel,"The hotel has a restaurant on the 28th floor with city views, and a fabulous breakfast buffet with a wide variety of choices, including American and Chinese cuisine. Some reviewers mentioned the buffet lunch on the 28th floor being worth it for both the view and the food."
china_beijing_beijing_jade_international_youth_hostel,"The hotel has a breakfast buffet with items like spring rolls, noodles, fried rice, scrambled or fried eggs plus boiled eggs, croissants & jam, veggies and dressing, meusli and fresh yogurt and fruit for 35 RMB. There is also a supermarket nearby with fresh fruits & veggies and some western items."
china_beijing_beijing_sihe_courtyard_hotel,"The hotel offers a simple breakfast with both Chinese and Western options, and will cook eggs to order. There are lots of street restaurants nearby and the hotel kitchen delivers dishes to the rooms."
china_beijing_bohao_radegast_hotel_beijing,"The hotel has five restaurants offering various cuisines from Chinese to American to French, including a French restaurant with authentic cuisine. The Radegast Food Bazzar serves local snack foods made by expert chefs and served with a silver spoon."
china_beijing_capital_hotel_beijing,"The Capital Hotel has multiple restaurants, including an Italian restaurant on the 20th floor, but some reviews indicate that the food is expensive and not very good. Breakfast has a wide variety of foods, including American and Chinese options, but the quality of western food is reportedly not as good as the Asian food."
china_beijing_china_world_hotel,"The hotel offers a breakfast buffet with multiple stations enabling any type of cuisine and has various restaurants including Shang Place with plated dishes and a Mediterranean restaurant. The hotel has a Horizon Club floor with free breakfast and happy hour, but some reviewers found the breakfast selection limited and the happy hour nibbles led to food poisoning for one guest."
china_beijing_city_hotel_beijing,"The hotel is next door to several good pubs and local restaurants that cater to foreigners. Breakfast is offered, but staff may encourage strangers to sit with you, who may smoke while you are eating."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall has two restaurants, one serving Chinese food and the other Western; wines are extremely expensive, with glasses starting at US$20. Some reviewers noted the food was very good, of high international standard, and that both the Western and Chinese restaurants had outstanding food and a fairly good wine list."
china_beijing_courtyard_7,"The hotel offers breakfast with a mix of Chinese and European options and is located near restaurants and bars, with some restaurants delivering to the hotel. Some reviewers mentioned rooftop bars with good views in the area."
china_beijing_courtyard_by_marriott,"The hotel has a food court in the adjacent mall where one can have a taste of local fare, and is near many local Chinese restaurants, some open 24 hours. There's also a Peking duck restaurant across the street."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel has a restaurant with Chinese and Western options that sometimes offers a 50% discount on all food selections. The breakfast buffet has an egg station, fruit, pancakes, dumplings and pastries."
china_beijing_crowne_plaza_hotel_beijing,"The hotel's breakfast buffet receives consistent praise, featuring both eastern and western options, including a noodle bar and a chef who cooks omelets and pancakes to order. Some reviewers found every meal at the restaurant to be superb and complimented the chef."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel has a variety of restaurants including Rouge (Chinese), Mixs Italian Tepan Grill, and Valley Cafe for breakfast. Some reviewers mention specific dishes like dim sum, chocolate cake with gelato, and a breakfast buffet."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel has a cafe that serves bar-type meals with good quality, a restaurant with a variety of Asian and Western foods, especially for the buffet breakfast, and plenty of bars and lounges to relax in. Some reviewers recommend the Blue Frog restaurant in the nearby Euromall."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel has multiple restaurants including a Brazilian restaurant and Cantonese options. Cafe Asia was outstanding with an Australian Executive chef catering to all tastes with a diverse, exciting and fresh buffet."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel is known for its fabulous buffet breakfast with a wide selection of Western and Chinese cuisines, as well as dinner buffets featuring food from different parts of the world, including Italian and Indian. Two of its restaurants serve Chinese cuisine, and it also has a Cantonese seafood restaurant."
china_beijing_days_inn_forbidden_city_beijing,"I am sorry, but none of the hotel reviews mention gourmet food or dining experiences. Therefore, I am unable to provide a summary that extracts information relevant to the query."
china_beijing_days_inn_joiest_beijing,"The hotel offers a buffet breakfast with a wide variety of Western, Chinese, and Japanese foods. The buffet also included Hagen Daaz ice cream."
china_beijing_double_happiness_courtyard_hotel,"The hotel offers a breakfast buffet with Chinese pastries, noodles, dim sum, and a mix of Western and Chinese options. Some reviewers recommended a restaurant close by, where patrons can cook their own food."
china_beijing_doubletree_by_hilton_beijing,"The hotel has multiple restaurants, including Sui Yuan restaurant on the 3rd floor that serves Peking duck, and a restaurant on the 66th floor called China Grill. The hotel also offers a breakfast buffet with a broad selection of menu choices, including both western and traditional Chinese options."
china_beijing_empark_grand_hotel,"The hotel has a restaurant with a buffet that caters to all tastes, including Asian dishes, vegetarian menus, and seafood. The Golden Resources Cafeteria offers a breakfast buffet with a selection of cereals, juices, fruits, hot entrees, breads, and sweet rolls."
china_beijing_fujian_hotel,"The hotel restaurant serves both Western and Chinese foods, and the breakfast buffet offers a mix of Chinese and Western styles. Room service is available, though the food may not match European expectations."
china_beijing_gloria_plaza_hotel_beijing,"The hotel has a breakfast buffet with a wide range of Western and Chinese food, and chefs on hand to make waffles and omelets. The hotel also has a dim sum restaurant on the ground floor, but it is considered expensive."
china_beijing_grand_hotel_beijing,"The Grand Hotel has multiple restaurants, including a Chinese restaurant with excellent food, though some found the breakfast mediocre. Some reviewers found the food good and cheap, and the breakfast buffet above average."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing has multiple restaurants including ""Made in China"" which is known for Peking Duck. There is a large upscale mall connected to the hotel with a variety of restaurants."
china_beijing_grand_mercure_hotel_xidan,"The hotel has a breakfast buffet with a variety of Western and Chinese options and a Cantonese restaurant on level 3. Some reviewers mention Starbucks and a food court with Japanese, Korean, and Cantonese options are within walking distance of the hotel."
china_beijing_grand_millennium_beijing,"The hotel restaurants offer a wide range of eastern and western delicacies, and the breakfast buffet has a good mixture of Asian and Western food. One reviewer noted having one of the best simple fish/vegetable dishes ever at the hotel."
china_beijing_grand_view_garden_hotel,"The hotel has three restaurants, including one Western-style restaurant with a menu that includes dishes ranging from 30-100 Yuan, and another restaurant that advertises Abalone and Sharks Fin soup. The breakfast buffet offers a good selection of cereals, milk, yoghurt, fruit juices, breads, danish pastries, cooked items, and a chef cooking eggs."
china_beijing_guangzhou_hotel,"The hotel's breakfast includes a mix of Chinese and Western options, with someone cooking eggs to order. The breakfast selection is generally good quality with a range of European, American, and Chinese options."
china_beijing_harmony_hotel,"The hotel has a restaurant with a buffet that includes Chinese options, and is located near a variety of local and fast food eateries. A Chinese Muslim eatery with beef noodles and dumplings is nearby, as well as a dimsum eatery."
china_beijing_hebei_hotel_beijing,The hotel offers a Chinese breakfast with eggs available and thin oatmeal made with coconut milk. It is located near the Hou Hai area which has many bars and restaurants.
china_beijing_hilton_beijing,"The hotel has many good restaurants and a breakfast buffet that is outstanding with a good variety of food, including Chinese and Western options. The Executive Lounge offers complimentary breakfast and happy hour with hot food."
china_beijing_hilton_beijing_wangfujing,"The Hilton Beijing Wangfujing has two restaurants (Chyna - Chinese and Penta - Portuguese/Chinese fusion) and a bar on the fifth floor. The hotel has an executive lounge with a selection of snacks and in the evening they had light snacks, including some hot meal."
china_beijing_holiday_inn_beijing_lido,"The Holiday Inn Lido offers a variety of dining options including a steak house with U.S. steaks, an Italian restaurant, a Thai restaurant, an Indian restaurant, and a vegetarian restaurant called Pure Lotus. The Patio restaurant has a buffet with a mixture of Western and Oriental food, and the hotel complex includes a deli and grocery store that carries western foods."
china_beijing_holiday_inn_central_plaza,"The hotel has three restaurants including Salt & Pepper which serves a mixed international buffet, and Zen which is an excellent Cantonese-style restaurant. A review mentioned having a Peking duck dinner at a local restaurant that Storm recommended."
china_beijing_holiday_inn_chang_an_west,"The hotel has multiple restaurants, including Chinese, Italian, and Thai, with a nightly buffet at the main restaurant offering both Western and Chinese food, as well as local draft beer and coca cola. The breakfast buffet offers both Western and Chinese options, with custom-made eggs."
china_beijing_holiday_inn_downtown_beijing,"The hotel has a Chinese restaurant with dim sum lunch, and a buffet with a wide selection of food from all over the world including sushi, steaks, and pasta. The breakfast buffet is well-regarded, with omelets made to order."
china_beijing_holiday_inn_express_beijing_minzuyuan,"The hotel breakfast is described as mediocre or basic Chinese food, and the breakfast offerings were generally the same each day. There are several restaurants within easy walking distance of the hotel."
china_beijing_holiday_inn_express_beijing_temple_of_heaven,"The hotel offers a breakfast buffet with both Western and Chinese options, and its in-house restaurant, the Great Room, serves meals like Sweet & Sour pork rice & a Kungpow Chicken Rice. There are also rows of small eateries about a 7mins walk from the hotel."
china_beijing_holiday_inn_express_beijing_wangjing,The hotel is above Focus Mall and across the road from Stellar International Cineplex which has approximately 20 restaurants. The breakfast was Asian style with some Western options.
china_beijing_holiday_inn_temple_of_heaven,"The hotel offers breakfast and dinner buffets, with the breakfast buffet serving both American and Chinese food. Some reviewers found the buffet excellent and the staff attentive, while others found it disappointing and overpriced."
china_beijing_hollyear_hotel_beijing,The breakfast at this hotel has a lot of variety.
china_beijing_hotel_cote_cour_beijing,"The hotel offers breakfast with fresh fruit, pastries, and Swiss mueslix, and can prepare lunch and dinner with 24 hours notice. The staff can recommend restaurants and make reservations."
china_beijing_hotel_g,"The hotel has a restaurant with French-inspired food and a wine bar, and some reviewers enjoyed the breakfast, including French toast with apple compote, while others noted excellent food, including Japanese and European cuisine. The Scarlet bar offers tapas, wines, cheeses, and cold cuts platters, as well as themed parties."
china_beijing_hotel_ibis_beijing_sanyuan,"The Ibis Sanyuan Hotel is located near the Novotel Sanyuan Hotel, and a 5-minute walk to Another Northern Village restaurant. The hotel has a 24-hour snack bar and a cafeteria."
china_beijing_hotel_kunlun,"The Kunlun Hotel has 8 restaurants, including a revolving restaurant on the 29th floor, and a breakfast buffet with a wide assortment of options with a blend of Western, European, and Asian food. The revolving restaurant serves Dal Makhani, Roti/Jeera rice, and some chicken/mutton cooked in authentic Indian style."
china_beijing_hotel_new_otani_chang_fu_gong,"The hotel has a Japanese restaurant, a casual buffet restaurant, and offers a breakfast buffet with Asian and Western items and custom soup bar and dim sum. A Peking duck restaurant is nearby."
china_beijing_howard_johnson_paragon,"The hotel has an upmarket Chinese restaurant available for dinner and offers room service with options like Italian pizza. The breakfast buffet has a large selection of items, including both Chinese and Western options, with made-to-order eggs, pancakes, and waffles."
china_beijing_huadu_hotel,"The hotel has multiple restaurants and is located near a variety of restaurants, including a highly-rated, inexpensive Japanese restaurant, and a Korean restaurant. The breakfast offers a range of Chinese and Western food."
china_beijing_hwa_apartment_hotel,"This hotel is located in a busy shopping district surrounded by many reasonably priced restaurants including pizza, Sizzler, DQ, McDonalds, Starbucks, and KFC; it also has a small bakery across the street. The hotel's breakfast buffet is available for $7 USD, but some reviewers found it to be poor with limited Western options."
china_beijing_intercontinental_beijing_beichen,"The hotel has multiple dining options, including a Chinese restaurant and a cafe with breakfast and lunch. The breakfast buffet offers a wide selection of Asian and Western food, though some guests found the Western-style breakfast to be of poor quality."
