Hotel,Summary
usa_new york city_3_west_club,The 3 West Club is located across the street from Rockefeller Center and offers views of St. Patrick's Cathedral and Radio City Music Hall. The hotel is part of the Republican National Women's Club.
usa_new york city_414_hotel,"The 414 Hotel is located in the heart of the Theater District, near Times Square and Restaurant Row. It features rooms decorated with striking photographic cityscapes."
usa_new york city_60_thompson,"60 Thompson is a boutique hotel located in the heart of SoHo, near shops, restaurants, and subway stations. It features a rooftop bar with city views and is within walking distance of Greenwich Village, Little Italy, and Chinatown."
usa_new york city_6_columbus,"6 Columbus is centrally located near Columbus Circle, Central Park, and multiple subway lines, providing easy access to various parts of the city. It is close to the Time Warner Center, Whole Foods, Starbucks, and various shops and restaurants, making it convenient for exploring and experiencing the city."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue is a centrally located hotel, close to Grand Central Station, that makes it easy to walk to major attractions. Many reviewers mention having a view of the Empire State Building from their rooms."
usa_new york city_ace_hotel_nyc,"The Ace Hotel is centrally located, near the Flower District and Koreatown, with subway access to the majority of the four main boroughs. The hotel is within walking distance of Penn Station, Herald Square, Macy's, the Empire State Building and Times Square."
usa_new york city_affinia_50,"The Affinia 50 is in Midtown Manhattan, within walking distance to Rockefeller Center, Times Square, and Central Park, as well as subway lines. Some reviewers mention the hotel being close to restaurants and bars and having a good location for exploring the city."
usa_new york city_affinia_dumont,"The Affinia Dumont is located in the Murray Hill neighborhood, near the 6 train, and within walking distance to the Empire State Building, Grand Central Station, and other attractions. The hotel has spacious rooms and offers partial views of the Chrysler Building, making it a good choice to feel connected to the city."
usa_new york city_affinia_gardens,"Affinia Gardens is located on the Upper East Side, close to museums/art galleries, Central Park, Bloomingdales and the subway, allowing for convenient access to Manhattan. The neighborhood is quieter than many areas of Manhattan and gives a residential feel, with grocery stores and a variety of restaurants nearby."
usa_new york city_affinia_manhattan,"The Affinia Manhattan is in an ideal location to explore the city, close to attractions like Times Square and Macy's, and located across the street from Penn Station. It is a vibrant location with some noise."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is centrally located in midtown Manhattan, close to Grand Central Station, Times Square, and the Empire State Building, with modern, clean rooms and views of the city skyline. It is located in the Murray Hill neighborhood, which is described as safe, quiet, and residential, offering a balance of accessibility and tranquility."
usa_new york city_aka_united_nations,"AKA United Nations is centrally located, within a 5-minute walk from Grand Central Terminus and the UN. It's near a corner store, a supermarket, an English-style pub, and a Chinese restaurant."
usa_new york city_algonquin_hotel,"The Algonquin Hotel, established in 1902, is a centrally located boutique hotel near Times Square and Broadway that embodies old New York charm, and features cozy public spaces, literary history, and a resident cat. Some rooms have New Yorker cartoon wallpaper, and notable features include comfortable beds, and accommodating staff."
usa_new york city_americana_inn,"The Americana Inn is centrally located near Times Square, the Empire State Building, and various subway lines, making it easy to access many parts of the city. Some rooms offer views of the street, though this also means they are subject to city noise."
usa_new york city_amsterdam_court_hotel,"Amsterdam Court Hotel is centrally located near Times Square, Broadway, and subway lines, making it easy to experience city attractions; some rooms offer street views. Reviews mention that the rooms are small with minimal natural light, and some guests have reported noise from the street."
usa_new york city_astor_on_the_park,"Astor on the Park is located on Central Park West, close to the subway, allowing for easy access to mid- and downtown Manhattan, and is near Columbia University. Some reviewers mention it being frequented mainly by European guests."
usa_new york city_bedford_hotel,"The Bedford Hotel is centrally located in midtown Manhattan, near Grand Central Station, with many tourist attractions within walking distance. Some rooms offer views of the Empire State and Chrysler Buildings."
usa_new york city_beekman_tower_hotel,"The Beekman Tower Hotel is located in Midtown Manhattan, near the UN, offering large suites with kitchens and city views from higher floors and the Top of the Tower restaurant/bar. It is a few blocks from the subway but close to bus lines."
usa_new york city_belleclaire_hotel,"The Belleclaire Hotel on the Upper West Side is close to Central Park, Metropolitan Museum of Art, Natural History Museum and the subway, in a residential area with restaurants and shops. Some rooms have views of Broadway and the Hudson River."
usa_new york city_bentley_hotel,"The Bentley Hotel is located on the Upper East Side, near the East River and Queensboro Bridge, with easy access to Lexington Avenue and Bloomingdale's; it is a 10-15 minute walk to the nearest subway and Lexington Ave. The top floor bar offers great views of Manhattan."
usa_new york city_best_western_bowery_hanbee_hotel,"The Best Western Bowery Hanbee is located in the heart of Chinatown and Little Italy, with easy access to SoHo, the Lower East Side, and multiple subway lines. It's described as a clean, modern hotel with comfortable rooms, offering a vibrant and immersive NYC experience."
usa_new york city_best_western_convention_center_hotel,"The hotel is located a 10-15 minute walk from Times Square and Penn Station, in an industrial area with a 24-hour auto shop across the street. Some reviewers found the location convenient for accessing the Javits Center and other midtown attractions."
usa_new york city_best_western_hospitality_house,"The Best Western Hospitality House is centrally located, within walking distance of Times Square, Central Park, and other attractions, and near subway stations. Reviews mention street noise."
usa_new york city_best_western_seaport_inn_downtown,"The Seaport Inn is located in the South Street Seaport area, near the Brooklyn Bridge, Financial District, and Lower Manhattan attractions. Some rooms offer views of the Brooklyn Bridge and the hotel is close to subway and ferry transportation."
usa_new york city_blue_moon_hotel,"The Blue Moon Hotel, located in the Lower East Side, is a renovated tenement building with rooms named after 1930s and 1940s celebrities, offering a historic New York experience near Little Italy and Chinatown. The hotel features art, memorabilia, and original architectural details, with staff known for providing information about the area."
usa_new york city_broadway_plaza_hotel,"The Broadway Plaza Hotel is centrally located in Manhattan, close to major attractions, subway lines, and within walking distance of Times Square and the Empire State Building. Some rooms offer views of the Empire State Building."
usa_new york city_buckingham_hotel,"The Buckingham Hotel is centrally located near Carnegie Hall and Central Park, with subway access and spacious apartment-style rooms that allow guests to experience city living. Guests should expect to hear street noise due to the hotel's location on a busy avenue."
usa_new york city_candlewood_suites_new_york_city_times_square,"Candlewood Suites Times Square is close to Times Square, Port Authority, Penn Station, and subway lines. Some rooms offer views of the Empire State Building and the Hudson River."
usa_new york city_carlton_arms,"The Carlton Arms is an artsy, budget-friendly hotel in midtown Manhattan, each room uniquely decorated by local artists, near subways, restaurants, and bars, providing a convenient and immersive NYC experience. Its location is ideal for experiencing New York City life, with many landmarks within walking distance."
