Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian is a modern and clean budget-friendly hotel located in the Haidian district, near a large shopping center and the Four Points Sheraton; it offers amenities such as a gym, pool, and free internet. While the location is not downtown, taxi rides to attractions are relatively inexpensive."
china_beijing_ascott_beijing,"Ascott Beijing offers spacious apartments with fully equipped kitchens and laundry facilities, suitable for families or groups. It features amenities like a pool, gym, and on-site dining options, with a location near the subway and other conveniences."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style hotel located in a hutong, a 5-10 minute walk from Tiananmen Square and close to subway stations. It offers clean rooms, free internet, and helpful staff, with options for both Chinese and Western breakfasts."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a unique cultural experience away from typical hotel districts; it features traditional Chinese decor, gardens, and courtyards. Some rooms include computers with internet access, and the hotel is located within walking distance of the subway, restaurants, and attractions like Houhai Lake."
china_beijing_beijing_century_towers,"The Century Towers Beijing hotel offers apartment-style spaces, including a large 3-bedroom option with 2 full bathrooms, a full kitchen, a dining room, and a washer/dryer. Rooms also include a flat-screen TV with cable, and the hotel has a workout room."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel in Beijing is a 3-4 star hotel with clean, recently refurbished rooms and a good breakfast buffet. It is located about a 30-minute walk or a short taxi ride from Tiananmen Square."
china_beijing_beijing_far_east_international_youth_hostel,"Far East Hotel is located in a hutong, within walking distance of Tiananmen Square and the Forbidden City. It offers both hotel rooms and hostel dorms, with a restaurant, cafe/bar, and travel agency on-site."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is a large complex with multiple buildings set in a garden-like area, offering a mix of renovated and older rooms, several restaurants including a TGI Friday's, and facilities like a pool and fitness center (for an extra cost). Some rooms in Building 1 are rated as 5-star and include amenities like flat-screen TVs, free ethernet, and UK power points, while the hotel's location is near universities and connected to other buildings via underground walkways with shops and restaurants."
china_beijing_beijing_guangming_hotel,"The Guangming hotel is located off the 3rd Ring road near the US and Japanese embassies and adjacent to a food street. It offers modern, hi-tech rooms with LCD TVs and international channels and is considered a great value, comparable to more expensive hotels."
china_beijing_beijing_hotel,"The Beijing Hotel is located near Tiananmen Square and the Forbidden City, with some rooms offering views of these landmarks; it is connected to the Raffles Hotel and close to the Wangfujing shopping area. The hotel consists of multiple buildings, some of which are older and have been updated, and offers amenities such as a gym and pool."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is centrally located near the train station and subway, with amenities including a breakfast buffet, revolving restaurant, spa, and fitness center. Some rooms have views of the city, and the hotel is within walking distance of shopping areas and historical sites."
china_beijing_beijing_jade_international_youth_hostel,"Jade Youth Hostel offers budget-friendly accommodations with private rooms and dorms, and is located within walking distance of the Forbidden City and Tiananmen Square. Amenities include free WiFi in the lobby, a restaurant, a bar, and a tourist information office that can book tours."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a small, traditional courtyard hotel located in a quiet hutong in central Beijing, offering a unique cultural experience with traditionally furnished rooms. It is within walking distance of the Forbidden City and Wangfujing Street, with friendly staff and services like arranging trips to the Great Wall."
china_beijing_bohao_radegast_hotel_beijing,"Radegast Beijing is a modern, luxurious hotel with spacious, well-appointed rooms and bathrooms, multiple restaurants, a spa, and an indoor pool. It is located in the Central Business District and near shopping centers, though some taxi drivers may not know how to get there."
china_beijing_capital_hotel_beijing,"The Capital Hotel Beijing is located within walking distance of Tiananmen Square, the Forbidden City, and Wangfujing shopping street and offers amenities such as a pool, bowling alley, and multiple restaurants. Rooms are spacious with comfortable (though firm) beds and modern bathrooms, and the hotel provides a buffet breakfast with both Western and Asian options."
china_beijing_china_world_hotel,"The China World Hotel is a luxurious hotel connected to a high-end shopping mall and located near a subway stop for easy access to tourist sites. Some reviewers mention live music in the lobby, and spacious, well-equipped rooms with comfortable beds."
china_beijing_city_hotel_beijing,"The City Hotel offers apartments, some with multiple single beds, and is located near bars, restaurants, and a subway station for access to attractions like Tiananmen Square and the Forbidden City. Some rooms may be in need of maintenance."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is located in a valley next to the Great Wall, offering guests private access to an unrestored section. The hotel consists of architecturally unique villas with rooms that can be rented individually or as a whole, with amenities like a spa, kids club, and restaurants."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing, near the Bell and Drum Towers and within walking distance of Hohai Lake, Beihai Park, and the Forbidden City. The hotel features beautifully furnished rooms, some with private courtyards, and is located in a hutong area with shops, bars, and restaurants."
china_beijing_courtyard_by_marriott,"Courtyard by Marriott Beijing is in a central location close to the subway, with access to a shopping mall, supermarket, and various restaurants. Some rooms have been renovated, but bathrooms may be outdated and some rooms may have smoking odors."
china_beijing_courtyard_by_marriott_beijing_northeast,"The Beijing Courtyard Marriott Northeast is a modern hotel with immaculate, spacious rooms, comfortable beds, and ultramodern bathrooms, located about 20 minutes from the airport and 10 minutes from downtown. The hotel has a fitness room, lap pool, and hot tub, and the staff is English-speaking and helpful with information, directions, and booking taxis."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is in a great central location near shopping and tourist attractions, with clean, modern rooms and a good breakfast buffet. Some rooms overlook the lobby atrium, and some guests have noted issues with noise or smells."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel has a pool, restaurants, and a spa with steam and sauna. Suites are available and Club Level rooms come with access to a lounge with free internet."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"I am sorry, but I cannot fulfill that request because the provided hotel reviews do not contain information about hotels that would provide an ""unforgettable"" experience."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel is located near the Olympic Park and some reviewers found it suitable for families due to spacious rooms and a swimming pool. The hotel has multiple restaurants, including a Brazilian restaurant, and a breakfast buffet with a wide variety of cuisines."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel is a new, luxurious hotel with spacious rooms, comfortable beds, and large bathrooms. It offers a fabulous buffet breakfast with diverse cuisines and has a pool and spa facilities."
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City is in a great location, near Tiananmen Square, Forbidden City and Wangfujing Street, which is ideal in such a vast city. Many reviews noted that the hotel's staff was helpful and the location offered easy access to major attractions and subway stations."
china_beijing_days_inn_joiest_beijing,"Days Inn Joiest, Beijing has modern, clean rooms with flat-screen TVs, and a buffet breakfast with a wide variety of foods. Some rooms may have noise issues, and the location is not near many attractions or an underground station."
china_beijing_double_happiness_courtyard_hotel,"Double Happiness Courtyard Hotel is a charming, traditional Chinese courtyard hotel located in a hutong, offering unique rooms with traditional decor and modern bathrooms. The hotel provides amenities such as free internet, breakfast, and a bar, with staff known for being friendly and helpful."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree Hilton Beijing is a modern hotel with friendly staff, spacious rooms, and a rooftop pool and garden. While not centrally located, taxis are readily available for transport to the city center."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel has large rooms, a restaurant with a buffet, and a vegas-like mall in the basement. It is located in the northwest part of the city, a taxi ride away from the city center."
china_beijing_fujian_hotel,"Fujian Hotel in Beijing is a 4-star hotel with free WIFI, a breakfast buffet with Chinese and Western options, and CNN/HBO. The hotel is near the 3rd ring road, about 20-30 minutes from the airport, and has staff that try to greet guests in English."
china_beijing_gloria_plaza_hotel_beijing,"Gloria Plaza Hotel in Beijing has a convenient location near the subway and shopping, and some rooms have been renovated with new furniture and deep pile carpets. The hotel offers a breakfast buffet with a wide range of western and Chinese food, and amenities include a fitness center and indoor pool (cap required)."
china_beijing_grand_hotel_beijing,"The Grand Hotel is located near the Forbidden City and Tiananmen Square, with some rooms offering views of these landmarks; it features spacious rooms, a luxurious feel, and attentive staff. The hotel also offers amenities such as a pool, fitness center, and multiple restaurants, with breakfast receiving mixed reviews."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing is centrally located near Tiananmen Square and the Forbidden City, with access to high-end shopping and a subway station. It features a notable indoor pool, multiple restaurants, and club-level amenities."
china_beijing_grand_mercure_hotel_xidan,"Grand Mercure Xidan Beijing is a centrally located hotel near shopping, subway stations, and Tiananmen Square, with amenities such as a pool, gym, and varied breakfast options. Some rooms offer views and comfortable accommodations, though some guests have noted the need for renovations and variable English proficiency among staff."
china_beijing_grand_millennium_beijing,"Grand Millennium Hotel has spacious, luxurious, and modern rooms with large bathrooms, free internet, and flat-screen TVs. It is located in the Central Business District, near a subway station, and has a gym and a large indoor swimming pool."
china_beijing_grand_view_garden_hotel,"Grand View Garden Hotel is a Chinese-style hotel with a traditional flair and architecture, located a bit far from attractions but with taxis readily available. It features a garden, multiple restaurants, and facilities like a bowling alley, though some amenities may be outdated or require renovation."
china_beijing_guangzhou_hotel,"Guangzhou Hotel's main draw is its proximity to Tiananmen Square & the Forbidden City, as well as shops and restaurants. Some rooms have been renovated, with complimentary WIFI, but some guests found the hotel to be unclean and run-down."
china_beijing_harmony_hotel,"The Harmony Hotel is conveniently located near the Beijing Railway Station and subway, providing easy access to major attractions like Tiananmen Square and the Forbidden City. While basic, the hotel offers clean rooms and helpful staff, with a variety of dining options and shops nearby."
china_beijing_hebei_hotel_beijing,"Hebei Hotel is a courtyard hotel located in a traditional Hutong neighborhood, within walking distance of the Forbidden City and Tiananmen Square. Some rooms are located in older buildings with traditional charm, while others are in newer buildings; courtyard suites are also available."
china_beijing_hilton_beijing,"Hilton Beijing is a 5-star hotel with an executive lounge, gym, and a selection of restaurants. The hotel has been renovated, has modern rooms, and is located near the Lufthansa Center."
china_beijing_hilton_beijing_wangfujing,"The Hilton Beijing Wangfujing is praised for its new, large rooms with modern amenities like rain showers, video screens in the bathroom, and electronic curtains. Its central location near Wangfujing Street, the Forbidden City, and Tiananmen Square makes it convenient for sightseeing and shopping."
china_beijing_holiday_inn_beijing_lido,"I am sorry, the query is incomplete, it does not specify what the user is looking for."
china_beijing_holiday_inn_central_plaza,"Holiday Inn Central Plaza is a modern hotel with great rooms, service, and buffet breakfast, though its location is not central. Many reviewers praise the concierge, Storm Li, for his exceptional service and personalized attention."
china_beijing_holiday_inn_chang_an_west,"Holiday Inn Chang An West is located on the west side of Beijing, a bit far from the center but near a subway station. The hotel features an executive floor with a study decorated with Chinese cultural items, nice rooms, professional service, a good buffet, a gym, and a pool."
china_beijing_holiday_inn_downtown_beijing,"Holiday Inn Downtown Beijing is located close to a subway station, with some renovated rooms featuring flat screen TVs and large showers. It offers an executive lounge with perks like complimentary internet and laundry service, and a breakfast buffet with a variety of options."
china_beijing_holiday_inn_express_beijing_minzuyuan,"Holiday Inn Express Minzuyuan is a new, modern hotel near the Olympic Green and Beitucheng Subway Station, offering clean and spacious rooms with amenities like free internet and a laundry room for longer stays. Some rooms have views of an atrium, and the hotel is located near local restaurants and a Chinatown shopping center."
china_beijing_holiday_inn_express_beijing_temple_of_heaven,"Holiday Inn Express Temple of Heaven is a modern, clean hotel with free Wi-Fi and internet terminals, offering good value for money with breakfast included. Although not centrally located, it's a short taxi ride to attractions and close to the Temple of Heaven."
china_beijing_holiday_inn_express_beijing_wangjing,"Holiday Inn Express Wangjing is a new hotel located near a shopping center and about 20-25 CNY taxi ride to the Olympic stadiums; rooms ending in ""10"" are larger, and free internet and breakfast are available. Taxi drivers may not know the location."
china_beijing_holiday_inn_temple_of_heaven,"Holiday Inn Temple of Heaven is a clean and comfortable hotel with silver service dining and a good breakfast buffet. It is located in a residential area, a 10-minute walk to the subway, and close to the Temple of Heaven."
china_beijing_hollyear_hotel_beijing,"The hotel offers a breakfast with a variety of choices, free wi-fi in the lobby, and a gym, but the staff has limited English. There were reports of attempted overcharging upon checkout and construction noise nearby."
china_beijing_hotel_cote_cour_beijing,"Hotel Cote Cour SL is a small, beautifully designed, and chic hotel located in a quiet hutong in the center of Beijing. The hotel offers modern amenities, a stylish lounge, and a courtyard, with personalized service from the staff."
china_beijing_hotel_g,"Hotel G is praised for its stylish design, large rooms, comfortable beds, and attentive staff, making it a memorable place to stay in Beijing. The hotel's location near nightlife and attractions adds to the overall experience."
china_beijing_hotel_ibis_beijing_sanyuan,"Ibis Sanyuan Hotel is a new, clean, and reasonably priced hotel located next to the Sanyuanqiao subway station on line 10 and the airport express train, providing convenient access to the airport and major Beijing sights. The hotel offers free internet and is near a Western grocery and a restaurant called Northern Village."
china_beijing_hotel_kunlun,"The Kunlun Hotel offers executive level rooms on floors 21 and above with renovated rooms, butler service, free food on the top floor, and great bathrooms; some rooms have city views and LCDs in the bathrooms. The hotel has multiple restaurants including a revolving restaurant on the 29th floor with Indian food, though some found the location far from tourist attractions."
china_beijing_hotel_new_otani_chang_fu_gong,"The New Otani Chang Fu Gong Hotel in Beijing is centrally located on Chang An Avenue, near the Silk Market, Friendship Store, and Jianguo Men subway station. It features a health club with a squash court, indoor swimming pool, fitness room, saunas, and both Asian and Western breakfast options."
china_beijing_howard_johnson_paragon,Howard Johnson Paragon is conveniently located opposite the Beijing Railway Station and connected to a shopping mall with subway access. Some reviewers noted comfortable rooms and a good breakfast buffet.
china_beijing_huadu_hotel,"I am sorry, but this hotel is unlikely to provide an unforgettable experience. The rooms are noted as being clean, but some reviews mention the carpet being stained."
china_beijing_hwa_apartment_hotel,"Hua Wei Business Appartment Hotel offers apartment-style rooms with kitchens and multiple bedrooms, suitable for families or groups, and is located in a busy shopping district near the Xidan subway station. Some rooms may have balconies overlooking a courtyard."
china_beijing_intercontinental_beijing_beichen,"The Intercontinental Beijing Beichen is a modern, upscale hotel located across from the Olympic Green, offering views of the Bird's Nest and Water Cube, with spacious rooms, well-equipped amenities, and a state-of-the-art wellness and fitness center. Concierge services are excellent and the staff are friendly and helpful."
china_beijing_intercontinental_financial_street_beijing,"The Intercontinental Beijing Financial Street offers modern, spacious rooms with large bathrooms, often featuring city views and separate shower and toilet rooms. Club level access includes benefits like breakfast, happy hour with drinks, and internet, with some reviewers highlighting the attentive service and well-equipped fitness center."
china_beijing_jade_garden_hotel,"The Jade Garden Hotel is in a great location, within walking distance of the Forbidden City, Tiananmen Square, Wangfujing shopping strip, and night market. It has a history as a guesthouse during the Long March and was completely renovated for the Beijing Olympics."
china_beijing_jian_guo_hotel,"The Jian Guo Hotel is located near the Silk Market and a subway station, making it convenient for shopping and transportation. Some rooms have garden views and balconies, and the hotel has an indoor pool, sauna, and gym."
china_beijing_jianguo_hotel_qianmen_beijing,The Qianmen Hotel features a theater with Beijing Opera performances and multiple restaurants. It is located a short taxi ride away from Tiananmen Square and the Temple of Heaven.
china_beijing_jinqiao_international_apartment_hotel,"The Jinqiao Hotel Apartments (also known as Junqiao Apartments Hotel or Jinqiao International Garden) offers apartment-style rooms with kitchens, washing machines, and free internet. It's located near the second ring road, a short taxi ride from the train station and main attractions, with on-site amenities like a supermarket, restaurants, and currency exchange."
china_beijing_joy_city_hotel,"Joy City Hotel Beijing is connected to the Joy City shopping mall with access via the lobby and 6th floor, and is close to the subway and airport bus. Some rooms include kitchenettes with a washing machine, microwave, full-size fridge, and stove top cooker."
