Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club offers a great location near Rockefeller Center and St. Patrick's Cathedral at a reasonable price, with clean and comfortable rooms. It is not a typical chain hotel and does not offer amenities like room service."
usa_new york city_414_hotel,"The 414 Hotel is a small, European-style hotel near Times Square and Restaurant Row, offering free continental breakfast and internet access. Reviews mention reasonable prices for the location, clean rooms, and helpful staff, but also note the lack of an elevator and potential for street noise."
usa_new york city_60_thompson,"60 Thompson is located in SoHo with a rooftop bar and restaurant, though some guests experienced noise issues. Some reviewers thought it was overpriced for the small, worn rooms and limited amenities, but others found great value with special rates and excellent service."
usa_new york city_6_columbus,"6 Columbus is a small, modern boutique hotel in a great location near Central Park and Columbus Circle with subway access. Some reviewers found great deals on sites like Quikbook, while others thought the standard rates were overpriced for the small rooms."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue Hotel is located near Grand Central Station and offers amenities such as free WiFi, wine receptions, and newspapers. Some reviewers mention Travelzoo or Priceline deals that offer good rates, while others found the standard rates too high for the small rooms and limited amenities."
usa_new york city_ace_hotel_nyc,"The Ace Hotel offers rooms for $99 per night including smaller rooms with bunk beds, and suites that can cost over $1000 per night. Some reviewers noted that the price was a great value, especially when receiving upgrades or booking through deals."
usa_new york city_affinia_50,"Affinia 50 has larger-than-usual rooms with kitchenettes for New York City at discounted rates and friendly staff. Some reviewers noted good value for money, clean and comfortable rooms and a central location."
usa_new york city_affinia_dumont,"The Affinia Dumont is praised for its spacious rooms (especially suites with kitchens), comfortable beds, and a location that is central yet quieter than other areas of Manhattan. Its good value is further enhanced by the proximity to a subway station, delis, and markets, making it convenient and affordable for visitors."
usa_new york city_affinia_gardens,"Affinia Gardens, formerly Lyden Gardens, is known for its spacious rooms, each equipped with a full kitchen, and is located in a quiet, residential Upper East Side neighborhood, near Central Park and subway stops. Many reviewers highlight the friendly and helpful staff as well as the comfortable beds and amenities."
usa_new york city_affinia_manhattan,"The Affinia Manhattan is centrally located near Penn Station and popular attractions like Macy's and Times Square; many rooms include kitchenettes with full-size refrigerators, though some find the decor dated and bathrooms small. The hotel often offers large rooms, multiple bathrooms in suites, and good service at competitive prices."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is reasonably priced, with many reviewers noting great deals and good value, especially for suites which include kitchenettes; the hotel is undergoing renovations, but guests note its convenient location near Grand Central Station and other attractions. Some reviewers noted expensive internet fees, pricey food and drinks, and small bathrooms, while others noted slow elevators and construction noise."
usa_new york city_aka_united_nations,"AKA United Nations offers spacious, modern apartments with full kitchens and complimentary breakfast on weekdays, but some reviews mention peeling floors, dirty drapes, and slow or inaccessible in-room internet. While some found it a great value for the price, others felt it was not up to hotel standards, especially considering standard rates."
