Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is described as a ""great little hotel"" that is clean, comfortable and staffed with friendly and helpful employees. It is located across the street from Rockefeller Center and near St. Patrick's Cathedral."
usa_new york city_414_hotel,"Hotel 414 is a small, intimate haven near Times Square with a charming leafy patio and rooms featuring photographic cityscapes and down comforters. Guests can enjoy breakfast together at a long table, creating a convivial atmosphere."
usa_new york city_60_thompson,"Many guests mention that the staff are friendly, helpful, and welcoming, with some recalling guest preferences from previous visits. Some guests also highlight the hotel's location in the heart of SoHo, close to shops and restaurants."
usa_new york city_6_columbus,"The hotel has a friendly, helpful staff that often addresses guests by name, and offers amenities such as newspapers, Kiehl's bath products, and evening turn-down service. It's located close to Central Park, shops, and restaurants, with comfortable beds and a cozy atmosphere."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue is described as a small, cozy hotel, with Kimpton touches to make one feel at home, well-laid-out rooms, and helpful staff. Some guests mentioned the hotel's welcoming atmosphere and the friendly and accommodating nature of the staff."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a lobby with a library, a central reading table, bookshelves, and tufted sofas. The hotel aims for a homelike feeling with inviting common spaces, and rooms feature guitars and vintage furniture."
usa_new york city_affinia_50,"The Affinia 50 is known for spacious rooms with kitchenettes and comfortable beds, and it's a friendly staff that offers a ""welcome home"" greeting. Some reviewers mention that the hotel has a ""club room"" for relaxing and free tea/coffee all day."
usa_new york city_affinia_dumont,"The Affinia Dumont is noted for its spacious apartment-style rooms with kitchenettes, comfortable beds, and a location in the quiet Murray Hill neighborhood. Many reviewers mentioned the friendly and helpful staff who made them feel welcome."
usa_new york city_affinia_gardens,"The Affinia Gardens is configured more like a residential building than a hotel, with a small, intimate reception area and spacious rooms with fully equipped kitchenettes, giving it a residential feel; many reviewers mention that the staff is friendly, helpful, and makes them feel at home. Some guests feel like they are borrowing an upscale apartment for the weekend, describing the accommodations as spacious and comfortable."
usa_new york city_affinia_manhattan,"The Affinia Manhattan is a centrally located hotel, directly across from Penn Station and Madison Square Garden, and offers spacious rooms, some with kitchens and comfortable beds, making it feel like a home away from home. Guests appreciate the friendly and helpful staff, as well as the convenience of having a mini-kitchen with a full-size fridge."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is described as comfortable with spacious rooms, kitchenettes, and friendly staff, creating a ""home away from home"" atmosphere; some reviewers specifically mention feeling welcomed and at ease. It has a good location and is near many sites of Manhattan."
