Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is located next to a shopping center with many dining options and the Four Points Sheraton, which has restaurants. It is near the last metro stop, but taxi drivers may not know the location."
china_beijing_ascott_beijing,"The Ascott Beijing has restaurants, a Starbucks, a minimart, a Citibank ATM, and a massage center in the building, all of which can deliver food or services to the rooms. There is also breakfast included and a 7-Eleven across the street."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel offers convenient services such as airport pickup, a mobile phone for use during the stay, and a tricycle service to the main road or nearby subway stations (Qianmen and Hepingmen). The staff are helpful and can arrange taxis or tours, including trips to the Great Wall with a private driver."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a peaceful environment with gardens and courtyards, and is within walking distance of the subway and local attractions. Rooms include free internet and the hotel can arrange airport pick-up, tours, and taxis, though some reviewers found these services overpriced."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with full kitchens, including a refrigerator and microwave, allowing guests to cook meals. A large supermarket is located across the street from the hotel."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel offers a breakfast buffet with both Western and Asian options and has a coffee shop and bar on-site. It is located about a 30-minute walk from Tiananmen Square, and taxis can be arranged by the hotel."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel offers tours, a travel agency, and a restaurant, and is located near many tourist sites. Some reviewers mention booking Great Wall tours, city tours, and tickets to Chinese Opera through the hotel."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel has multiple buildings with restaurants including a TGI Friday's, a supermarket, shops, and offers breakfast, making it easy to get what you need. The hotel is a bit outside the city core, but taxis are readily available to get around."
china_beijing_beijing_guangming_hotel,The Guangming hotel is located off the 3rd Ring road near a food street and the US and Japanese embassies. It offers amenities such as international TV channels and currency exchange services.
china_beijing_beijing_hotel,"The Beijing Hotel is located near Tiananmen Square and the Forbidden City, and is connected to the Raffles Hotel with access to shopping and subway; tours can be arranged for collection at the hotel. An extensive breakfast buffet includes both western and Chinese dishes, and amenities include a post office and bank."
china_beijing_beijing_international_hotel,"The Beijing International Hotel has a money exchange in the lobby and is centrally located, within walking distance of shopping areas. The hotel offers a breakfast buffet and the front desk staff speaks English and can assist with directions and transportation."
china_beijing_beijing_jade_international_youth_hostel,"The hotel has a tourist information office that arranges tours to the Great Wall and other city tours, and the front desk helps arrange taxis. The hotel also rents bikes, and the information office can help with travel logistics."
china_beijing_beijing_sihe_courtyard_hotel,"The hotel is located in a traditional Hutong area of Beijing, within walking distance to the Forbidden City and Wangfujing street. The hotel staff is helpful in arranging transportation and tours, and can provide assistance with directions in Chinese."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern hotel with multiple restaurants offering various cuisines, and is located near shopping centers. The hotel offers amenities such as an indoor pool, spa, and gym."
china_beijing_capital_hotel_beijing,"The Capital Hotel is in a great location within walking distance of Tiananmen Square, the Forbidden City, and shopping areas, and offers amenities such as a pool, bowling alley, and multiple restaurants, including a 24-hour cafe. A breakfast buffet is available, and there is a mini-market across the street for necessities."
china_beijing_china_world_hotel,"The China World Hotel is connected to a shopping mall with a supermarket and subway access, making it easy to get around and acquire necessities. It also has multiple restaurants, extensive breakfast and lunch buffets, and 24-hour Horizon Lounge and business service, allowing for dining and business needs to be met without extensive planning."
china_beijing_city_hotel_beijing,"The City Hotel is centrally located in Beijing, close to bars, restaurants that cater to foreigners, and a subway station that provides access to Tiananmen Square and the Forbidden City. Taxis are readily available."
china_beijing_commune_by_the_great_wall_kempinski,The Commune by the Great Wall Kempinski has restaurants and a spa. It also offers private access to an unrestored part of the Great Wall within a 15-minute walk.
china_beijing_courtyard_7,"Courtyard 7 is located in a hutong area with shops, bars, and restaurants, and the staff can provide recommendations and arrange transportation. The hotel also offers free internet, bicycle hire, and a useful card with tourist sites in English and Chinese."
china_beijing_courtyard_by_marriott,"The hotel is conveniently located near a subway, restaurants, and a shopping mall with a supermarket, offering easy access to amenities and transportation. The concierge can assist with directions and instruction cards for getting around the city."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel staff is helpful with booking plane tickets, show tickets, and hailing taxis. The concierge is very helpful with questions, problems, needs, requests, information, and maps."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is centrally located near shopping and tourist sites like Forbidden City and Tiananmen Square, with taxis readily available. The hotel offers club level rooms with amenities like free breakfast, happy hour, and laundry service, and the concierge can arrange tours."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel is near the subway, making tourist destinations accessible, and taxis are readily available and cheap. The concierge can assist with sightseeing plans and provide advice on restaurants and places of interest."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel offers a free and prompt airport shuttle service that needs to be booked with the concierge. It is located near the airport and exhibition center, but far from the city center and other amenities, with taxi rides to central Beijing taking 40 minutes to over an hour depending on traffic."
china_beijing_crowne_plaza_park_view_wuzhou,The hotel has multiple restaurants including a Brazilian restaurant and offers a breakfast buffet with diverse cuisines. The hotel can arrange trips and is near a small mall with a supermarket and food court.
china_beijing_crowne_plaza_sun_palace_beijing,"The hotel offers a buffet breakfast with a wide selection of Western and Chinese cuisines, as well as multiple restaurants serving international fare, including Italian and Indian. Concierge service is available, and the hotel is located near a subway station for easy access to the city."
china_beijing_days_inn_forbidden_city_beijing,"The Days Inn Forbidden City is in a great location, near the Forbidden City and Tiananmen Square. The hotel staff can help arrange tours and transportation."
china_beijing_days_inn_joiest_beijing,"The hotel offers a buffet breakfast with a variety of Western, Chinese, and Japanese foods. It is located near several bus lines that provide access to the CiQiKou subway and the GuoMao Carrefour supermarket."
china_beijing_double_happiness_courtyard_hotel,The hotel offers free breakfast and free internet in the lobby and wireless in the rooms. The staff are helpful and can assist with booking tours.
china_beijing_doubletree_by_hilton_beijing,"The Doubletree by Hilton Beijing concierge team can arrange guide services, tours, and evening events before arrival, and the hotel offers both Chinese and Western breakfast options. The hotel also has a rooftop garden, swimming pool, and health spa."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel offers buffet-style breakfast and dinner at the Golden Resources Cafeteria, and is connected to an underground mall with restaurants and spas. Taxis are readily available at the hotel 24/7 for transport to other parts of the city."
china_beijing_fujian_hotel,"Fujian Hotel in Beijing offers free amenities like WiFi, bottled water, and toiletries, along with a breakfast buffet featuring both Chinese and Western options, and is located near a mall with a supermarket and food court. The hotel also has room service, though the food may not be what Westerners expect."
china_beijing_gloria_plaza_hotel_beijing,"The hotel is centrally located near shopping, restaurants, and underground stations, making it convenient for sightseeing. The hotel offers a breakfast buffet, and the concierge can recommend local restaurants."
china_beijing_grand_hotel_beijing,"The Grand Hotel is centrally located near the Forbidden City, Tiananmen Square, and Wangfujing shopping area, with a subway station nearby. The hotel offers services such as concierge assistance for attractions and ticket ordering."
china_beijing_grand_hyatt_beijing,The Grand Hyatt Beijing is connected to the Oriental Plaza mall with shops and restaurants and offers a breakfast buffet. The hotel can arrange airport transfers and tours to the Great Wall and Forbidden City.
china_beijing_grand_mercure_hotel_xidan,"The Grand Mercure Hotel Xidan Beijing is centrally located near shopping, restaurants, and subway stations, making it easy to get around the city. The hotel offers amenities such as a pool, gym, and breakfast buffet."
china_beijing_grand_millennium_beijing,"The Grand Millennium Hotel is located in the Central Business District, close to a subway station, making it easy to travel around Beijing. The hotel offers amenities such as free internet, a gym, and a large indoor swimming pool."
china_beijing_grand_view_garden_hotel,"The hotel is often used by tour groups and is located far from city center attractions, requiring taxi transport. Breakfast is available, and the hotel is located next to a park with free entry for hotel guests."
china_beijing_guangzhou_hotel,"The Guangzhou Hotel is centrally located near Tienanmen Square, the Forbidden City, and shopping areas, with a subway stop nearby. Buffet breakfasts are available, and the hotel is surrounded by shops and restaurants."
china_beijing_harmony_hotel,"The Harmony Hotel is conveniently located near the Beijing Railway Station and subway, making it easy to access various attractions. The hotel also has a tour agency where you can book day trips."
china_beijing_hebei_hotel_beijing,"The Hebei Hotel is located in a traditional hutong neighborhood within walking distance of the Forbidden City and Tiananmen Square, but it is not easily accessible by underground station. The hotel can arrange transportation, but reviewers advise that it is more expensive than arranging your own transportation."
