Hotel,Summary
china_beijing_aloft_beijing_haidian,The Aloft Beijing Haidian is a modern and stylish hotel with a trendy lobby decor. It is located next to the Four Points Hotel in the Haidian district.
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious, well-furnished apartments with amenities like fully equipped kitchens, laundry facilities, and LCD TVs. It is located in the CBD, near a subway station, with on-site restaurants and a mini-mart."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style hotel located in a hutong (maze of alleyways), offering a glimpse into old Beijing. It is a short walk to Tiananmen Square and provides amenities such as free internet, Chinese or Western breakfast, and a mobile phone for use during the stay."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a unique cultural experience away from typical tourist hotels, with traditional Chinese decor, gardens, and courtyards. It features modern amenities like in-room computers with internet access and flat-screen TVs, appealing to travelers seeking a blend of authenticity and convenience."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with kitchens, dining areas, and washer/dryers, including 3-bedroom options suitable for large groups. Rooms feature flat-screen TVs with cable and access to amenities such as a workout room."
china_beijing_beijing_dong_fang_hotel,"The hotel has a coffee shop in an older part of the building with lots of character, and a lobby bar. Rooms were recently refurbished and are modern."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel is located in a traditional hutong neighborhood, offering a glimpse into ""real China."" The hostel features a courtyard that serves as a communal meeting space with a friendly atmosphere."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings in a garden setting, featuring restaurants like TGI Fridays and a supermarket. Some reviewers describe it as quirky with a blend of traditional Beijing architecture and remnants of its Soviet-era origins."
china_beijing_beijing_guangming_hotel,"The hotel was recently remodeled before the Olympics and is decorated in a modern, hi-tech style. The lobby is clean and has a 5-star feel."
china_beijing_beijing_hotel,"The Beijing Hotel is connected to the Raffles Hotel, and some found the beauty of the hotel faded when comparing it to other hotels. One reviewer described the decor as bland and slightly depressing."
china_beijing_beijing_international_hotel,"I am sorry, but none of the reviews contain information about the hotel feeling effortlessly cool."
china_beijing_beijing_jade_international_youth_hostel,"The Jade Youth Hostel has a communal bar/lounge and a large common area with a TV, stereo, couches, and books. It is described as more like a hotel than a cozy hostel, with clean rooms and a modern shower room."
china_beijing_beijing_sihe_courtyard_hotel,"The Sihe Hotel is a small, traditional courtyard hotel located in a quiet hutong in central Beijing, offering a unique cultural experience away from large, Western-style hotels. It features traditional Chinese furnishings, clean rooms, and a peaceful courtyard, with convenient access to the metro and tourist attractions."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern, new hotel with spacious, well-appointed rooms featuring sophisticated lighting systems, electric curtains, and flat-screen TVs, with some bathrooms including a TV. It is located in the central business district, close to upscale shopping and the CCTV building."
china_beijing_capital_hotel_beijing,"The Capital Hotel has a large, elegant lobby with statuettes and a live fish tank, a bowling alley, and multiple restaurants. Some reviewers describe it as having a grand, soviet-style feel, while others mention its modern amenities and recent renovations."
