Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is located in the Haidian district, away from the city center, next to a Four Points hotel and close to a large shopping mall with various dining options, including restaurants that serve dog meat. The hotel is near the last metro stop, requiring a taxi ride to reach it, and taxi drivers may not always know the location."
china_beijing_ascott_beijing,"The Ascott Beijing is located in the CBD, near the Guo Mao subway stop, with a 7-Eleven nearby. However, the reviews mention it is not particularly suited for tourists seeking an authentic local experience and advise doing your homework to find a local guide."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong, offering a glimpse into traditional Beijing life with narrow alleyways and local surroundings. It is situated a 5-10 minute walk from the subway and Tiananmen Square."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a stay in a traditional Chinese setting with courtyards and gardens. It is within walking distance to local restaurants, shops, and the Houhai Lake area."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with full kitchens and dining areas, and is located across the street from a large supermarket. As a Chinese hotel, the price is cheaper than foreign chains, and the wait staff speaks very little English."
china_beijing_beijing_dong_fang_hotel,"The hotel is located about 20-30 minutes by foot to Tiananmen Square and the Forbidden City. There is an older-style coffee shop with character in the lobby, and the surrounding area has a few shops and restaurants."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel is located in the Hutongs, offering a glimpse into traditional Beijing life. The hotel is situated in a neighborhood with local restaurants, shops, and markets."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel was built in the 1950s in traditional Beijing style with grey brick and Chinese roofs and is comprised of multiple buildings connected by underground walkways with gardens in the center; it is located in northwest Beijing near Peking University, Tsinghua University, Zhongguancun High Tech district, and the Summer Palace. The hotel has multiple restaurants including a TGI Friday's, as well as shops and a supermarket."
china_beijing_beijing_guangming_hotel,"The Guangming Hotel is near a food street adjacent to the hotel and the embassy district. Breakfast at the hotel is available, but reviewers suggest exploring other local options."
china_beijing_beijing_hotel,"The Beijing Hotel is a historic hotel consisting of three buildings, with Building B being the oldest, dating back over 100 years, and Buildings C from pre-Mao times. The older buildings feature decor reminiscent of communist China, with red drapings and golden stairways, offering a glimpse into the past."
china_beijing_beijing_international_hotel,"The hotel is located next to the main railway station, which some consider an unsafe area not representative of real life or good restaurants. While centrally located, it may not be ideal for experiencing authentic local culture, but it is within walking distance of some attractions and shopping areas."
china_beijing_beijing_jade_international_youth_hostel,"The hostel is located in a quiet alley near a bus stop, between the Forbidden City and WanfangJie walking/shopping street, and a few blocks from the Night Market. Some reviewers mention that the hostel is not a well-known hotel and can be difficult for taxi drivers to find."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a small, traditional courtyard-style hotel located in a hutong, offering an authentic Chinese experience. It is situated in a local neighborhood, within walking distance of main attractions and the subway."
china_beijing_bohao_radegast_hotel_beijing,"Radegast Beijing is described as a typical Chinese 5-star hotel with Chinese-speaking staff, and uniquely furnished rooms. It is located in a quieter but central neighborhood, offering a different experience from well-known international chains."
china_beijing_capital_hotel_beijing,"The Capital Hotel has multiple restaurants serving both Western and Chinese cuisine; and it is located near a Muslim place and a mini-market with local products. The hotel is located near hutongs, or old alleyways, but some reviewers say the area lacks character."
china_beijing_china_world_hotel,"The China World Hotel is located in a commercial area connected to a high-end shopping mall with a subway stop, and is a short walk to the Silk Market. While the hotel offers Chinese dining options, some reviewers suggest venturing outside the hotel for a more authentic local experience and better value."
china_beijing_city_hotel_beijing,"The hotel is next to local restaurants that cater to foreigners, and staff may encourage strangers to sit with you at breakfast. The hotel name in Chinese is Chung Shi Bing Guan, which local taxi drivers know."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers stays in architect-designed villas, some shared, spread across a valley, providing access to a private, unrestored section of the Great Wall. Reviews suggest the restaurants cater to Western flavors and that staff may have limited English proficiency."
china_beijing_courtyard_7,"Courtyard 7 is located in the hutong area near Nanluoguxiang street, offering a traditional Chinese courtyard setting. The hotel is situated in a renovated 300-year-old courtyard home with traditionally-designed furnishings."
china_beijing_courtyard_by_marriott,"The hotel is connected to the New World Shopping Center which includes a supermarket and food court, and is surrounded by local Chinese restaurants. Some reviewers found it lacking in authentic local experience, and more like being in America."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is located near a market where locals line up to get food, and there are also candy stalls. There are also restaurants in the area for a quick bite."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is located on Wangfujing Street, a central shopping area, near night food markets and within walking distance of Tiananmen Square and the Forbidden City. Some reviewers suggest that it is a western chain hotel and recommend trying a Chinese one for a more authentic experience."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel is located near Peking and Tsinghua Universities, with modern restaurants like Bellagio, Middle 8, and Three Guizhou Men nearby, as well as Ghost Street and Huajia Yiyuan suggested by the concierge. Subway access is available to the Forbidden Palace and Tiananmen, and the Gate Mall offers reasonably priced restaurants."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"This hotel is located near the airport and exhibition center, and requires a long taxi ride to central Beijing. The surrounding area is industrial, with few local amenities and limited pedestrian access."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel is located a bit far from the city center, but near the Olympic Park, with small stores and restaurants nearby that close relatively early. A small mall with a food court offering affordable local food is next door."
china_beijing_crowne_plaza_sun_palace_beijing,"The hotel is located near a subway station on the third ring road, but is surrounded by construction and not within walking distance of many attractions. Some reviewers mention that there are a few local restaurants within a 10-minute walk."
china_beijing_days_inn_forbidden_city_beijing,"The hotel is located in a hutong, offering a central location near Wangfujing St. and Tiananmen Square, providing easy access to eating and tourist sites. Some reviewers suggested taking tours offered in the Forbidden City Hostel, about a 5 minute walk north of the hotel, for a good value."
