Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is located in the Haidian district, not downtown, and is near the last metro stop, requiring a taxi ride to reach it. The hotel is close to a large shopping center and has good access to the Four Points Sheraton next door."
china_beijing_ascott_beijing,"Ascott Beijing is centrally located near the Guo Mao subway station and within walking distance of the Silk Market, a 7-Eleven, and a Wal-Mart. The hotel offers convenient access to transportation and nearby amenities for exploring the city."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong (traditional alleyway) and offers a trishaw service to the main road. It is within walking distance of Tiananmen Square and close to subway stations, providing opportunities for local exploration."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a unique experience away from main tourist areas, with easy access to local restaurants, shops, and the subway. It is within walking distance of Houhai Lake, Drum Tower and other attractions, making it convenient for exploring the surrounding area."
china_beijing_beijing_century_towers,"The hotel offers apartment-style rooms with full kitchens and is located across the street from a large supermarket, making it easy to prepare meals and stock up on supplies for exploring the city. The rooms also include a washer/dryer."
china_beijing_beijing_dong_fang_hotel,The hotel is located about 20-30 minutes walking distance to Tiananmen Square. It is also easily accessible to other places via taxis and buses.
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel is located in a hutong, offering a glimpse into traditional Beijing life, and is within walking distance of Tiananmen Square and other major sights. It provides easy access to local shops, restaurants, and cultural experiences."
china_beijing_beijing_friendship_hotel_grand_building,"The hotel is a large complex with multiple buildings connected by underground walkways, featuring gardens and various restaurants. It is located a bit outside the city core, but near universities, with a new metro line opening nearby."
china_beijing_beijing_guangming_hotel,"The hotel is located off the 3rd Ring road (San Huan) near a food street, and within walking distance of the US and Japanese embassies. It offers convenient access to the embassy district and local dining options."
china_beijing_beijing_hotel,"The Beijing Hotel is located near Tiananmen Square, the Forbidden City, and the Wangfujing shopping area, with a subway stop right in front. Guests can explore different buildings showcasing historical architecture and access a nearby shopping plaza and food court."
china_beijing_beijing_international_hotel,"The hotel is centrally located within walking distance of Tiananmen Square, Wangfujing Street, the Forbidden City, and the Silk Market, and is close to a subway station. There is a shopping mall across the street, and the hotel provides cards in Chinese to give to taxi drivers."
china_beijing_beijing_jade_international_youth_hostel,"The Jade Youth Hostel is located within walking distance of the Forbidden City, Tiananmen Square, and shopping streets. The hostel is located down a long alley, and the front desk can help arrange taxis and tours."
china_beijing_beijing_sihe_courtyard_hotel,"The Sihe Hotel is located in a traditional hutong neighborhood, offering a glimpse into local Beijing life and is within walking distance of main tourist spots like the Forbidden City and Wangfujing street. The hotel provides a map to help guests find it and is near subway stations, making it easy to explore tourist areas."
china_beijing_bohao_radegast_hotel_beijing,"The hotel is located in Beijing's Central Business District, within walking distance of an upscale mall and close to the new CCTV building, though some taxi drivers may not know how to get there. The hotel is also located near a subway stop (Guomao Station) which is approximately a 15-20 minute walk away, with a closer station under construction."
china_beijing_capital_hotel_beijing,"The Capital Hotel is within walking distance of Tiananmen Square, the Forbidden City, and Wangfujing shopping street, and close to subway stations. The hotel provides taxi cards with destinations written in Chinese to help guests navigate the city."
china_beijing_china_world_hotel,"The hotel is located near a subway stop, allowing easy access to Tiananmen Square and other tourist sites. It is also a short walk to the Silk Street market and connected to a shopping mall."
china_beijing_city_hotel_beijing,"The City Hotel is located close to bars, local restaurants that cater to foreigners, and a subway station, providing easy access to Tiananmen Square, the Forbidden City, and other parts of the city. Taxis are readily available for work meetings and other destinations."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers private access to an unrestored section of the Great Wall, accessible via a steep 20-minute hike. The hotel consists of villas spread across a valley, encouraging guests to walk or use the hotel's car service to explore the grounds and reach different facilities."
china_beijing_courtyard_7,"Courtyard 7 is located in the hutong area near Nanluoguxiang, with shops, bars, and restaurants, and is within walking distance of the Drum and Bell Towers, Hohai Lake, Beihai Park, and the Forbidden City. The hotel also provides a useful card with tourist sites in both English and characters to help guests navigate the area."
china_beijing_courtyard_by_marriott,"This hotel is conveniently located near two subway lines, making travel easy, and is within walking distance of Tiananmen Square, the Forbidden City, and the Temple of Heaven. The hotel is connected to a shopping center with a grocery store and food court."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is located between the city center and the airport, with a shopping center and restaurants within a 5-minute walk. The concierge is helpful with directions, providing maps, and assisting with taxi arrangements."
china_beijing_crowne_plaza_hotel_beijing,"The hotel is conveniently located on Wangfujing Street, near the Forbidden City and Tiananmen Square, making it easy to walk to major tourist sites. Concierge services can arrange tours and transportation to attractions like the Great Wall."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel is near the Summer Palace, Peking University, and Tsinghua University, with subway access to the Olympic ""Bird Nest"", Forbidden Palace, and Tiananmen Square. The hotel provides a card to identify the hotel to taxi drivers who may not know the location."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"This hotel is located near the airport and exhibition center, but it is a long taxi ride to central Beijing and there is not much to see in the immediate surroundings. There are no shops or restaurants nearby for leisurely strolls."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel is located near the Olympic Park, Bird's Nest stadium, and Water Cube, with a small mall and food court next door. It is a 30-minute taxi ride to the city center, but a subway line is planned nearby."
china_beijing_crowne_plaza_sun_palace_beijing,"The hotel is located near the 3rd ring road and a 5-15 minute walk to subway lines 2 and 10, but some reviewers mention that it is in an isolated location with construction nearby and taxi drivers may have difficulty finding it. Some reviewers mention restaurants within walking distance."
china_beijing_days_inn_forbidden_city_beijing,"This hotel is centrally located, with easy walking access to the Forbidden City, Tiananmen Square, and Wangfujing shopping street. Subway stations are also nearby, providing convenient access to other areas of the city."
china_beijing_days_inn_joiest_beijing,"The hotel is located in a newly built commercial area with limited Beijing restaurant options, but is close to a shopping area and has bus lines in front that provide access to the subway and a supermarket. Some main sites are within walking distance, though it may take up to an hour."
china_beijing_double_happiness_courtyard_hotel,"The Double Happiness Courtyard Hotel is located in a traditional Hutong neighborhood with local shops and restaurants, offering an authentic Chinese cultural experience. It is a 10-minute walk to the subway and close to main attractions, making it easy to explore Beijing."
china_beijing_doubletree_by_hilton_beijing,"The concierge team assists with travel tips and transportation arrangements, and can write down destinations in Chinese for taxi drivers. The hotel is located outside the 2nd Ring Road, a 10-minute taxi ride to the nearest subway station, and taxis are readily available."
china_beijing_empark_grand_hotel,"The hotel has an underground ""city"" with restaurants, boutiques, and spas. It is located in the northwest part of the city, with taxis readily available."
china_beijing_fujian_hotel,"The Fujian Hotel is located on the 3rd ring road, near a mall with a supermarket and food options, and is conveniently located 20-30 minutes from the airport, offering easy access to Beijing. The hotel provides free internet and English TV channels like CNN and HBO."
china_beijing_gloria_plaza_hotel_beijing,"The hotel is conveniently located within walking distance of the Beijing railway Station and an underground station, and a few minutes walk to the underground station, close to an underground station and within an easy walk of shops and restaurants. It is located just across the corner of main shopping and walking streets and near the Embassy area, shopping, Forbidden City."
china_beijing_grand_hotel_beijing,"The Grand Hotel is centrally located, within walking distance of the Forbidden City, Tiananmen Square, and Wangfujing shopping street, and next to a metro station. Its proximity to major attractions and transportation options encourages exploration of Beijing."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing is located within walking distance of the Forbidden City, Tiananmen Square, and Wangfujing shopping street, and is connected to the Oriental Plaza mall and a subway station. The hotel provides Chinese/English business address cards and writes out tourist sites in Chinese to assist with exploration."
