Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is located in the Haidian district, next to a Four Points Hotel, and not downtown, requiring taxi rides to reach the city center and tourist locations such as the Summer Palace. A large shopping mall is located about a block away, with dining options also available at the Four Points Sheraton next door."
china_beijing_ascott_beijing,"The Ascott Beijing is located in the CBD, near the Guo Mao subway station, with a 7-Eleven nearby, but some reviews mention that it is not a tourist hotel and taxi drivers may have difficulty locating it. It offers spacious apartments with kitchens and laundry facilities, catering more to long-stay expats than tourists seeking traditional hotel experiences."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong (maze of alleyways), offering a glimpse into a ""real"" bit of Beijing. It is situated 5-10 minutes walk from Qianmen subway and Tiananmen Square, accessible via narrow alleyways and a trishaw service."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a peaceful environment with courtyards and gardens, close to local restaurants, shops, and the Houhai Lake area. The hotel provides amenities like free internet and is within walking distance of the subway."
china_beijing_beijing_century_towers,"The Century Towers Beijing offers apartment-style rooms with kitchens, including a refrigerator, and is located across the street from a large supermarket, making it convenient for cooking and stocking up on supplies. The hotel also has a workout room and a small restaurant."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel is located about 20-30 minutes by foot from Tiananmen Square. It is also near a grocery shop and some ""hutongs"" and a street market."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel is located in a hutong, offering a glimpse into traditional Beijing life, with easy access to local restaurants, shops, and cultural experiences. It is within walking distance of Tiananmen Square and other major attractions."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is located a bit outside the city core, but near universities and a new subway line, with shopping and restaurants nearby. It's a large complex with multiple buildings connected by underground passageways, offering a park-like setting and various amenities."
china_beijing_beijing_guangming_hotel,"The Guangming hotel is near a food street adjacent to the hotel, and the US and Japanese embassies are within walking distance. The hotel is located off the 3rd Ring road (San Huan), with moderate traffic."
china_beijing_beijing_hotel,"The Beijing Hotel is located near the Wangfujing shopping area and Food Street, as well as Tiananmen Square and the Forbidden City. The hotel consists of three distinct buildings, with Building B being the oldest and having a post office with a 1950s-60s communist era feel."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is centrally located, within walking distance of Wangfujing Street and close to a subway station, making it convenient for exploring the city. Some reviewers noted that the hotel's location, while central, was not ideal for experiencing ""real life"" or finding good restaurants."
china_beijing_beijing_jade_international_youth_hostel,"The Jade Youth Hostel is located in a quiet alley, a short walk to a bus stop and near the Forbidden City, WanfangJie shopping street, and the Night Market. It is also within walking distance of Tiananmen Square and other attractions, with easy access to public transportation and taxi services."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a small, traditional courtyard hotel located in a hutong, offering an authentic Chinese experience away from large, Westernized hotels. Its location provides a glimpse into local Beijing life, with easy access to the subway and walking distance to attractions like the Forbidden City."
china_beijing_bohao_radegast_hotel_beijing,"The hotel is located in a classy, young neighborhood and is within walking distance of shopping centers and local restaurants; it is also close to the CCTV building and a subway station (15-20 min walk). Some taxi drivers may not know how to get to the hotel, so clear directions with landmarks are recommended."
china_beijing_capital_hotel_beijing,"The Capital Hotel in Beijing is within walking distance of Tiananmen Square, Forbidden City, and Wangfujin Street, and close to subway stations, making it easy to get around the city. The hotel offers helpful services like writing destinations in Chinese for taxi drivers and is near a mini-market for affordable snacks and drinks."
china_beijing_china_world_hotel,"The China World Hotel is connected to a shopping mall and subway station, providing convenient access to the city. It is a short walk to the Silk Market and a subway ride away from Tiananmen Square."
china_beijing_city_hotel_beijing,"The City Hotel is located close to bars, local restaurants that cater to foreigners, and a subway station that provides access to Tiananmen Square, the Forbidden City, and the Military Museum. Taxis are readily available from this location."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers private access to an unrestored section of the Great Wall, accessible via a steep 20-minute walk. The hotel consists of villas designed by Asian architects, with options to rent a whole villa or individual rooms."
china_beijing_courtyard_7,"Courtyard 7 is located in the hutong area near Nanluoguxiang, close to shops, bars, restaurants, the Drum and Bell Towers, and within walking distance of Hohai Lake, Beihai Park and the Forbidden City. It is located down a narrow hutong lane and offers a traditional courtyard setting."
china_beijing_courtyard_by_marriott,"The Courtyard by Marriott Beijing is located near a subway station and connected to the New World Shopping Center with a supermarket and food court, offering convenient access to local life and transport for exploring the city. The hotel provides concierge services to help with directions, and is within walking distance to local markets."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is located near a shopping center with a supermarket in the basement for snacks and sundries, and is close to restaurants with a veggie restaurant one block away. A market across the street from the hotel's main entrance offers a look at local food culture."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is located on Wangfujing Street, near the night food market and within walking distance of Tiananmen Square and the Forbidden City. Some reviewers mentioned the hotel staff could write down destinations in Chinese for taxi drivers."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel is located near Peking University, Tsinghua University, and the Olympic ""Bird Nest"", accessible via a 20-minute subway ride, and is also close to a subway station and shopping mall with restaurants. The concierge can assist with sightseeing plans, and the hotel provides a card to identify the hotel for taxi drivers who may not know the location."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"This hotel is located near the airport and exhibition center, but is far from the city center, requiring a 40-minute to over an hour-long taxi ride depending on traffic. There are few amenities in the immediate area, though the hotel does offer a shuttle to the airport."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel is located near the Olympic Park, with a small mall and food court next door. Some reviewers mention restaurants and shops within walking distance."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel is located near the third ring road and a 5-10 minute walk to the Shaoyaoju subway station. While some reviewers found the location isolated with construction nearby, others mentioned local restaurants within walking distance and easy subway access to the city."
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City Beijing is located in a hutong and central to Wangfujing St., Tiananmen Square, Mao's Maseoleum, and the Forbidden City, making eating and tourist sites accessible on foot. Some reviewers mentioned that it is near a beautiful garden and charming little park that connects two roads."
china_beijing_days_inn_joiest_beijing,"The hotel is located in a newly built commercial area with limited Beijing restaurant options, but is close to shopping and has several bus lines that provide access to the subway and a supermarket. Some reviewers mentioned that the hotel is not near many attractions and requires taking a cab, which can be difficult due to selective cab drivers."
china_beijing_double_happiness_courtyard_hotel,"Double Happiness Courtyard Hotel is located in a hutong (traditional alleyway), offering an authentic Chinese experience with traditional decor and a courtyard setting. It is situated among local shops and restaurants, providing a glimpse into daily life, and is within walking distance of the subway."
