Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is located in the Haidian district, at the last metro stop, requiring a taxi to reach it. It is near a large shopping center and has several dining options."
china_beijing_ascott_beijing,"The Ascott Beijing is located in the CBD, close to the Guo Mao subway station, with taxis readily available and within walking distance of shops, restaurants, and the Silk Market. It offers convenient access to various parts of the city and nearby amenities."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong, offering a glimpse into traditional Beijing life, and is within walking distance of Tiananmen Square and the Qianmen subway station. The hotel provides a trishaw service to the main road and offers guests a mobile phone to use during their stay."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a unique cultural experience away from typical tourist areas, with easy access to local shops, restaurants, and the subway. The hotel features traditional Chinese decor, gardens, and courtyards, providing a peaceful environment."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with full kitchens and washer/dryers, located across the street from a large supermarket. The hotel features a workout room and a small restaurant, with access to English-language TV channels."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel is located about a 30-minute walk from Tiananmen Square and close to a metro station, though some taxi drivers may have difficulty finding it. The hotel is near a grocery shop and a market, offering some connection to the local area."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel is located in a hutong, offering a glimpse into traditional Beijing life, and is within walking distance of Tiananmen Square and other major sights. It provides easy access to local restaurants, shops, and cultural experiences."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is located a bit outside the city core, about a 40 minute bus ride from Tiananmen Square and a 15 minute walk to the nearest subway. A new subway line is opening soon with a station 50m from the hotel."
china_beijing_beijing_guangming_hotel,"The Guangming Hotel is near the 3rd Ring road (San Huan), with moderate traffic and walking distance to the US and Japanese embassies, and adjacent to a food street. It is located across the street from the Hilton, with the business center offering currency exchange."
china_beijing_beijing_hotel,"The Beijing Hotel is centrally located near Tiananmen Square and the Forbidden City, with a subway stop in front of Building A and close proximity to Wangfujing shopping street. Some rooms in the hotel offer views of the Forbidden City."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is centrally located, within walking distance of Tiananmen Square, Wangfujing Street, and the Forbidden City, and near a subway station. It is located next to the main railway station, across the street from a shopping mall, and a 20-minute walk to Wangfujing Street."
china_beijing_beijing_jade_international_youth_hostel,"Jade International Youth Hostel is centrally located near the Forbidden City, Tiananmen Square, and shopping streets, with easy access to public transportation and taxi services. The hostel offers amenities such as free Wi-Fi in the lobby, tour booking services, and helpful staff who can assist with directions and travel arrangements."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is located in a traditional Hutong neighborhood in Beijing, offering a unique cultural experience. The hotel features a courtyard design with traditional Chinese furnishings and is within walking distance of the subway and main attractions like the Forbidden City."
china_beijing_bohao_radegast_hotel_beijing,"The hotel is located in Beijing's Central Business District, near the new CCTV building and a short walk from the XinGuangTianDi mall with a subway station. Some reviewers noted the immediate area around the hotel didn't initially seem impressive but offered conveniences like a Walmart and restaurants within walking distance."
china_beijing_capital_hotel_beijing,"The Capital Hotel is located within walking distance of Tiananmen Square, Forbidden City, and Wangfujing shopping street. It is also located close to subway stations, providing convenient access to other parts of the city."
china_beijing_china_world_hotel,"The China World Hotel is connected to a subway stop, providing convenient access to Tiananmen Square and other tourist sites. It is located near the Silk Market and is part of the China World Center, which includes a shopping mall with designer stores and restaurants."
china_beijing_city_hotel_beijing,"City Hotel is centrally located in Beijing, close to bars, local restaurants catering to foreigners, and a subway station providing convenient access to Tiananmen Square, the Forbidden City, and other attractions. The hotel is known to local taxi drivers as Chung Shi Bing Guan."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is located about 1.5 hours outside of Beijing, consisting of villas spread across a valley next to a private section of the Great Wall. Some reviewers noted the hotel can feel isolated, requiring car service to access different parts of the property, while others appreciated the peaceful atmosphere away from the city."
china_beijing_courtyard_7,"Courtyard 7 is located in the hutong area near the Bell and Drum Towers, Nanluoguxiang street, and Gulou East street, offering a traditional Chinese courtyard experience. It is within walking distance of Hohai Lake, Beihai Park, and the Forbidden City."
china_beijing_courtyard_by_marriott,"The Courtyard Beijing is centrally located near the subway, a shopping mall, and local restaurants, making it easy to access tourist sites and experience local culture. Some rooms have been recently renovated."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is located between the city center and the airport, a 5-minute walk to an area with restaurants and a shopping center, though the shopping center can be hard to find. It is also located near main attractions, about 10 minutes from downtown without traffic, and close to a subway station via a short bus ride."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is centrally located on Wangfujing Street, a main shopping area, and is within walking distance of Tiananmen Square and the Forbidden City. It is also near night food markets and subway access."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel is located near Peking University, Tsinghua University, and the Olympic ""Bird Nest,"" with subway access to the Forbidden Palace and Tiananmen Square. There are modern restaurants like Bellagio and Middle 8 nearby, as well as local options like Three Guizhou Men for dumplings."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"This hotel is located close to the airport and exhibition center, but far from downtown Beijing, requiring a 40-minute to over an hour taxi ride to the city center. The hotel is situated in an industrial area with limited nearby amenities and pedestrian access."
china_beijing_crowne_plaza_park_view_wuzhou,"The Crowne Plaza Wuzhou is located near the Olympic Park and is about a 30-45 minute taxi ride to the city center, with a subway station opening nearby in 2008. A small mall with a supermarket and food court is located next door."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel is located on the third ring road, a 2-3 minute walk to the nearest subway station. Some reviewers mention that the hotel's location is not convenient and that taxi drivers have difficulty finding it."
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City Beijing is centrally located, offering walking distance access to Tiananmen Square, Forbidden City, and Wangfujing shopping street, with nearby subway and bus links. Some rooms offer views of the hutongs, and the hotel is situated in a courtyard setting, providing a quiet environment amidst the bustling city."
china_beijing_days_inn_joiest_beijing,"The hotel is located in a newly built commercial area and is a 15-20 minute walk to main sites, with several bus lines in front of the hotel providing access to the CiQiKou subway. Some reviewers mentioned difficulty finding cabs and a lack of nearby restaurants."
