Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel's location is not ideal for tourists, as it is at the last metro stop and requires a taxi to reach historic sites in Beijing; taxi rides to the Forbidden City can take about 30 minutes and cost around 50 RMB. The hotel is located next to the Four Points Hotel in the Haidian district."
china_beijing_ascott_beijing,"The Ascott Beijing is centrally located near the Guo Mao subway station, within walking distance of the Silk Market and a short taxi ride to major attractions. Some reviews mention it being about 20 minutes from main attractions and close to the CBD."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong (traditional alleyway) and is within a 5-10 minute walk to Tiananmen Square, Qianmen subway, the Temple of Heaven and the Forbidden City. The hotel provides a trishaw service to the main road and a mobile phone for use during your stay."
china_beijing_bamboo_garden_hotel,"Bamboo Garden Hotel is located in a hutong, a short walk from the Drum Tower/Houhai Lake area and close to the Gulou subway station. It is convenient to many local attractions including The Forbidden City."
china_beijing_beijing_century_towers,"The Century Towers Beijing hotel offers apartment-style rooms with full kitchens and washer/dryers and is located across the street from a large supermarket. It is a Chinese hotel, not a foreign chain, and is located in Beijing."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel is located about a 20-30 minute walk from Tiananmen Square. However, the hotel is not easily accessible by public transport, and taxi drivers may have difficulty finding it."
china_beijing_beijing_far_east_international_youth_hostel,"Far East Hotel is located in a hutong, within walking distance of Tiananmen Square and the Forbidden City (20 minutes). It's also close to the Hepingmen subway station."
china_beijing_beijing_friendship_hotel_grand_building,"The hotel is not near the tourist attractions, but taxis are cheap and plentiful. The nearest subway station is a 15-minute walk away, but a new subway line with a station just outside the hotel is opening soon."
china_beijing_beijing_guangming_hotel,"The Guangming Hotel is located off the 3rd Ring road (San Huan), near the US and Japanese embassies, and adjacent to a food street. The hotel rooms are modern, clean, and equipped with LCD TVs featuring international channels."
china_beijing_beijing_hotel,"The Beijing Hotel is located near Tiananmen Square and the Forbidden City. It is located on the corner of Wangfujing Mall and Chang An Avenue, and is connected to the Raffles Hotel."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is centrally located, within walking distance of Tiananmen Square (1.3 miles), Wangfujing Street (1.0 mile), and the Forbidden City (1.3 miles). It is also near a subway station, shopping centers, and the main train station."
china_beijing_beijing_jade_international_youth_hostel,"Jade International Youth Hostel is within walking distance of the Forbidden City, Tiananmen Square, and the shopping street Wanfanjie; the nearest bus stop is one block away, and the Dengshikou metro station is about a 10-minute walk. The hotel also provides cards with the address in Chinese for taxi drivers to take guests to tourist areas."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is located within walking distance of the Forbidden City and Wangfujing street, and is near the metro station. Taxis can be difficult, as it is located in a hutong."
