Hotel,Summary
china_beijing_aloft_beijing_haidian,The hotel is modern and stylishly designed. Its lobby and ground floor areas have a decor that is modern.
china_beijing_ascott_beijing,"I am sorry, but the query is not relevant to the document. The hotel reviews describe the Ascott Beijing as a serviced apartment with spacious rooms, kitchens, laundry facilities, a pool, and a gym, but there is no information about its unique architectural design."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style courtyard hotel located in a hutong (maze of alleyways). The hotel is situated ""3 layers deep"" from the main streets and features a courtyard."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a historic building within the hutongs, featuring classical Chinese carved wood furniture and architecture set around a tranquil courtyard with gardens. Rooms are decorated in Chinese style, and the hotel's grounds include ivy-covered courtyards, red lanterned walkways, and mini ponds with koi."
china_beijing_beijing_century_towers,"The Century Towers Beijing hotel offers apartment-style spaces with 3-bedroom units, full kitchens, dining rooms, and washer/dryers. Rooms include a large flat-screen TV and access to a work-out room in the basement."
china_beijing_beijing_dong_fang_hotel,The hotel has an older part of the building with a coffee shop named 1918. Rooms have been refurbished and are modern.
china_beijing_beijing_far_east_international_youth_hostel,"The hotel is located in a traditional hutong, with a traditional courtyard. The hotel features communist decor."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel consists of multiple buildings in traditional Beijing style with grey brick and Chinese roofs, set within a garden ""compound"". It was built in the 1950s, originally to support friendship between the Soviets and the Chinese Communists."
china_beijing_beijing_guangming_hotel,"The hotel was recently remodeled before the Olympics and has a modern, hi-tech design. The lobby has a 5-star appearance."
china_beijing_beijing_hotel,"The Beijing Hotel consists of three distinct buildings, with Building B being the oldest (built more than 100 years ago) and Building C from pre-Mao times, featuring decor of old communist China with red drapings, golden stairways, and red carpets. The hotel is connected to the Raffles Hotel and Grand Hotel, forming a city-block-sized building."
china_beijing_beijing_international_hotel,"The Beijing International Hotel has a spacious foyer, and a revolving restaurant on the 28th floor. Some reviewers mention that the overall decor of the hotel is uninspiring, but that it is being redecorated."
china_beijing_beijing_jade_international_youth_hostel,"The hotel is decorated in a traditional style, and the information room has Emperor/Empress suits for guests to try on for photos. Some reviews mention it being a well-run hotel-like option as opposed to siheyuan/courtyard house."
