Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is next to a Four Points Sheraton, where there are a number of good restaurants. The hotel also has a breakfast buffet."
china_beijing_ascott_beijing,"The Ascott Beijing has several restaurants leasing space, including Italian, Thai, and Japanese. The Italian restaurant, Casa Mia, is mentioned as being excellent, delivering to rooms, and having an Italian owner/chef."
china_beijing_autumn_garden_courtyard_hotel,The hotel offers both English and Chinese breakfast options. They can also prepare simple lunches upon request.
china_beijing_bamboo_garden_hotel,"The hotel restaurant is reported to be very good and reasonably priced, with both Chinese and Western foods offered for breakfast. One reviewer enjoyed lunch at the hotel, citing the Eight Treasure Tofu Pot, Bamboo shoots with mushrooms, Sweet and sour pork, and Beijing-style noodles."
china_beijing_beijing_century_towers,The hotel restaurant is small and serves food. The wait staff speaks very little English.
china_beijing_beijing_dong_fang_hotel,"The hotel has a restaurant with authentic food, and a coffee shop named 1918 that doubles as a great bar. There is a breakfast buffet with a variety of European and Chinese foods."
china_beijing_beijing_far_east_international_youth_hostel,"The hotel restaurant serves Chinese and Russian food, and the breakfast buffet includes eggs, ham, cereal, and muffins. The hotel also has a basement bar."
china_beijing_beijing_friendship_hotel_grand_building,"The hotel has multiple restaurants, including a Chinese restaurant in the main building and a French/Russian restaurant that serves spaghetti. Many reviewers mention a TGI Friday's on the premises."
china_beijing_beijing_guangming_hotel,"The hotel's breakfast was described as only okay, with a smaller selection compared to other hotels, costing 80 yuan. There is a food street adjacent to the hotel."
china_beijing_beijing_hotel,"The hotel has two reasonably priced specialty Chinese restaurants. Breakfast was expensive, and one reviewer ate at the next-door Raffles Hotel, which had an excellent (if pricey) seafood promotion."
china_beijing_beijing_international_hotel,"The hotel has a restaurant on the top floor that gives a great view of the city, and also has a breakfast buffet with varied options and good service. Pianists play in the restaurants while guests are eating."
china_beijing_beijing_jade_international_youth_hostel,"The hotel has a restaurant and bar that serves food throughout the day, including a breakfast buffet; bar food is mostly western style and aimed at backpackers/students. The breakfast buffet includes eggs, onion rings, toast, croissants, fried rice, and noodles."
china_beijing_beijing_sihe_courtyard_hotel,"I am sorry, but there is no mention of excellent fine dining at this hotel in the reviews. The hotel only offers breakfast and is located near street restaurants."
china_beijing_bohao_radegast_hotel_beijing,"The hotel has five restaurants offering various cuisines from Chinese to American to French, including a French restaurant with authentic cuisine and the Radegast Food Bazaar serving local snack foods made by expert chefs. The restaurants are noted to be expensive."
china_beijing_capital_hotel_beijing,"The hotel has multiple restaurants, including an Italian restaurant on the 20th floor, but some reviews mention that the food is expensive and of poor quality. Breakfast is a buffet with a mix of Western and Asian options."
china_beijing_china_world_hotel,"The hotel has several restaurants including Aria (French) and Summer Palace (Chinese), with breakfast and lunch buffets catering to various tastes. Some reviewers found the restaurants expensive but others reported great service and food."
china_beijing_city_hotel_beijing,"The City Hotel is located next to local restaurants that cater to foreigners. Breakfast is offered, and staff may encourage strangers to sit together."
china_beijing_commune_by_the_great_wall_kempinski,"The hotel has multiple restaurants including Chinese and Western options, and offers a wine list. Some reviewers found the food quality high, while others found it overpriced and mediocre."
china_beijing_courtyard_7,"The hotel has a restaurant that serves breakfast, with both Chinese and European options available buffet style. There are also restaurants in the surrounding area, some of which deliver to the hotel's private courtyards."
china_beijing_courtyard_by_marriott,"The hotel has two restaurants, one with an inexpensive menu and average food, and a Chinese restaurant on the second floor with nice Asian decor. A new Capital M restaurant with a terrace view and fusion menu is located across the street."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel has a high-priced second-floor restaurant offering Chinese and Western cuisine, and the MoMo Cafe in the lobby sells pastries. The hotel's restaurant staff are friendly and attentive, and the breakfast buffet offers a wide variety of options."
china_beijing_crowne_plaza_hotel_beijing,"The hotel has multiple restaurants, including Orange restaurant, which offers a very good buffet meal. One reviewer had every meal at the restaurant and complimented the chef, while another found the food in the main restaurant downstairs just OK."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel has a variety of restaurants, including Rouge Chinese restaurant which serves dimsum, and Mixs Italian tepan grill restaurant that prepares food in front of the customer. The Valley Cafe provides an international and Chinese spread for breakfast."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel has several restaurants, and the Crowne Cafe offers a large variety of Asian and western foods, especially for the buffet breakfast. The hotel also has bars and lounges to relax in."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel has several restaurants, including a Brazilian restaurant and Cafe Asia with an Australian executive chef catering to all tastes. Cafe Asia offers a diverse and fresh dinner buffet."
china_beijing_crowne_plaza_sun_palace_beijing,"The hotel has a restaurant that serves buffet-style meals with 7-8 sections featuring food from different parts of the world; there are also two other restaurants, one serving Yunan cuisine and the other Cantonese seafood. The breakfast buffet has a wide selection of Western and Chinese cuisines."
china_beijing_days_inn_forbidden_city_beijing,"The hotel restaurant is noted as being a bit overstretched one night and somewhat pricey, though Sonny, a waiter, is mentioned for his exceptional service and the restaurant food is considered superb. The breakfast buffet is generally well-received, offering a mix of Chinese and Western food."
china_beijing_days_inn_joiest_beijing,"The hotel's breakfast buffet on the fourth floor has a wide variety of western, Chinese, and Japanese foods, and the buffet included Hagen Daaz ice cream with wine and beer. There are not many restaurants nearby the hotel."
china_beijing_double_happiness_courtyard_hotel,The hotel offers a Chinese and Continental breakfast which is just OK but sumptuous. Night dinner was pretty mediocre.
china_beijing_doubletree_by_hilton_beijing,"The Doubletree Hilton Beijing has a Sui Yuan restaurant that serves Peking duck, and the China Grill restaurant and bar are located in the nearby Park Hyatt. The hotel also offers breakfast buffets and meals in its restaurant, but some found it pricy."
china_beijing_empark_grand_hotel,"The hotel has a restaurant with a buffet for breakfast and dinner, offering a wide selection of options including vegetarian and seafood dishes. There is also a Vegas-like mall in the basement with restaurants and small boutiques."
china_beijing_fujian_hotel,"The hotel restaurant serves both western and Chinese foods, and room service is available, though the food may not match European expectations. The breakfast buffet offers a mix of Chinese and Western options."
china_beijing_gloria_plaza_hotel_beijing,"The hotel has multiple restaurants including a dim sum restaurant and offers a breakfast buffet with a wide range of Western and Chinese food; some reviewers found dinner in the restaurant to be more expensive than nearby options, with bland food and poor service. A lady playing the Grand Piano was a nice touch at the buffet meal one evening."
china_beijing_grand_hotel_beijing,"The Grand Hotel has a Chinese restaurant with excellent food. The breakfast restaurant is mediocre, and other restaurants in the hotel are uninspired."
