Hotel,Summary
china_beijing_aloft_beijing_haidian,There is no mention of views in the hotel reviews.
china_beijing_ascott_beijing,I did not find any information about amazing views in the reviews. The gym has nice views.
china_beijing_autumn_garden_courtyard_hotel,"I am sorry, the reviews do not mention anything about views from the hotel."
china_beijing_bamboo_garden_hotel,"Rooms overlook spacious gardens and courtyards that feature ivy, red lanterns, mini ponds with koi, and wild vines. Some rooms have views reminiscent of a mountain scene."
china_beijing_beijing_century_towers,"I'm sorry, the document does not contain any information about the hotel having amazing views. Therefore, I cannot provide a relevant summary."
china_beijing_beijing_dong_fang_hotel,Rooms on the 12th floor offer lovely views over the city. Distant views of Beijing through the smog are visible from the higher floors.
china_beijing_beijing_far_east_international_youth_hostel,"I am sorry, none of the reviews mention that this hotel has amazing views."
china_beijing_beijing_friendship_hotel_grand_building,The hotel is a large complex with multiple buildings in a garden-like setting and is not near tourist attractions. Some rooms have balconies.
china_beijing_beijing_guangming_hotel,"I am sorry, the text does not mention if the hotel has amazing views. However, the hotel is located near the embassy district."
china_beijing_beijing_hotel,"Some rooms offer views of the Forbidden City and Tiananmen Square, particularly in Block A on floors higher than 14. Rooms have balconies overlooking Chang An Avenue."
china_beijing_beijing_international_hotel,"The hotel has a revolving restaurant on the 28th floor that gives great views of the city, especially on a clear day. Rooms on the upper floors have views overlooking the Beijing Railway Station."
china_beijing_beijing_jade_international_youth_hostel,"The hotel is near JingshanYuan, the highest point in the city with a temple that looks straight down on the Forbidden City. Bei Hai Park is also nearby, offering ferry rides across the lake."
china_beijing_beijing_sihe_courtyard_hotel,"I am sorry, but none of the reviews mention views from the hotel."
china_beijing_bohao_radegast_hotel_beijing,"I am sorry, none of the reviews mention a view."
china_beijing_capital_hotel_beijing,"Rooms on the upper floors offer nice views, including rooftops of the Forbidden City from some rooms and views of Tiananmen Square lit up at night from the top-floor restaurant. The Italian restaurant on the top floor offers a beautiful sight over Beijing."
china_beijing_china_world_hotel,"The rooms offer cityscape views, and some rooms face the burnt out shell of a massive building behind the CCTV building. Rooms overlook Beijing."
china_beijing_city_hotel_beijing,"I am sorry, the provided reviews do not mention any views from the hotel."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers guests private access to an unrestored section of the Great Wall, with some rooms and villas providing views of the Wall. It is located in a valley and offers a peaceful atmosphere away from Beijing."
china_beijing_courtyard_7,"I am sorry, the reviews do not mention anything about amazing views. However, the hotel is a series of renovated courtyards in the old part of Beijing and some rooms have their own small courtyard. Some bars/restaurants with tables on the roof are in the area."
china_beijing_courtyard_by_marriott,Some rooms on higher floors offer great views of the city and street corners. The executive lounge windows were too filthy for a view.
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is a tall high-rise building from which guests can enjoy a sunrise or sunset through the Beijing smog, and rooms on the 18th and 16th floor overlook the rear of the building. Rooms have nice views."
china_beijing_crowne_plaza_hotel_beijing,"Some rooms have an inward-facing view of the hotel atrium, while others have an outside view of Wangfujing Street. Corner rooms have big windows facing west or south."
china_beijing_crowne_plaza_hotel_zhongguancun,"I did not find any information about hotel views in the reviews. However, the hotel is located near Summer Palace, Peking University, and Tsinghua University."
china_beijing_crowne_plaza_international_airport_hotel_beijing,There is no mention of views from this hotel in the reviews. The hotel is located close to the airport and exhibition center.
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel is located near the Olympic stadium, with some rooms offering nice views. It is situated a bit further from central Beijing."
china_beijing_crowne_plaza_sun_palace_beijing,"Located on the 12th floor, the hotel offers views that include construction. It is surrounded by construction activity, making it look isolated."
china_beijing_days_inn_forbidden_city_beijing,"Some rooms have views over the hutong. The budget rooms are in the cellar, with only a small window."
china_beijing_days_inn_joiest_beijing,"I am sorry, none of the reviews mention any views from the hotel."
china_beijing_double_happiness_courtyard_hotel,The hotel has a roof terrace from which you can overlook the hutong. One room had a balcony overlooking the hutong.
china_beijing_doubletree_by_hilton_beijing,"The Park Hyatt is mentioned as a must for a meal on the 66th floor at China Grill or a drink in the bar on the 65th floor, offering food and views. One reviewer mentions booking an Executive Floor Room to enjoy the view and services at the Executive Lounge."
china_beijing_empark_grand_hotel,"I am sorry, the reviews do not mention anything about hotel views."
china_beijing_fujian_hotel,"I am sorry, the reviews do not mention anything about the views from the hotel."
china_beijing_gloria_plaza_hotel_beijing,"The hotel has large picture windows with great views of the busy city, especially from higher floors. Some rooms offer panoramic city views, including sights of an ancient tower and the old Beijing city wall."
china_beijing_grand_hotel_beijing,"The Grand Hotel is located close to the Forbidden City and Tiananmen Square, and some rooms offer views of the Forbidden City. Rooms facing Chang An Avenue can be noisy, and rooms on the west side of the hotel look over the roofs of the Forbidden City."
china_beijing_grand_hyatt_beijing,"Rooms facing the main entrance have a postcard view, and rooms facing the rear have views of the Forbidden City, Baihai Park and Jing Shan Park. Some rooms have views of a tall office building directly across."
china_beijing_grand_mercure_hotel_xidan,"Some rooms offer views of Tiananmen Square and the National Theatre, while others overlook a weed-infested inner courtyard or a construction site. Rooms on higher floors may provide better views."
china_beijing_grand_millennium_beijing,"The hotel offers views of the CCTV building, and some rooms have views of the burnt Mandarin Oriental hotel. Higher-level rooms are advised for better views, even of the ""burnt building opposite."""
china_beijing_grand_view_garden_hotel,"Some rooms have an outlook of the courtyard and others in the group looked out into the gardens; one reviewer's room had a view of a giant satellite dish. The hotel has access to a garden, free for hotel residents."
china_beijing_guangzhou_hotel,One reviewer booked a superior business room with a river view. The hotel overlooks a busy mall area.
china_beijing_harmony_hotel,"I am sorry, the reviews do not mention amazing views. However, some rooms may have eastern exposure."
