Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is located in the Haidian district, near the last metro stop, and requires a taxi to reach it. It is not close to historic sites, but is near a large shopping center and restaurants."
china_beijing_ascott_beijing,"The Ascott Beijing is centrally located in the CBD, within walking distance of the train station, food places, and a 7-Eleven, and about a 10-15 minute walk to the silk market. Some main attractions are about 20 minutes away, but the hotel is not specifically a tourist hotel and is located about a 10 minute walk from the Guo Mao subway station."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong (traditional alleyway) near Tiananmen Square, offering a quiet environment amidst the busy city. It is within walking distance of the subway and major attractions like the Temple of Heaven and Forbidden City."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a quiet and peaceful environment with courtyards and gardens; it's within walking distance to lakes and close to the subway for city access. Some rooms offer garden views."
china_beijing_beijing_century_towers,The Century Towers Beijing hotel offers apartment-style rooms with full kitchens and washer/dryers. It is located across the street from a large supermarket.
china_beijing_beijing_dong_fang_hotel,The hotel is located about a 30-minute walk from Tiananmen Square and close to a metro station. Some rooms offer views of the city.
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel is located in a hutong, about 20 minutes walk from Tiananmen Square and close to the Forbidden City and Temple of Heaven. It offers tours to the Great Wall and is near local shops and restaurants."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings in a garden setting, offering a peaceful environment away from the city's chaos, though it is situated on the third ring road and requires taxi rides to reach city sites. It is near Peking University, Tsinghua University, Zhongguancun High Tech district, and the Summer Palace, with a major department store, restaurants, and shopping mall nearby."
china_beijing_beijing_guangming_hotel,"The hotel is located off the 3rd Ring road (San Huan) with moderate traffic and adjacent to a food street, and is within walking distance of the US and Japanese embassies. Rooms are modern and hi-tech with LCD TVs."
china_beijing_beijing_hotel,"The Beijing Hotel is centrally located near Tiananmen Square and the Forbidden City, with some rooms offering views of the Forbidden City. It is close to the Wangfujing shopping street and a subway stop, but the airport is quite far."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is centrally located within walking distance of the Forbidden City and Wangfujing Street, and across the street from a shopping mall. Some rooms offer views of the Beijing Railway Station."
china_beijing_beijing_jade_international_youth_hostel,"The hotel is located near the Forbidden City, Tiananmen Square, and other major sights, with easy access to public transportation. It is also close to the Night Market and within walking distance of parks."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is located in a traditional Hutong neighborhood in central Beijing, within walking distance to the Forbidden City. It features a courtyard garden offering a peaceful environment."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is located in the Central Business District in the ChaoYang district, about a 10-minute walk to the XinGuangTianDi mall and a subway station, with some restaurants and high-end shopping malls within walking distance. Although located in a quieter area, it is a short taxi ride to the city center."
china_beijing_capital_hotel_beijing,"The Capital Hotel is within walking distance of Tiananmen Square and the Forbidden City, and some rooms have views of the city and mountains. The hotel organizes excursions to the Great Wall."
china_beijing_china_world_hotel,"The China World Hotel is located in the Chaoyang district of Beijing, close to a subway stop for easy access to tourist sites and near the China World shopping mall. Some rooms offer cityscape views, and the hotel has a gym and pool."
china_beijing_city_hotel_beijing,"City Hotel is located centrally in Beijing, close to bars, restaurants catering to foreigners, and a subway station providing access to Tiananmen Square, the Forbidden City, and other areas. Access to the street requires walking through construction and what smells like open sewage."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers a location in a valley near the Great Wall, about 1-1.5 hours from Beijing. It features architecturally unique villas, a private section of the Great Wall, restaurants, and spa facilities."
china_beijing_courtyard_7,"Courtyard 7 is located in a renovated courtyard in the old part of Beijing, within walking distance of Hohai Lake, Beihai Park and the Forbidden City, and a short walk to Qianhai Lake. The hotel is located off Nanluoguxiang, a tree-lined street with shops, bars and restaurants."
china_beijing_courtyard_by_marriott,"The hotel is conveniently located near a subway station, close to Wangfujing, Forbidden City, and Tiananmen Square. There are cars for hire outside the hotel for day trips to the Great Wall and Ming Tombs."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is located between the city center and the airport, about 20 minutes by cab from the airport, and about 10 minutes from downtown without traffic. It is not particularly close to nature."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is located on Wangfujing Street, a central shopping area, and is within walking distance or a short taxi ride to Tiananmen Square and the Forbidden City. Some reviewers noted that you could arrange day trips to the Great Wall through the concierge."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel is near the Summer Palace, Peking University, and Tsinghua University, and a subway ride away from the Olympic ""Bird Nest,"" Forbidden Palace, and Tiananmen. It is located about 45 minutes from the city center by subway."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel is located close to the airport and exhibition center, but is far from the city center, requiring a 40-minute to over an hour taxi ride. The hotel is in an industrial area with not many amenities nearby."
china_beijing_crowne_plaza_park_view_wuzhou,The Crowne Plaza Wuzhou is located near the Olympic Park and about 30-45 minutes by taxi from the city center. It is also within walking distance of a small mall with a supermarket and food court.
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel is located on the third ring road in Beijing's North East, a short walk from the Shaoyaoju subway station (lines #2 and #10), with construction surrounding the area. Some reviewers mention views of construction, but also proximity to the subway for access to the city."
china_beijing_days_inn_forbidden_city_beijing,"The Days Inn Forbidden City is located near a park, and is within walking distance of the Forbidden City and Tiananmen Square. It is also close to subway and bus stops that go to other places of interest like the Summer Palace."
china_beijing_days_inn_joiest_beijing,"The hotel is located in a newly built commercial area, not near an underground station, and about a 15-20 minute walk to main sites. Some reviews mention bus lines in front of the hotel that provide access to the CiQiKou subway and GuoMao Carrefour supermarket."
china_beijing_double_happiness_courtyard_hotel,"The Double Happiness Courtyard Hotel is located in a traditional Hutong neighborhood, offering a taste of local Beijing life. It is within walking distance to the subway and close to shops and restaurants."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree Hilton Beijing is located outside the 2nd Ring Road, not close to major sites or a subway station, but near bus stops. It has a 3rd-floor outdoor roof garden with a swimming pool."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel is located in the northwest part of the city, with the Summer Palace being the closest attraction. The hotel is not located in a walkable part of town, and the city center is a 20-30 minute taxi ride away."
china_beijing_fujian_hotel,"The Fujian Hotel is located on the 3rd ring road, near a mall with a supermarket and food options, and about 20-30 minutes from the airport. The hotel is easily accessible to other parts of Beijing."
china_beijing_gloria_plaza_hotel_beijing,"The Gloria Plaza Hotel is located in central Beijing, within walking distance of the Beijing railway station and an underground station. Some rooms have a view of an ancient tower and the old Beijing city wall."
china_beijing_grand_hotel_beijing,"The Grand Hotel is centrally located, within walking distance to the Forbidden City, Tiananmen Square, and Wangfujing shopping area, and adjacent to gardens east of the Forbidden City. Some rooms offer views of the Forbidden City."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing is located in the heart of the city near shopping and tourist attractions, and some reviewers appreciated the indoor pool. Some reviewers recommend hiring a driver to visit the Great Wall and Ming Tombs."
china_beijing_grand_mercure_hotel_xidan,"The Grand Mercure Hotel Xidan Beijing is near the Xidan subway station and Xuanwumen station, and is a 15-20 minute walk to Tiananmen Square. There are Hutongs with restaurants located nearby."
china_beijing_grand_millennium_beijing,"The hotel is located in the Central Business District and near a subway station, providing access to both the city and attractions outside of it like the Great Wall and Summer Palace. The hotel is near Ritan Park and Hutongs, and some rooms offer views of the CCTV building."
china_beijing_grand_view_garden_hotel,"The Grand View Garden Hotel is located a distance from the city center, but next to a park with free entry for hotel residents. It also has a garden at the back that is well worth a visit, and is based on the Chinese classic ""The Dream of the Red Mansion""."
china_beijing_guangzhou_hotel,"The hotel is located near the Beijing Pedestrian Road, a 15-20 minute walk to Tienanmen Square & the Forbidden City, and close to shops and restaurants. It is also near the subway, with one stop to Tienanmen Square and three stops to Wangfujing shopping area."
china_beijing_harmony_hotel,"The Harmony Hotel is located near the Beijing Railway Station and subway, offering convenient access to city attractions like Tiananmen Square and the Forbidden City (20-25 minute walk). Some reviewers mention nearby hutongs (alleys) that are fun to explore."
china_beijing_hebei_hotel_beijing,"Hebei Guest House is located in a traditional hutong neighborhood, offering an authentic feel with proximity to the Forbidden City and Tiananmen Square. Some rooms overlook a courtyard with a water feature, providing a quiet atmosphere despite being close to city attractions."
