Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is located across the street from Rockefeller Center and has views of St. Patrick's Cathedral and Radio City Music Hall. Reviews state that if you are looking for luxury, services, and amenities in a hotel, this is not the place for you."
usa_new york city_414_hotel,"This hotel is a small, European-style hotel with modern furniture and amenities, such as plasma TVs. It offers a minimal continental breakfast and is located near Restaurant Row and Times Square."
usa_new york city_60_thompson,"The hotel is described as luxurious with elegant decor, Frette linens, Fresh brand toiletries, and turn-down service, but some found the rooms small and furniture worn. There is a rooftop bar and a Thai restaurant."
usa_new york city_6_columbus,"The hotel has modern decor, often described as stylish or chic, and offers amenities such as Kiehl's or Fresh bath products, Frette linens, and iPod docking stations. Some rooms are upgraded to suites with balconies and spacious bathrooms."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"This boutique hotel features comfortable beds, stylishly decorated rooms, jacuzzis, L'Occitane toiletries, and L'Occitane bath products. However, some guests found the rooms small, and experienced issues with noise and broken amenities."
usa_new york city_ace_hotel_nyc,"Some rooms have amenities such as a guitar, record player, SMEG fridge, and flat-screen TV, and the hotel provides free breakfast, bathrobes, and upscale toiletries. Some reviewers mention loft upgrades and larger rooms, but there are also reports of small bathrooms and cramped rooms."
usa_new york city_affinia_50,"Some reviewers found the rooms spacious and well-equipped with comfortable beds, Aveda toiletries, and optional pillow menus; however, some guests noted the hotel was not luxurious, and that some rooms were worn. The hotel has a club room, but some guests found the breakfast expensive, and there is no bar or restaurant on-site."
usa_new york city_affinia_dumont,"This hotel is not luxury, it is a 3-4 star that has large rooms with a kitchen. There are also amenities like an exercise room and spa."
usa_new york city_affinia_gardens,"The hotel features spacious suites with kitchens, Aveda bath products, and options such as a pillow menu, tea bar, wine and cheese evenings, and tranquility kits. Some penthouse suites include balconies with city views."
usa_new york city_affinia_manhattan,"The Affinia Manhattan offers suites with multiple bathrooms, Aveda toiletries, pillow menus, and luxury bedding. There are upgraded room options available, but standard rooms are known to be old."
usa_new york city_affinia_shelburne,"The Affinia Shelburne offers suites with Empire State Building views, Aveda bath products, and comfortable beds. Some suites have full kitchens, balconies, and multiple bathrooms."
usa_new york city_aka_united_nations,"AKA United Nations offers spacious, modern, semi-furnished apartments with full kitchens, separate lounge areas, and complimentary broadband internet access. The hotel also provides complimentary breakfast on weekdays, access to a 24-hour gym, and fancy chocolates upon arrival."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a historic, charming hotel with a celebrity following, marble accents, fine dining and a cozy atmosphere. Rooms feature bath & bodyworks products, bathrobes, and comfortable beds."
usa_new york city_americana_inn,"The Americana Inn is a budget-friendly hotel with small, basic rooms and shared bathrooms. It is centrally located near Times Square, but many reviewers mention noise and a lack of luxury amenities."
usa_new york city_amsterdam_court_hotel,"The Amsterdam Court Hotel receives mixed reviews, but many mention that the rooms are small, some with no view or natural light, and some have issues with noise and temperature control. The location is central, but several reviews note that the hotel is outdated and not luxurious."
usa_new york city_astor_on_the_park,"This is a budget hotel with small, basic rooms and limited amenities. Some reviewers mention slow elevators, noisy plumbing, and a location far from the main attractions."
usa_new york city_bedford_hotel,"The hotel is older, with some rooms renovated, and offers suites with kitchenettes. The rooms have standard amenities, but furnishings may be worn and not luxurious."
usa_new york city_beekman_tower_hotel,The Beekman Tower Hotel is an Art Deco-style building with a restaurant/bar on the top floor offering city views. Some suites have balconies.
usa_new york city_belleclaire_hotel,"This hotel is not recommended for a luxury experience due to small rooms, thin walls, noise issues, old bathrooms, and lack of amenities; some reviewers experienced cockroaches, broken appliances, and uncourteous staff. Some deluxe rooms were available and looked as pictured on the website with comfortable beds and well-stocked bathrooms."
usa_new york city_bentley_hotel,"The Bentley Hotel features modern decor, some rooms have skyline views, and suites have amenities such as two flat-screen TVs and comfortable seating areas. The rooftop restaurant/bar offers great views."
usa_new york city_best_western_bowery_hanbee_hotel,"This hotel features stylish, modern rooms with amenities such as flat-screen TVs, hardwood floors, and well-appointed bathrooms, and some rooms have heated bathroom floors. The hotel also offers suites with additional space and amenities like a microwave and refrigerator."
usa_new york city_best_western_convention_center_hotel,"There is no information to suggest this hotel offers a luxury experience; reviews highlight small rooms, basic amenities, and an industrial location. Some reviews mention clean rooms and comfortable beds, but these are presented as adequate rather than luxurious."
usa_new york city_best_western_hospitality_house,"The Best Western Hospitality House is an apartment-style hotel with spacious rooms, including full kitchens, located in midtown Manhattan. Reviews note basic furnishings and older bathrooms, with no on-site bar, restaurant, or fancy lobbies."
usa_new york city_best_western_seaport_inn_downtown,"The hotel offers terrace rooms with views of the Brooklyn Bridge, and some rooms have jacuzzi tubs. Rooms have amenities such as flat screen TVs, mini-fridges, and comfortable bedding similar to that found in Marriotts and Sheratons."
usa_new york city_blue_moon_hotel,"The Blue Moon Hotel is a renovated tenement building with meticulously restored woodwork, art, and vintage decor, offering spacious rooms relative to New York City standards. Some rooms feature balconies with city views, flat-screen TVs, and well-appointed bathrooms."
