Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is modern and stylish with clean rooms, tea/coffee facilities, and toiletries. It has a small swimming pool, gym, and communal area with computers and a pool table, but is located outside of central Beijing, requiring taxi rides to reach historic sites."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious apartments with multiple bedrooms and bathrooms, full kitchens, and laundry facilities, suitable for families or groups. It also has amenities like a pool, gym, and on-site restaurants and is conveniently located near a subway line and other shops."
china_beijing_autumn_garden_courtyard_hotel,"Autumn Garden Hotel is a traditional-style hotel located in a hutong (maze of alleyways), a 5-10 minute walk to Tiananmen Square and close to subway stations. The hotel offers a trishaw service to the main road and provides guests with a mobile phone for use during their stay."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a traditional Hutong area, offering a quiet and peaceful environment with beautiful gardens and courtyards. Rooms are decorated in Chinese style and equipped with modern amenities like free internet, with easy access to the subway and local attractions."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style spaces, including 3-bedroom units with full kitchens, dining rooms, and washer/dryers. The rooms are spacious and air-conditioned and the hotel is located across the street from a large supermarket."
china_beijing_beijing_dong_fang_hotel,"The hotel has a karaoke bar and nightclub, which some reviewers have characterized as brothels. One reviewer noted the presence of scantily clad women across the street from the hotel."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel is located in a traditional hutong neighborhood, offering a glimpse into local Beijing life, and has a basement bar where guests can watch movies. It's also within walking distance of the Tiananmen Square and Forbidden City."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings, gardens, and restaurants, including a TGI Friday's, with some rooms recently renovated. It is located away from the city center but near universities, with a shopping center across the street."
china_beijing_beijing_guangming_hotel,"The Guangming hotel offers modern, clean rooms with amenities such as LCD TVs with international channels, and comfortable beds; it is located near a food street and the embassy district. Some reviewers found the rooms comparable to those of more expensive hotels."
china_beijing_beijing_hotel,"The Beijing Hotel is centrally located near Tiananmen Square and the Forbidden City, with some rooms offering views of these landmarks from their balconies. The hotel is connected to the Raffles Hotel and located near the Wangfujing shopping street."
china_beijing_beijing_international_hotel,"The hotel has a revolving restaurant on the 28th floor with city views and a spa. Some rooms feature marble bathrooms, and there's a shopping center across the street."
china_beijing_beijing_jade_international_youth_hostel,"The Jade Youth Hostel offers affordable rooms with options for dorms or private ensuites, and is located within walking distance of the Forbidden City and the night market. The hostel features a common area, bar, and sometimes has noise at night."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a small, quiet courtyard hotel located in a traditional Hutong, with traditionally furnished rooms and a peaceful courtyard. It is located close to the city center and subway, but taxis may have difficulty finding it."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern, luxurious hotel with spacious, well-appointed rooms featuring amenities like soaking tubs with TVs. It also offers an indoor pool and multiple restaurants."
china_beijing_capital_hotel_beijing,"The Capital Hotel offers amenities such as a spa, bowling alley, and multiple bars. Some reviewers mention luxurious rooms, while others describe them as outdated or shabby."
china_beijing_china_world_hotel,"The China World Hotel is known for its luxurious accommodations, grand lobby with live music, and spacious rooms with comfortable beds and high-end amenities; some rooms offer cityscape views. It's connected to a shopping mall and close to the subway, providing convenient access to the city."
china_beijing_city_hotel_beijing,"The City Hotel is centrally located near bars and the subway, but some rooms may be shabby and lack amenities, while others are clean. There have been reports of hard beds, cigarette smoke, construction, and language barrier issues."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers architecturally unique villas with private access to an unrestored section of the Great Wall, providing a tranquil experience away from crowded tourist areas. Some villas have shared living spaces and kitchens, while others offer stunning views and exclusive amenities like private movie theaters."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing, near shops, pubs and the Nanluoguxiang bar and restaurant area. The hotel features courtyards with lanterns and some rooms have private courtyards."
china_beijing_courtyard_by_marriott,"The Courtyard by Marriott Beijing is located near a subway station, a shopping mall, and various restaurants. Some rooms have been recently renovated and may offer city views, while others are older with outdated bathrooms."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel features immaculate, spacious, modern rooms with comfortable beds, walk-in showers, and flat-screen televisions, with options for high floor rooms. It also has a modern gym, lap pool, and hot tub."
china_beijing_crowne_plaza_hotel_beijing,"The hotel features a luxurious ambiance, well-decorated rooms, and nice facilities including massage rooms and a pool. The hotel bar has a classy atmosphere."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel has a spa with steam and sauna, a warm pool, and modern restaurants nearby, including Bellagio and Middle 8. The club lounge is convenient, and some reviewers mentioned the silent rooms and comfortable beds allowed for quality sleep."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The Crowne Plaza Beijing Airport Hotel is located in an industrial area far from the city center, but close to the airport and exhibition center. Some reviewers reported spa services, but one had a very strange and displeasing experience with pushy masseuses."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel has spacious and clean rooms, a gym, and a pool. Some reviewers enjoyed the restaurants and mentioned the hotel is near the Olympic park."
china_beijing_crowne_plaza_sun_palace_beijing,"The Crowne Plaza Sun Palace Hotel offers large, comfortable rooms with luxurious bathrooms and comfortable beds, ensuring a good night's rest. The hotel also features a spa with a swimming pool."
china_beijing_days_inn_forbidden_city_beijing,"Days Inn Forbidden City Beijing is in a great location near Tiananmen Square and Wangfujing Street; some rooms have modern bathrooms, flat-screen TVs, and comfortable beds, although budget rooms can be small and dark. The hotel staff is generally friendly and helpful, and some reviewers had enjoyable experiences at this hotel."
china_beijing_days_inn_joiest_beijing,"Some rooms have glass dividers between the bathroom and the main room, allowing visibility into the shower, and some rooms may experience machine noise or loud guests. The hotel is located in a commercial area not near many attractions, requiring taxi rides, which can be difficult to obtain."
china_beijing_double_happiness_courtyard_hotel,"The Double Happiness Courtyard Hotel is a traditional Chinese courtyard hotel located in a hutong, with uniquely decorated rooms featuring antique Chinese furniture. It has a charming courtyard and a rooftop terrace, offering a peaceful environment away from the city noise."
china_beijing_doubletree_by_hilton_beijing,"The hotel has a ground floor bar with Singapore slings, and is close to the trendy Xi'dan area with shopping malls and bars. The Park Hyatt, with the China Grill restaurant and bar, is nearby and offers city views."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel has large, quiet, well-appointed rooms, and an underground mall with restaurants, boutiques, and a spa. The hotel also has a gym and pool, but the gym is not staffed 24 hours."
china_beijing_fujian_hotel,"The Fujian Hotel in Beijing offers comfortable rooms with amenities, free WIFI, and a mix of Western and Chinese breakfast options. Some rooms may have worn carpets, and English-language TV is limited to CNN and HBO."
china_beijing_gloria_plaza_hotel_beijing,"Gloria Plaza Hotel offers a leisure center and indoor pool, but wearing a swimming cap is compulsory and costs approximately £3 each. Some rooms have bath robes, and rooms may have undergone refurbishment with deep pile carpets and new furniture."
china_beijing_grand_hotel_beijing,"The Grand Hotel is centrally located near the Forbidden City and Tiananmen Square, with some rooms offering views of the Forbidden City. The hotel features a pool, spa, and multiple restaurants, with live music in the atrium during the evening."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing is in a central location with a luxury spa and amazing indoor pool artistically decorated like a rock pool with jacuzzis. The hotel also has access to upscale shopping, a variety of restaurants, and a lively bar with live music."
china_beijing_grand_mercure_hotel_xidan,"The Grand Mercure Hotel Xidan Beijing is centrally located near shopping areas and subway lines, with amenities like a swimming pool, spa, sauna, fitness center, and a lobby bar with live piano music. Some reviewers found the hotel rooms comfortable, well-appointed, and conducive to a pleasant stay."
china_beijing_grand_millennium_beijing,The Grand Millennium Hotel offers spacious and luxurious rooms with huge bathrooms. Some rooms have views of the CCTV building.
china_beijing_grand_view_garden_hotel,"The hotel has a disco in the basement, as well as karaoke rooms; there is a bar and some reviewers mention the hotel has a traditional Chinese style. Some reviews mention the hotel being far from the city center."
china_beijing_guangzhou_hotel,"The hotel is centrally located near Tiananmen Square, the Forbidden City, and shopping areas, with some rooms offering river views. The surrounding area features restaurants, street food, massage/spa options, night markets, bars, and pubs."
china_beijing_harmony_hotel,"The Harmony Hotel is located near the Beijing Railway Station and subway, with some rooms offering a safe, mini-bar, and TV with limited English channels; note that some guests have reported hard beds and occasional disturbances. Some reviewers mentioned encounters with solicitations for ""girl company"" via phone calls to the room."
