Hotel,Summary
china_beijing_aloft_beijing_haidian,There is no information about stargazing. The hotel is located a bit out of the way in the Haidian district and next to a Four Points Hotel.
china_beijing_ascott_beijing,"I am sorry, but based on the reviews, there is no information about stargazing."
china_beijing_autumn_garden_courtyard_hotel,"I am sorry, but none of the reviews mention any features relevant to stargazing. Therefore, I cannot provide a summary based on the query."
china_beijing_bamboo_garden_hotel,"I am sorry, but there is no information about stargazing in the reviews."
china_beijing_beijing_century_towers,"I am sorry, but the provided hotel reviews do not contain information about suitability for stargazing. Therefore, I cannot generate a summary based on the query."
china_beijing_beijing_dong_fang_hotel,"I am sorry, the provided hotel reviews do not contain information about stargazing. Therefore, I cannot provide a summary based on that criteria."
china_beijing_beijing_far_east_international_youth_hostel,"I am sorry, but none of the reviews mention information about stargazing."
china_beijing_beijing_friendship_hotel_grand_building,"There is no information about stargazing. The Friendship Hotel is a large complex with multiple buildings, restaurants, and shops, located a distance from the city center."
china_beijing_beijing_guangming_hotel,"I am sorry, but this hotel summary does not contain any information about stargazing. Therefore, I cannot answer your question."
china_beijing_beijing_hotel,"I am sorry, but none of the reviews mention stargazing or any related information."
china_beijing_beijing_international_hotel,"I am sorry, but none of the reviews mention the suitability of this hotel for stargazing. However, some reviews mention a revolving restaurant on the 28th floor that offers great views of the city. Also, rooms on the upper floors have good views of the city and overlook the train station."
china_beijing_beijing_jade_international_youth_hostel,"I am sorry, but the provided reviews do not contain information about stargazing. Therefore, I cannot generate a summary based on that topic."
china_beijing_beijing_sihe_courtyard_hotel,"I am sorry, but the reviews do not mention any features of the hotel that are relevant to stargazing."
china_beijing_bohao_radegast_hotel_beijing,"I am sorry, but none of the hotel reviews mention anything about stargazing."
china_beijing_capital_hotel_beijing,"I am sorry, but none of the hotel reviews contain information about stargazing."
china_beijing_china_world_hotel,"There is no information about stargazing, so I cannot create a summary based on the query."
china_beijing_city_hotel_beijing,"There is no information about stargazing, but the hotel is located near bars, restaurants, and the subway. The rooms are clean."
china_beijing_commune_by_the_great_wall_kempinski,"I am sorry, but there is no mention of stargazing in these hotel reviews."
china_beijing_courtyard_7,"I am sorry, but there is no information about stargazing in the reviews provided."
