Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian is a modern, clean, and stylish hotel located in the Haidian district, near a large shopping center and several restaurants, including those in the adjacent Four Points Sheraton. The hotel offers amenities such as a gym with TechnoGym cardio machines, free internet, and helpful staff who may assist with tasks like purchasing a local SIM card."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious serviced apartments with full kitchens and laundry facilities, providing a comfortable and self-sufficient experience, and features on-site amenities like restaurants, a mini-market, and a gym. The hotel is located in the CBD, close to a subway station, offering convenient access to the city."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a hutong near Tiananmen Square and offers a free tricycle service to the main road. The hotel provides guests with a map, a mobile phone to use during their stay, and free airport pickup."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a peaceful environment with a garden, with staff that can arrange taxi's and provide directions in Chinese. Rooms include a computer with free internet access."
china_beijing_beijing_century_towers,"The Century Towers Beijing hotel offers apartment-style rooms with full kitchens, dining rooms, and washer/dryers. Some rooms include a flat-screen TV with English-language channels."
china_beijing_beijing_dong_fang_hotel,"The hotel is located about 20 minutes by foot from Tiananmen Square, but some taxi drivers may have difficulty finding it. The restaurant staff were reportedly unwelcoming to solo travelers."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel has a communal courtyard, cafe, and bar, which creates a friendly atmosphere that is conducive to meeting other travelers, and the staff speaks English to assist with travel needs. It is located in a hutong, near shops, restaurants, and tourist sites, with easy access to buses and taxis."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel complex is large with multiple buildings connected by underground walkways and offers amenities such as a supermarket, several restaurants, and a business center. The hotel is located in northwest Beijing, a distance from the city center but close to universities and the Summer Palace, with taxis readily available."
china_beijing_beijing_guangming_hotel,"The Guangming hotel offers modern, clean rooms with amenities such as LCD TVs with international channels and optional in-room internet. It is located near embassies and a food street, with moderate traffic."
china_beijing_beijing_hotel,"The Beijing Hotel is located near the Forbidden City, Tiananmen Square and a subway stop, and taxis are readily available. The hotel concierge can provide cards with destinations written in Mandarin to assist with travel."
china_beijing_beijing_international_hotel,"The hotel is centrally located, within walking distance of shopping areas and historical sites, and close to a subway station. The staff is knowledgeable and speaks English well, offering assistance with directions and translation for taxi drivers."
china_beijing_beijing_jade_international_youth_hostel,"The hostel is located in a safe area within walking distance to major sights and provides services such as booking tours and train tickets, airport transportation, and taxi arrangements. The hostel also offers amenities such as free WiFi in the lobby, a common area, and helpful staff who can provide directions and assistance."
china_beijing_beijing_sihe_courtyard_hotel,"The hotel is located in a quiet hutong, offering a peaceful environment away from city noise, with a helpful staff that can arrange transportation and provide directions. It also has free internet access and is within walking distance to the subway."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Hotel CBD Beijing is a modern, luxurious hotel located in Beijing's Central Business District, close to shopping centers and a subway station. Staff are very attentive, though some speak little English, and services include a spa, pool, and multiple restaurants."
china_beijing_capital_hotel_beijing,"The Capital Hotel is centrally located near Tiananmen Square and the Forbidden City, with a subway station and taxis readily available, making it easy to get around the city. The staff can write destinations in Chinese for taxi drivers, and there's a convenience store across the street for necessities."
china_beijing_china_world_hotel,"The China World Hotel provides services such as airport pickup with assistance through customs and baggage claim, and the concierge and front desk are extremely helpful and knowledgeable. Select rooms include access to the Horizon Club, which provides breakfast, snacks, laundry service, and a lounge for meetings."
china_beijing_city_hotel_beijing,"The City Hotel is centrally located in Beijing, close to bars, restaurants catering to foreigners, and a subway station for easy access to attractions. Some reviewers noted that the staff does not speak English."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers individual rooms within shared villas, with car service to transport guests around the property. Some reviewers noted the peaceful atmosphere and helpful staff, but also mentioned that some staff members have limited English proficiency."
china_beijing_courtyard_7,"Courtyard 7 is located in a hutong area with shops, bars, and restaurants, and the staff are helpful and can assist with arranging tickets and recommendations. The hotel offers free internet, and some rooms have private courtyards."
china_beijing_courtyard_by_marriott,"The Courtyard by Marriott Beijing is centrally located near subway lines and a shopping center, making it easy to get around and find necessities. Concierge staff can write instructions in Chinese for taxi drivers, and the hotel provides maps and information."
