Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian is a modern and stylish hotel with a youthful vibe, featuring clean rooms, a gym, and a pool table. The hotel is located near a large shopping center, but is not centrally located for seeing historical sites."
china_beijing_ascott_beijing,"Ascott Beijing offers spacious apartments with amenities like a pool, gym, and in-room massage services. There are multiple restaurants in the building including Subway and Starbucks, and a 7-Eleven nearby."
china_beijing_autumn_garden_courtyard_hotel,"Autumn Garden Hotel is a traditional-style hotel in a hutong (maze of alleyways) near Tiananmen Square, offering a feel for old China. The hotel provides a free tricycle service to the main road and a mobile phone for use during the stay."
china_beijing_bamboo_garden_hotel,"The hotel is located in the hutongs, close to the Gulou subway station and Houhai Lake area, where trendy restaurants and bars are located. It is a small, quiet, friendly hotel with a restaurant, gardens, and a tea room."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with multiple bedrooms, full kitchens, and a washer/dryer. The hotel also has a workout room in the basement with treadmills, stationary bikes, and free weights."
china_beijing_beijing_dong_fang_hotel,"The hotel caters to large groups, and some reviewers mentioned noise issues due to schoolgirls running in the corridors. A reviewer mentioned a ""handsome and charming Jet Li look-alike"" daytime assistant manager."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East International Youth Hostel has both hotel and hostel accommodations and a communal courtyard that is a social hub for travelers. It's located in a hutong, near local shops and restaurants and within walking distance of Tiananmen Square."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel has a TGI Friday's on site, a mini-supermarket with European chocolates, and is located across the street from a major department store with a Starbucks, Baskin Robbins, and Papa John's Pizza. The hotel is near Peking University, Tsinghua University, and Zhongguancun High Tech district."
china_beijing_beijing_guangming_hotel,"The hotel was recently remodeled, has a modern and hi-tech design, and features an LCD TV with many international channels. The lobby is clean and 5-star-ish."
china_beijing_beijing_hotel,"I am sorry, but none of the reviews mention this hotel having a youthful or energetic atmosphere. The reviews mention that the hotel is old, has outdated decor, and is worn down."
china_beijing_beijing_international_hotel,"I am sorry, but this hotel is unlikely to feel youthful or energetic, as reviews mention it is old, due for renovations, and somewhat worn. However, there are comments that the hotel may be undergoing upgrades to its fitness facilities and lobby."
china_beijing_beijing_jade_international_youth_hostel,"Jade Youth Hostel offers affordable rooms, including dorms and private ensuites, and is known for its social atmosphere with a bar/lounge and common area. It provides amenities like Wi-Fi, bike rentals, and tour booking services, catering to budget travelers and those seeking a youthful hostel experience."
china_beijing_beijing_sihe_courtyard_hotel,"I am sorry, but the reviews do not contain information about the hotel's youthfulness or energy."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast is a modern hotel with a youthful, classy neighborhood and is located near high-end shopping malls. The hotel features a modern color scheme, a sunshine swimming pool, and modernized lighting systems."
china_beijing_capital_hotel_beijing,"The Capital Hotel has a bowling alley, pool, and fitness club, and is located within walking distance of the subway. Some reviewers mention the lobby feels grand, but there are rarely other people around."
china_beijing_china_world_hotel,The China World Hotel has live music in the lobby and is connected to a high-end shopping mall. Reviews mention a lively lounge and proximity to the Silk Market for shopping.
china_beijing_city_hotel_beijing,"The City Hotel is located next to pubs and local restaurants that cater to foreigners, and is close to the subway, providing easy access to Tiananmen Square and other attractions. Some reviewers mentioned cigarette smoke and staff encouraging strangers to sit together."
china_beijing_commune_by_the_great_wall_kempinski,"The hotel consists of architecturally interesting, self-contained accommodation units spread across a valley, offering a modern and unique experience. The Kids Club is well-designed with designer furniture, and a cute pool with waterslides."
china_beijing_courtyard_7,"Courtyard 7 is located off Nanluoguxiang, a tree-lined street with designer shops, bars, and restaurants, near clubs like Mao Live House and Yu Gong Yi Shan. The hotel is in a hutong area within walking distance of the Drum and Bell Towers and a short taxi ride to the Forbidden City."
china_beijing_courtyard_by_marriott,"This hotel is connected to the New World Shopping Center which includes US fast food chains, an inexpensive noodle shop, and a grocery store. The subway station for lines #2 & #5 is directly on the corner by the hotel making travel around Beijing easy."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is modern, sleek, and new with contemporary room decor, flat-screen TVs, and up-to-date bathrooms. It also features a modern gym, lap pool and hot tub."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is a modern, recently renovated hotel with flat-screen TVs and contemporary decor, located on Wangfujing Street near shopping and restaurants. Some reviewers mention a lively bar scene, while others note it can be quiet."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel is near Peking and Tsinghua Universities, and the Olympic ""Bird Nest"" which are accessible via subway. There are modern restaurants and a shopping mall nearby."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel is modern, new as of 2008, and has a fitness center. The hotel is primarily a business hotel."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel is described as modern, clean, and spacious, with a gym and pool area. It is located near the Olympic stadium and a small shopping area with restaurants."
china_beijing_crowne_plaza_sun_palace_beijing,The hotel is new and has a trendy design with large rooms and bathrooms featuring natural stone and glass. It has a spa with a swimming pool and saunas.
china_beijing_days_inn_forbidden_city_beijing,"The Days Inn Forbidden City is a modern, recently-opened hotel with clean rooms and flat-screen TVs. It's located near shopping areas and tourist attractions."
china_beijing_days_inn_joiest_beijing,"The hotel is relatively new with modern, clean rooms that include flat screen TVs. There is a mini-golf course and a buffet breakfast."
china_beijing_double_happiness_courtyard_hotel,This hotel is located in a traditional Hutong neighborhood with small shops and restaurants. It is close to the subway and within walking distance to the Forbidden City.
china_beijing_doubletree_by_hilton_beijing,"The hotel is located in Xi'dan, a trendy area with shopping malls and bars popular among Chinese youngsters. It is a new, modern hotel with a rooftop garden, pool, and health spa."
china_beijing_empark_grand_hotel,"The hotel has a vegas-like mall in the basement with restaurants, boutiques, and a gym/pool. The Golden Resources Cafeteria offers a buffet for breakfast and dinner."
china_beijing_fujian_hotel,The Fujian Hotel has been described as a new hotel with a mix of Chinese and Western guests. It is undergoing sprucing up and possible renovations.
china_beijing_gloria_plaza_hotel_beijing,"The hotel is a typical city business hotel that caters mainly to large groups, with a location across the corner from main shopping and walking streets. It has a leisure center and indoor pool that requires the use of a swimming cap."
china_beijing_grand_hotel_beijing,"I am sorry, the reviews indicate that the hotel is traditional, old, and in need of some upkeep. There is also mention of classical music and cultural significance imbedded within each aspect of the hotel's design."
china_beijing_grand_hyatt_beijing,The hotel is modern and has a lively lobby with a Red Moon bar that has live music. The hotel also has an incredible pool and gym.
china_beijing_grand_mercure_hotel_xidan,"The hotel is located near the Xidan shopping area, which contains malls and a 5-story underground mall connected to the metro. Some reviewers mention shopping areas with no Westerners and modern malls aimed at young professionals."
china_beijing_grand_millennium_beijing,"The Grand Millennium is a modern hotel with spacious rooms, free internet, and a large gym and pool. It is located in the Central Business District, next to a subway station."
china_beijing_grand_view_garden_hotel,"The hotel has a disco in the basement, though the night club is described as more like private rooms for karaoke. There is also a bowling alley, though it was reported to be dismantled as of 2008."
china_beijing_guangzhou_hotel,"The hotel is located near the Beijing Pedestrian Road with convenience stores, restaurants, street food, massage/spa, night markets, bars and pubs nearby, and is connected to a shopping complex. Rooms have been renovated with a simple, modern look."
china_beijing_harmony_hotel,"I am sorry, but none of the reviews mention features that would be related to being youthful and energetic."
china_beijing_hebei_hotel_beijing,"The Hebei Guest House is a basic courtyard hotel located in a traditional hutong neighborhood, within walking distance of attractions like the Forbidden City and Houhai bar area. Some rooms are small and older, while suites are larger and more recently renovated."
china_beijing_hilton_beijing,"Hilton Beijing has modern, recently renovated rooms, and a gym with squash courts and an indoor pool. It is located near a subway station for easy access to attractions, though it's not in the city center."
china_beijing_hilton_beijing_wangfujing,"The Hilton Wangfujing is a modern and new hotel with high-tech rooms that include features like electronic curtains, LCD TVs, and walk-in closets. The hotel is located near the Wangfujing shopping area known for its youthful night market."
china_beijing_holiday_inn_beijing_lido,"The hotel has a bowling alley, shops, and several restaurants including a pub, and is connected to the Lido Place shopping mall. Some reviewers noted that the Pig & Whistle pub has a lively atmosphere."
china_beijing_holiday_inn_central_plaza,"The Holiday Inn Central Plaza has a bright and modern lobby, pool, and gym. Nan Luogu Xiang, Beijing (close to the hotel) is full of shops and restaurants in the heart of hutongs, with plenty of bars and places to chill out."
china_beijing_holiday_inn_chang_an_west,"The Holiday Inn Chang An West is located on the west side of Beijing, a bit far from the city center but near a subway station, making it convenient to get around. It offers amenities such as a pool, and the staff are helpful."
china_beijing_holiday_inn_downtown_beijing,"The hotel is undergoing renovations and has modern rooms with flat screen TVs; it is close to the subway and a local supermarket as well as restaurants including Pizza Hut. The hotel also has a gym, pool, spa, and beauty salon."
china_beijing_holiday_inn_express_beijing_minzuyuan,"The hotel is modern, new, and clean, attracting domestic tour groups and business travelers. It is located near the Olympic venues and a subway station, with a Chinatown shopping center nearby."
china_beijing_holiday_inn_express_beijing_temple_of_heaven,"The hotel staff are young, and the rooms are clean and modern following recent renovations. There are free computers for guests to use, and free WiFi is available."
china_beijing_holiday_inn_express_beijing_wangjing,"The Holiday Inn Express Wangjing is a new hotel with modern furniture, flat-screen TVs, and free internet. It is located next to a shopping center with restaurants and is close to the airport."
china_beijing_holiday_inn_temple_of_heaven,"The Holiday Inn Temple of Heaven is a modern hotel with a silver-service dining area and KTV karaoke lounge. It is located in a residential area, not particularly touristy, and about a 10-minute walk to the nearest subway station."
china_beijing_hollyear_hotel_beijing,"This hotel is located at the end of a street with major building construction occurring, even into the night and early morning hours. It has a small gym on the 3rd floor, but the lights are turned off when the gym is closed."
china_beijing_hotel_cote_cour_beijing,"Hotel Cote Cour SL is a small, stylishly designed hotel with modern art and decor, located in a traditional hutong in the center of Beijing. The hotel is known for its helpful staff, convenient location near shopping and attractions, and comfortable rooms with modern amenities."
china_beijing_hotel_g,"Hotel G has a modern, trendy design with psychedelic neon lights, with spacious rooms and comfortable beds. The bar has a clubby atmosphere that attracts younger crowds, and is located near nightlife such as clubs and bars."
china_beijing_hotel_ibis_beijing_sanyuan,"Ibis Sanyuan Hotel is a new, clean, no-frills hotel located next to the Sanyuanqiao subway station on the new line 10, the first stop on the Airport Express train. The hotel is located in Phoenix City, which appears to be an up and coming area of the city."
china_beijing_hotel_kunlun,The hotel has multiple restaurants and bars. A revolving restaurant on the 29th floor offers a unique experience.
china_beijing_hotel_new_otani_chang_fu_gong,"I am sorry, but none of the reviews mention if the hotel feels youthful and energetic. Therefore, I cannot fulfill that request."
china_beijing_howard_johnson_paragon,The hotel is connected to a shopping mall and a subway exit. There is also a karaoke club in the hotel.
china_beijing_huadu_hotel,"I am sorry, but the reviews for this hotel do not contain information about youthful or energetic environments."
china_beijing_hwa_apartment_hotel,The hotel is located in the middle of a busy shopping district with large department stores all around and is popular with teenagers. The surrounding area is typical modern Chinese and on Saturdays you can walk over the heads of Chinese buying people.
china_beijing_intercontinental_beijing_beichen,"The Intercontinental Beijing Beichen is a modern hotel located near the Olympic Green, with views of the Bird's Nest and Water Cube. It features modern amenities like flatscreen TVs and well-equipped workspaces."
china_beijing_intercontinental_financial_street_beijing,"The hotel has a modern feel and contemporary style after undergoing refurbishment, with a lobby that feels intimate and relaxed. Rooms include LCD TVs and compelling bathroom designs with glass windows separating the bath tub from the rest of the room."
china_beijing_jade_garden_hotel,"The Jade Garden Hotel is in a great location - Beijing and is within walking distance of the Forbidden City, Tian anmen Square, Wangfui Night Market, Bei Hai park etc. The rooms were clean and in very good condition."
china_beijing_jian_guo_hotel,"The hotel is located next to a Starbucks and an underground Metro station, one block from the Silk Market. It has an indoor swimming pool, sauna, and gym."
china_beijing_jianguo_hotel_qianmen_beijing,The hotel has a theatre with Beijing Opera performances and several restaurants. The hotel caters to tour groups and is located near a supermarket with convenient access to taxis.
china_beijing_jinqiao_international_apartment_hotel,"The Jinqiao Hotel Apartments is located in a high-rise apartment complex with a bar, pool table, and ""Western"" themed restaurant. The hotel also has a hair salon and travel agency on the premises."
