Hotel,Summary
china_beijing_aloft_beijing_haidian,"The Aloft Beijing Haidian is a modern and stylish hotel with clean rooms, located in the Haidian district, a bit removed from central Beijing. It offers amenities like a small gym, a pool table, and internet access."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious apartments with fully equipped kitchens and laundry facilities, providing a home-away-from-home experience. It includes amenities like a pool, gym, and in-room massage services."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a traditional hutong (maze of alleyways), offering a quiet escape from the busy city with a courtyard and a feel for old China. It is a short walk to Tiananmen Square and provides a tricycle service to the main road."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a quiet and peaceful environment with gardens and courtyards. Rooms feature Chinese-style decor, and some have views of the gardens."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with full kitchens, dining rooms, and washer/dryers. The rooms are spacious and air-conditioned and have flat-screen TVs with cable."
china_beijing_beijing_dong_fang_hotel,The hotel has a coffee shop in an older part of the building with lots of character and a lobby bar. Rooms on the higher floors offer distant views of Beijing through the smog.
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel is located in a traditional hutong neighborhood, offering a glimpse into everyday Chinese life away from commercial areas. The hotel is situated in a busy Hutong full of things to eat and buy and close to the main Beijing sights."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings set in a garden-like area, offering a peaceful environment away from the chaotic city. It features traditional Beijing-style buildings and well-maintained gardens, creating an ""island of tranquility."""
china_beijing_beijing_guangming_hotel,"The Guangming hotel is a recently remodeled, modern hotel with hi-tech decor and LCD TVs with international channels. The lobby is clean and 5-star-ish."
china_beijing_beijing_hotel,"The Beijing Hotel has a history dating back over 100 years, with older sections of the hotel offering a glimpse into 1950s/60s communist-era China with decor from that period. The hotel consists of multiple buildings with different styles, with some reviewers describing a feeling of stepping back in time when exploring the older sections."
china_beijing_beijing_international_hotel,The Beijing International Hotel has a revolving restaurant on the 28th floor with city views. The spacious foyer is glorious and the hotel is centrally located.
china_beijing_beijing_jade_international_youth_hostel,"The Jade Youth Hostel is located in a quiet alley near the Forbidden City and WanfangJie shopping street, offering affordable rooms with amenities like cozy duvets, cable TV, and free Wi-Fi in the lobby. The hostel provides a traditional-style breakfast area and reading room, and offers the chance to try on Emperor/Empress suits for photos."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is located in a traditional hutong neighborhood, offering a quiet courtyard setting with traditionally furnished rooms. The hotel is noted for its peaceful atmosphere and unique cultural experience, contrasting with larger, more modern hotels."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast is described as a modern and luxurious hotel with spacious, well-appointed rooms, modernized lighting systems, electric curtains, and impressive bathrooms (some with TVs). The hotel has an awesome pool, a spa, and multiple restaurants offering various cuisines."
china_beijing_capital_hotel_beijing,"The Capital Hotel has a large lobby with statuettes, a live fish tank, a bowling alley, pool, spa, and multiple restaurants, but is often described as empty and depressing with few people around. Some reviewers also noted the hotel's grand, Soviet-style architecture."
china_beijing_china_world_hotel,"The China World Hotel has a grand and opulent lobby with live music, and luxurious rooms with comfortable beds and marble bathrooms, providing a comfortable experience. The hotel also has a health club with a pool, sauna, and oxygen room."
china_beijing_city_hotel_beijing,"The City Hotel is centrally located in Beijing, close to bars and the subway. Some rooms are apartment-style with multiple beds, but may be in shabby condition and lack cooking utensils."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is a collection of architect-designed villas spread along a valley next to the Great Wall, offering a private section of the Wall for guests and a peaceful atmosphere away from Beijing. The hotel provides car service between the villas and main facilities due to the scattered layout."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in Beijing's old hutong area, offering a peaceful escape with traditional furnishings and courtyards, located off Nanluoguxiang street with its shops and restaurants. Some rooms feature private courtyards, and the hotel's courtyards have trees and lanterns, creating a calming and romantic atmosphere."
china_beijing_courtyard_by_marriott,"The Courtyard Beijing is connected to the New World Shopping Center with a grocery store, food court, and other shops, and is near subway and train stations, offering convenient access to tourist sites. Some found it to be a safe haven and quiet refuge from the busy metropolis of Beijing."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is modern, sleek, and eloquently designed with comfortable, immaculate, and spacious rooms, flat-screen TVs with English channels, and ultramodern bathrooms; the hotel also has a modern gym, lap pool and hot tub. The hotel is conveniently located about 20 minutes from the airport by cab."
china_beijing_crowne_plaza_hotel_beijing,"The Crowne Plaza Beijing is described as a quiet refuge from the bustle of the huge city, with large and well-decorated rooms. The hotel has a stunning atrium and is located on Wangfujing Street, close to major tourist sites."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel lobby has a fresh, softly scented air and the rooms are silent. The hotel has a spa, a warm pool, and a club lounge."
