Hotel,Summary
china_beijing_aloft_beijing_haidian,There is no information about the hotel being pet-friendly in the reviews.
china_beijing_ascott_beijing,There is no mention of the hotel being pet-friendly in the reviews.
china_beijing_autumn_garden_courtyard_hotel,"I am sorry, but none of the reviews mention if the hotel is pet-friendly."
china_beijing_bamboo_garden_hotel,"There is no information about pets being allowed at this hotel in the reviews. The hotel is located in the hutongs, offering a unique cultural experience with traditional Chinese decor, gardens, and a tranquil atmosphere."
china_beijing_beijing_century_towers,"I'm sorry, but none of the provided hotel reviews mention whether the hotel is pet-friendly. Therefore, I cannot provide a summary that includes this information."
china_beijing_beijing_dong_fang_hotel,There is no mention of pets being allowed at this hotel.
china_beijing_beijing_far_east_international_youth_hostel,"There is no information about the hotel being pet-friendly in the reviews. The hotel is located in a hutong, near Tiananmen Square, and offers both hotel rooms and hostel dorms."
china_beijing_beijing_friendship_hotel_grand_building,There is no information about the pet-friendliness of this hotel in the reviews.
china_beijing_beijing_guangming_hotel,"I am sorry, but the provided reviews do not mention whether the hotel is pet-friendly. Therefore, I cannot provide a summary with that information."
china_beijing_beijing_hotel,There is no mention of hotels being pet-friendly in the reviews.
china_beijing_beijing_international_hotel,"There is no mention of the hotel being pet-friendly in the reviews. The hotel is centrally located near the train station and shopping areas, with amenities such as a breakfast buffet, restaurants, and a money exchange."
china_beijing_beijing_jade_international_youth_hostel,"There is no mention of pets being allowed at this hotel. The hotel offers budget-friendly accommodations with clean rooms, a central location near the Forbidden City, and amenities such as free Wi-Fi in the lobby."
china_beijing_beijing_sihe_courtyard_hotel,There is no mention of the hotel being pet-friendly in the reviews.
china_beijing_bohao_radegast_hotel_beijing,"There is no mention of the hotel being pet-friendly in the reviews. The hotel is described as a modern, luxurious hotel with spacious rooms, multiple restaurants, a spa, and a pool, located in Beijing's Central Business District."
china_beijing_capital_hotel_beijing,"I am sorry, but none of the hotel reviews mention whether the hotel is pet-friendly."
china_beijing_china_world_hotel,"I am sorry, but none of the hotel reviews mention if the hotel is pet-friendly."
china_beijing_city_hotel_beijing,"There is no mention of the hotel being pet-friendly in the reviews. The hotel has apartments with multiple single beds, a stove and fridge but no utensils."
china_beijing_commune_by_the_great_wall_kempinski,"I am sorry, but none of the reviews mention whether this hotel is pet-friendly."
china_beijing_courtyard_7,"I am sorry, but none of the reviews mention whether pets are allowed at this hotel."
china_beijing_courtyard_by_marriott,"There is no mention of the hotel being pet-friendly. The hotel is in a convenient location, has clean rooms, and is connected to a shopping center."
china_beijing_courtyard_by_marriott_beijing_northeast,"There is no mention of the hotel being pet-friendly in the reviews. The hotel is modern, located about 20 minutes from the airport, and close to some attractions."
china_beijing_crowne_plaza_hotel_beijing,"There is no information about the hotel being pet-friendly in the reviews. The reviews focus on location, cleanliness, service, and amenities like breakfast and internet access."
china_beijing_crowne_plaza_hotel_zhongguancun,"I am sorry, but none of the hotel reviews mention whether the hotel is pet-friendly."
china_beijing_crowne_plaza_international_airport_hotel_beijing,There is no mention of the hotel being pet-friendly in the reviews. The hotel is located near the airport and exhibition center.
china_beijing_crowne_plaza_park_view_wuzhou,There is no mention of pets in any of the hotel reviews.
china_beijing_crowne_plaza_sun_palace_beijing,"There is no information about the hotel being pet-friendly. The hotel has spacious rooms, a buffet breakfast with western and Chinese cuisines, and a pool."
china_beijing_days_inn_forbidden_city_beijing,"I am sorry, but none of the hotel reviews mention whether the hotel is pet-friendly."
china_beijing_days_inn_joiest_beijing,There is no mention of the hotel being pet-friendly in the reviews.
china_beijing_double_happiness_courtyard_hotel,There is no information about the hotel being pet-friendly in the reviews.
china_beijing_doubletree_by_hilton_beijing,There is no information about the hotel being pet-friendly in the reviews.
china_beijing_empark_grand_hotel,"I am sorry, but none of the reviews mention whether this hotel is pet-friendly. Therefore, I cannot provide a summary that includes this information."
china_beijing_fujian_hotel,"There is no information about the hotel being pet-friendly in the reviews. The reviews mention amenities such as free WiFi, a breakfast buffet with Chinese and Western options, and TV with HBO and CNN."
china_beijing_gloria_plaza_hotel_beijing,"There is no mention of the hotel being pet-friendly in the reviews. The hotel offers amenities such as a leisure center, indoor pool (with mandatory swimming cap), fitness room, and spa services."
