Hotel,Summary
china_beijing_aloft_beijing_haidian,The hotel can accommodate 2 adults and 2 children in a room and has a small swimming pool. There is a massive mall about a block away that has dining options.
china_beijing_ascott_beijing,"Ascott Beijing offers spacious apartments with fully equipped kitchens and laundry facilities, making it suitable for families. It also features a pool, kids' playroom, and is located near a 7-Eleven and Walmart for added convenience."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel offers a unique experience in a traditional hutong setting, with options for both English and Chinese breakfasts. It provides amenities such as free internet, trishaw service to the main road, and a mobile phone for use during the stay."
china_beijing_bamboo_garden_hotel,"The hotel offers suites and standard rooms with a computer and internet access; cribs are available, though one reviewer noted the crib was too small for their baby. The hotel has gardens and grounds to explore."
china_beijing_beijing_century_towers,"The Century Towers Beijing hotel offers apartment-style rooms, including a large 3-bedroom option with a full kitchen, dining room, washer/dryer, and multiple bathrooms; a supermarket is located across the street. The hotel also features a work-out room with treadmills, stationary bikes, a rowing machine, ballet bar, free weights, and weight machines."
china_beijing_beijing_dong_fang_hotel,"I am sorry, but there is not enough information in the reviews to address your query."
china_beijing_beijing_far_east_international_youth_hostel,"The Far East Hotel/Hostel offers family-friendly amenities such as laundry facilities, a restaurant, and tour booking services for attractions like the Great Wall. Some rooms include a fridge and there is also a cafe/bar area with a big screen TV."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings connected by underground passageways, offering amenities such as a mini-supermarket, a pool, and a TGI Friday's. It also features park-like grounds and is located across the street from a shopping complex."
china_beijing_beijing_guangming_hotel,"I am sorry, the provided reviews do not include details about family-friendly amenities. The hotel is described as modern, clean, and well-located near embassies and a food street, with comfortable rooms and international TV channels."
china_beijing_beijing_hotel,"The Beijing Hotel offers spacious rooms with multiple double beds, though adjoining rooms may not always be available. There is access to facilities like a bowling alley and billiard room (for a fee), and a supermarket across the road for supplies."
china_beijing_beijing_international_hotel,"I am sorry, but the reviews do not mention amenities that would be particularly relevant to families. The reviews mention a breakfast buffet, a gym, and a spa."
