Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is modern and stylishly designed with a trendy lobby/ground floor area, plus a 42” LCD screen in each room with movies on demand. There is also a pool table in the communal area."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious, well-furnished apartments with amenities like fully equipped kitchens, laundry facilities, and large LCD TVs, providing a comfortable and luxurious stay. Some reviewers mention the availability of in-room massages and the convenience of having restaurants and shops, such as Starbucks and a mini-mart, within the building."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style hotel located in a hutong (maze of alleyways) near Tiananmen Square, offering a glimpse into old Beijing. Guests can experience the local way of life with options for Chinese or Western-style breakfasts."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is located in a hutong, offering a traditional Chinese experience with classical decor, tranquil courtyards, and red lanterned walkways. Some rooms feature Chinese-style furniture, garden views, and a computer with internet access."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with amenities like a full kitchen, dining room, washer/dryer, and a large flat-screen TV with cable including English-language channels such as the BBC and The Simpsons. The hotel also has a workout room in the basement."
china_beijing_beijing_dong_fang_hotel,"The hotel has an older part with a coffee shop that has character, and a lobby bar. Some reviewers mention the hotel having undergone refurbishment."
china_beijing_beijing_far_east_international_youth_hostel,"The hotel is located in a traditional Hutong neighborhood with narrow streets and local shops, offering a glimpse into older Beijing. It is situated a short walk from Tiananmen Square and the Forbidden City."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is a large complex with multiple buildings connected by underground passageways, featuring gardens and a mix of Chinese and Western elements, built in the 1950s with traditional Beijing-style architecture. Some rooms have been recently remodeled, while others retain older communist-era fixtures."
china_beijing_beijing_guangming_hotel,The hotel is modern and hi-tech with an LCD TV that has many international channels. The lobby has a 5-star-ish feel.
china_beijing_beijing_hotel,"The Beijing Hotel is a historic hotel consisting of three distinct buildings, with Building B being the oldest, dating back over 100 years, and Building C from pre-Mao times, with decor of old communist China. It has hosted dignitaries for close to a century and some rooms have balconies overlooking Chang An Avenue."
china_beijing_beijing_international_hotel,"The hotel has a spacious foyer, a revolving restaurant on the 28th floor with city views, and offers buffet lunches also with a view. Some rooms overlook Beijing Railway Station which is lit up, and the lobby is large and nicely decorated."
china_beijing_beijing_jade_international_youth_hostel,The hotel has Emperor/Empress suits in the Information room for guests to try on and take photos. The bar area has a big widescreen TV with DVDs available and a communal area with couches and books.
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a traditional Chinese courtyard hotel located in a historic hutong, featuring antique furnishings, peaceful courtyards, and a unique atmosphere that sets it apart from modern chain hotels. The hotel's architecture and design evoke a sense of old-world charm, providing an immersive cultural experience."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast has a luxurious lobby with marble columns and glass adornments, and rooms are spacious and well-appointed with modernized lighting systems and electric curtains; bathrooms include a TV. The hotel has multiple restaurants with diverse cuisines and an indoor swimming pool."
china_beijing_capital_hotel_beijing,"The Capital Hotel boasts a grand lobby adorned with statuettes and a live fish tank, with a design described as Soviet-style. It offers amenities like a bowling alley and multiple restaurants, with views of Tiananmen Square from the top-floor restaurant."
china_beijing_china_world_hotel,"The China World Hotel has a grand and opulent lobby with live music, and rooms are decorated with wood trim and artwork. Some reviewers describe the hotel as luxurious, with a doorman and VIP limousine service."
china_beijing_city_hotel_beijing,"This hotel is located next to several pubs and local restaurants that cater to foreigners, and is a short walk to the subway for access to city attractions. Some rooms are apartment-style with a stove and fridge."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall features villas designed by different Asian architects, offering unique architectural styles and locations spread throughout a valley. The hotel provides access to a private, unrestored section of the Great Wall, accessible via a steep 20-minute climb."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing with traditionally-designed furnishings, red lanterns, and a series of courtyards that create a romantic atmosphere. Some rooms have private courtyards and saunas."
china_beijing_courtyard_by_marriott,"This hotel is connected to a shopping center, so it may have visually interesting shops. Some reviewers mention the hotel feeling dated, but others note it has been recently renovated."
