Hotel,Summary
china_beijing_aloft_beijing_haidian,"The hotel is located a bit out of the way to the central areas of Beijing, at the last metro stop, and requires a taxi ride to reach it. There is a big shopping center a few minutes away with plenty of eating options."
china_beijing_ascott_beijing,"Located in the CBD, the Ascott Beijing is within walking distance of the train station and food places. There is a Starbucks on the ground floor."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is located in a traditional hutong, a 5-10 minute walk from the Qianmen subway station and Tiananmen Square. The hotel offers a trishaw service to the main road."
china_beijing_bamboo_garden_hotel,The hotel is within walking distance of the Houhai Lake area which has restaurants and bars. The hotel is also a 10-minute walk to a hip part of town with trendy restaurants.
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms with multiple bedrooms, kitchens, and living areas, suitable for large groups. The hotel is located across the street from a large supermarket."
china_beijing_beijing_dong_fang_hotel,"The hotel has a coffee shop that doubles as a bar, but it closes at midnight. There is a karaoke bar and nightclub in the hotel that some reviewers have described as brothels."
china_beijing_beijing_far_east_international_youth_hostel,"The hotel is located in a hutong, with restaurants nearby serving food at reasonable prices. It is within walking distance of Tiananmen Square and close to a subway station."
china_beijing_beijing_friendship_hotel_grand_building,"The hotel is located outside the city core, a 40-minute bus ride from Tiananmen Square when traffic is good. There are multiple restaurants including a TGI Friday's, a bar, and a supermarket on-site."
china_beijing_beijing_guangming_hotel,"The hotel is located off the 3rd Ring road (San Huan), adjacent to a food street and within walking distance of the US and Japanese embassies."
china_beijing_beijing_hotel,"The Beijing Hotel is located on the corner of Wangfujing Mall, a main shopping strip, and near a shopping plaza with a food court. It is also close to the Wangfujing night market, a short walk to Tiananmen Square and the Forbidden City, and next to a subway stop."
china_beijing_beijing_international_hotel,"The hotel is centrally located, within walking distance of Wangfujing Street, and across the street from a shopping mall and an internet cafe. There is a revolving restaurant on the 28th floor, and Western eating places are within a 5 minute walk."
china_beijing_beijing_jade_international_youth_hostel,"The hostel is near a night market with exotic treats and has a bar/lounge area. The location is central, within walking distance to the Forbidden City and a main shopping street."
china_beijing_beijing_sihe_courtyard_hotel,"The Sihe Hotel is located in a hutong, offering a traditional Chinese experience, and is within walking distance of Wangfujing street. It is also conveniently located near the metro and within walking distance of the Forbidden City."
china_beijing_bohao_radegast_hotel_beijing,"The hotel is located in Beijing's Central Business District, within walking distance of upscale shopping malls, and a short taxi ride to the city center. The hotel has multiple restaurants, though they close early at 10pm, and is near local restaurants."
china_beijing_capital_hotel_beijing,"The hotel has three bars and a bowling alley. Some reviewers noted that the karaoke bar in the basement seemed to have ""VIP"" rooms."
china_beijing_china_world_hotel,"This hotel is located in a business-oriented area, close to a subway stop for access to Tiananmen Square, Forbidden City and other tourist sites. The hotel is connected to a shopping mall and is a 10-15 minute walk to the Silk Market shopping center."
china_beijing_city_hotel_beijing,The City Hotel is located next door to several pubs and close to the subway. It is also next to several local restaurants that cater to foreigners.
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is located 1-1.5 hours outside of Beijing, in a secluded, peaceful valley next to the Great Wall, with no nightlife. The hotel consists of individual houses spread out over a large area, requiring car transport between different parts of the hotel."
china_beijing_courtyard_7,"Courtyard 7 is located near Nanluoguxiang, a street with many bars and restaurants, and is within walking distance of nightlife venues such as Mao Live House and Yu Gong Yi Shan. The hotel is situated in the hutong area, close to local places to eat."
china_beijing_courtyard_by_marriott,"The hotel is near local Chinese restaurants, bars, and coffee shops and connected to a mall, and is within walking distance of Wangfujing and Sanlitun. There are restaurants open 24 hours around the hotel, as well as fast food chains, a food court, and a supermarket in the adjacent mall."
china_beijing_courtyard_by_marriott_beijing_northeast,The hotel is located between the city center and the airport and a short taxi ride away from nicer restaurants. A shopping center is a 5-minute walk away.
china_beijing_crowne_plaza_hotel_beijing,"The hotel is centrally located on Wangfujing Street, near shopping, dining, and night food markets, with a bar and lobby atrium. It is within walking distance or a short taxi ride to Tiananmen Square and the Forbidden City."
china_beijing_crowne_plaza_hotel_zhongguancun,"This hotel is located 45 minutes from the city center by subway, but is near a subway stop. The subway ride to Tiananmen and the Forbidden City takes 40 minutes."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"This hotel is located close to the airport and exhibition center, but is far from the city center, requiring a taxi ride of 40 minutes to over an hour. There are not many amenities in the area around the hotel."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel is a bit far from the main city center (30 minutes without traffic) and major tourist sites, and most places around close after 10pm. However, there are some restaurants in the lobby, and a small mall with a food court next door."
china_beijing_crowne_plaza_sun_palace_beijing,"The hotel's location is described as being ""out of the way,"" ""isolated,"" and surrounded by construction, with little to see or do within walking distance. Subway access is a 10-15 minute walk, and taxi drivers often have difficulty finding the hotel."
china_beijing_days_inn_forbidden_city_beijing,"The hotel is a 10-minute walk from the night market and Wangfujing Street, which features a food market and a shopping mall, respectively. There's also a bar located in the hotel."
china_beijing_days_inn_joiest_beijing,"The hotel is located on a busy business street that is pretty desolate at night and not conducive to walking anywhere, requiring taxis to go places. There are not many restaurants nearby and it is a 15-20 minute walk to main sites."
china_beijing_double_happiness_courtyard_hotel,"The hotel is located in a hutong (alleyway), close to a metro station and within walking distance of the Forbidden City and Wangfujing Dajie (a shopping street and night market). It is also near local restaurants and the Hou Hai Bar Street."
china_beijing_doubletree_by_hilton_beijing,"The hotel is located a 5-minute taxi ride from the Xi'dan area, a trendy area with shopping malls, bars, and restaurants that is a popular hangout for Chinese youngsters at night. The hotel also has a bar on the ground floor with nice drinks."
china_beijing_empark_grand_hotel,"The hotel is located in the northwest part of the city, and a taxi ride to the city center takes 20-30 minutes. In the basement of the hotel (floor B2) is a vegas-like mall with restaurants, small boutiques, spas."
china_beijing_fujian_hotel,"The Fujian Hotel in Beijing is located on the 3rd ring road, near a mall with a supermarket and food court. It is a 20-30 minute cab ride from the Beijing international fair."
china_beijing_gloria_plaza_hotel_beijing,"The hotel is centrally located and within walking distance to shopping and walking streets. A metro station is nearby, and taxis are readily available."
china_beijing_grand_hotel_beijing,"The hotel is located near the Forbidden City, Tiananmen Square, and Wangfujing shopping street, but some reviews mention limited nightlife in the immediate area and early closing times for hotel facilities. Taxis are readily available to access other bar/restaurant districts."
china_beijing_grand_hyatt_beijing,"The Red Moon bar, located inside the hotel, has live music almost every night. The hotel is located at one end of the Wangfujing Pedestrian Shopping Street and is connected to the Oriental Plaza Mall, providing plentiful shops and restaurants."
china_beijing_grand_mercure_hotel_xidan,"The hotel is near the Xidan shopping area, featuring malls with various dining options open until late, including KFC, McDonalds, and Subway. There's also a lobby bar popular with Westerners."
china_beijing_grand_millennium_beijing,The hotel is located in the Central Business District and next to the subway station. The hotel bar has a jazz band that can be noisy in the evenings.
china_beijing_grand_view_garden_hotel,"The hotel has a disco and bowling alley in the basement, and a night club that is more like private rooms for karaoke. The hotel is far from the city center and attractions, but taxis are readily available."
china_beijing_guangzhou_hotel,"The hotel is located near the Beijing Pedestrian Road with convenience stores, restaurants, street food, massage/spa, night market, bars, and pubs nearby. A busy mall area near the hotel plays loud music from early morning until late."
china_beijing_harmony_hotel,"The hotel is located near the Beijing Railway Station and subway, within walking distance of Wanfujing shopping street; the bar is minimal and not comfortable, requiring guests to head out after dark. One reviewer mentioned being asked about &quot;girl company&quot; via a phone call to their room."
china_beijing_hebei_hotel_beijing,"The hotel is located in a Hutong (narrow lane in a local neighborhood) and is within walking distance of Hou Hai, which has many bars and restaurants. The hotel is not near an underground station."
china_beijing_hilton_beijing,"The hotel is located in the Chaoyang area, near a street called ""Super Bar"" for nightlife. However, it is not within walking distance of many attractions and requires a taxi to reach shopping streets/malls."
china_beijing_hilton_beijing_wangfujing,"The Hilton Wangfujing is near Wangfujing Street and the Night Food Market, offering easy access to nightlife. There is a bar on the fifth floor with live music, and some reviewers mentioned a nightclub on the fifth floor."
china_beijing_holiday_inn_beijing_lido,"The hotel has two bars, Pig and Whistle (described as having loud music and being frequented by older men and younger women) and an upstairs bar. There are also dining and nightlife options in the surrounding area geared toward foreign tourists."
china_beijing_holiday_inn_central_plaza,"The hotel is located a taxi ride away from downtown evening areas, and about 15-25 minutes cab ride away from key tourist areas. The nightlife outside the hotel is nonexistent."
china_beijing_holiday_inn_chang_an_west,"This hotel is located on the west side of Beijing, a bit far from downtown and 30 minutes from areas such as Wangfujing and the Forbidden City, but near a subway station. The hotel is in a quiet residential neighborhood, some distance from the city center."
china_beijing_holiday_inn_downtown_beijing,"One reviewer mentioned that the concierge wrote directions to a nightlife area and they had a great time at a nightclub where an excellent Cuban band was playing Latin hits. Also, a reviewer noted the hotel is close to a subway station."
china_beijing_holiday_inn_express_beijing_minzuyuan,"The hotel is not close to major tourist attractions besides the Olympic venues, but it is near the Beitucheng Subway Station, at the intersection of Lines 10 and 8. There are several new Chinese fast food restaurants just behind the hotel."
china_beijing_holiday_inn_express_beijing_temple_of_heaven,"This hotel is located in a quiet residential area, a 25-minute drive from shopping areas, and not within walking distance of a subway; taxis are required to get to most places. There are some restaurants and a supermarket nearby, about a 7-minute walk away."
china_beijing_holiday_inn_express_beijing_wangjing,"The hotel is located above Focus Mall and across the road from Stellar International Cineplex, which has approximately 20 restaurants and a liquor store. The hotel is near the Hua Tang Shopping Center with many restaurants."
china_beijing_holiday_inn_temple_of_heaven,"The hotel is located in a normal residential area for Beijing residents, not in the main tourist area or downtown where all the action is. There is a KTV karaoke lounge upstairs with private booths."
china_beijing_hollyear_hotel_beijing,"The hotel's location is at the end of a street with major building construction occurring even into the night and early morning. The walls are thin, so guests can hear neighbors."
china_beijing_hotel_cote_cour_beijing,"This hotel is located in the center of Beijing, within walking distance of shopping, restaurants, and subway stations, and a short taxi ride to major sightseeing spots. It is located in a hutong, which is a short walk to bars and the city."
china_beijing_hotel_g,Hotel G is located near the bar area and clubs with popular areas within walking distance and easy access to cabs. The hotel has a wine bar that is a nice place to have a drink and often organizes theme parties.
china_beijing_hotel_ibis_beijing_sanyuan,"The hotel is located near the Sanyuanqiao subway station, providing easy access to all over Beijing city via the subway; however, there is not much in the vicinity of the hotel itself in terms of restaurants/shops. The hotel is located on the 3rd ring road in Chayoang district not far from Sanlitun and Lufthansa center."
china_beijing_hotel_kunlun,"The Kunlun Hotel is located in an area that reviewers found lacking in nightlife and quiet walking areas, with some mentioning that the immediate surroundings were not particularly interesting, and touts and beggars frequenting the area near a busy highway. The hotel does offer a variety of restaurants and bars within the hotel itself."
china_beijing_hotel_new_otani_chang_fu_gong,"The hotel is centrally located on Chang An Avenue, near the Jianguo Men subway station, the Silk Market, Friendship Store, and various restaurants (Sizzler, TGIF). The lobby bar is a good place to unwind."
china_beijing_howard_johnson_paragon,"The hotel is connected to a shopping mall with a range of restaurants and is near the Beijing Railway Station and subway, providing access to the city. There is a karaoke club on the second floor, but some reviewers noted limited in-house dining options."
china_beijing_huadu_hotel,The hotel is near Sanlitun bar Street and within walking distance of several restaurants and small supermarkets. It is also a short taxi ride from Yashow clothing markets and the Silk Markets.
china_beijing_hwa_apartment_hotel,"The hotel is located in the Xidan shopping area, surrounded by restaurants and shops, and near a subway station. The area is lively during the day but becomes quiet around 10:30 pm."
china_beijing_intercontinental_beijing_beichen,"The hotel is located a 30-minute taxi ride from Wangfujing and 20 minutes from Sanlitun Street. The hotel bar has live piano music, but drinks are expensive."
china_beijing_intercontinental_financial_street_beijing,"The Intercontinental Financial Street is located in the financial district, a 15-20 minute taxi ride from the CBD, and a short taxi ride away from the hutongs of Houhai, which contain bars and restaurants. The hotel has a bar with live music, but is not within walking distance of nightlife options."
china_beijing_jade_garden_hotel,Jade Garden Hotel is within walking distance of nightlife areas and Wangfujing night market. Restaurants are also very close in walking distance.
china_beijing_jian_guo_hotel,"The hotel is near many restaurants and bars and is centrally located, with taxis readily available. Charlie's Bar offers a wide range of libations and live music in the evenings."
china_beijing_jianguo_hotel_qianmen_beijing,The hotel has a theatre with Beijing opera performances and a bar on the second floor. Some reviewers mention a 20-minute walk to the nearest metro station and taxi rides to various locations.
china_beijing_jinqiao_international_apartment_hotel,"The Jinqiao Hotel Apartments is located off the second ring road, a 15Y cab ride from the train station and a short cab ride to city attractions. The hotel complex includes a bar and a Western-themed restaurant."
china_beijing_joy_city_hotel,"The hotel is next to the Joy City shopping mall with multiple restaurants and shops and is located close to the subway. The area around the hotel is lit up at night and has stores, restaurants, and shopping centers within walking distance."
china_beijing_jw_marriott_hotel_beijing,"The hotel is located near the Shin Kong shopping mall, which has restaurants, and is a short taxi ride away from attractions and markets. The hotel has a steak house, wine bar, French venue, bistro, and lounge."
china_beijing_kapok_hotel,"Hotel Kapok is within walking distance of Wangfujing, a shopping district, and the Donghuamen night market, offering a variety of food stalls. There are many restaurants and convenience stores near the hotel."
china_beijing_kellys_courtyard,"Kelly's Courtyard is located a five-minute walk from the main street with buses and taxis, and a subway line starting Sept 2009. It's a short walk to the Forbidden City and the Beihai/Houhai area, and an easy walk to the Xidan shopping area."
china_beijing_kempinski_hotel_beijing_lufthansa_center,"The hotel bar is a frequent meeting point for business travelers. The hotel is near a subway station, and one block away from the Hard Rock Cafe."
china_beijing_kuntai_royal_hotel,"The hotel is a 15-minute walk or 5-minute taxi ride from Sanlitun, an evening entertainment area with bars featuring live bands, and has a Latin bar/lounge (""Mojito"") around the corner. It is also located diagonally across from a fashion mall, and a short drive from Silk Street Bazaar."
china_beijing_lee_garden_service_apartment_beijing,Lee Gardens is located minutes away from the shops of Wanfujing and the Donganmen night food market. It is in the center of the city and close to many tourist attractions.
china_beijing_legendale_hotel_beijing,"The hotel is located near a big shopping center, Starbucks, and various dining options. It's a 15-20 minute walk to the Forbidden City and Tiananmen Square, and a 5-10 minute walk to the Subway."
china_beijing_loong_palace_hotel_resort,"The Loong Palace is located outside of the 5th ring highway, about 30 minutes from downtown Beijing, and requires a 40-50 RMB cab ride to reach many destinations. Due to its remote location, reviewers recommend staying closer to the city center for leisure purposes."
china_beijing_luxury_serviced_residence,"The hotel is located in the Chaoyang district, which contains commercial and nightlife/restaurant activity. A 7-Eleven is across the circle driveway."
china_beijing_marco_polo_parkside_hotel,The Marco Polo Parkside is located a 30-minute taxi ride from the city center and about a 10-15 minute walk to the nearest subway station. Some reviews mention the absence of nearby bars.
china_beijing_marriott_beijing_hotel_west,"The Marriott West Beijing is located on the west side of the city, a 30-45 minute taxi ride to the San Li Tun district. Many reviews mention that the hotel is not centrally located and requires taxi rides to reach major attractions and the city center."
china_beijing_marriott_executive_apartments_sandalwood,"The hotel is located in the Chaoyang district, on the outskirts of the city, and is a 15-20 minute taxi ride away from Yashow market and not far from the Pearl market. It is also a 10-15 minute taxi ride to a high-end mall with restaurants."
china_beijing_marriott_hotel_beijing_city_wall,"The hotel has a lobby bar and Ruby Bar, but the Ruby Bar was not scheduled to open until late October. There are also multiple restaurants and the hotel is not far from sights."
china_beijing_mercure_wanshang_beijing,"The hotel is located away from the noise of Beijing streets, outside the city center, and adjacent to ""ring five,"" but is a few minutes walk away from a subway station that will take you to the Forbidden City area in about 20-30 minutes. The hotel has a bar, and the bartenders were willing to stay up late."
china_beijing_michael_s_house_in_beijing,"Michael's House is located near a night market with street food vendors and is in a neighborhood that gives a feel of the local lifestyle. The hotel is located in a narrow lane, and at night, the street can be dark."
china_beijing_motel_268_beijing_wangfujing,"Located on Wangfujing Street, this hotel is near a night food market and within walking distance of the Forbidden City. Cabs are not allowed to stop in front of the hotel from 9am to 5pm."
china_beijing_new_world_hotel_jing_guang,"The hotel is located in the Chaoyang District, near the Chaoyang theater, with easy access to the subway and a 10-minute ride to the Silk Market. However, it is not well-located as there is no nightlife nearby, making a cab ride a necessity."
china_beijing_nikko_new_century_beijing_hotel,"The hotel is located a 10-15 minute taxi ride from the Old Quarter, and some reviewers mention it is not centrally located and requires taxi rides to get around. There are restaurants and shops in the hotel, as well as a store with supplies and groceries within walking distance."
china_beijing_novotel_peace_hotel,"The hotel is near Wanfujing shopping street and the Wangfujing Night Market (snack street), and the Houhai Bar and restaurant area is accessible by taxi. The hotel is located close to shopping centers with restaurants and is a short walk to a food market street."
china_beijing_novotel_xinqiao_beijing,"The hotel has a lounge and gallery bar, and is near a subway station with access to the city. Some reviews mention the bar lacks atmosphere."
china_beijing_oakwood_residence_beijing,"The Oakwood Residence is located on the Eastern 3rd ring of the city, next to modern shopping malls, restaurants and bars, and a 10-15 minute walk to Sanlitun shopping and bar street. Taxis are readily available from the hotel to reach other parts of the city."
china_beijing_orange_hotel_beijing_asia_games_village,"The hotel is located close to the subway, and official cabs are cheap. There is a restaurant next door, and it is a 20-minute walk or 10 RMB taxi ride to Pizza Hut."
china_beijing_oriental_bay_international_hotel,"The Oriental Bay International Hotel is near the Bell Tower, close to restaurants, and a short walk to the Hutong area by the lake, which has nightlife, bars, and restaurants. The hotel is also near a metro station for access to Beijing central."
china_beijing_oriental_culture_hotel,"The hotel is in a good area with good local restaurants, and close to a street full of restaurants. A subway station is a few blocks away."
china_beijing_oriental_garden_hotel,The hotel is located a 10 RMB cab ride from Sanlitun Lu (bar street) and a 3 minute walk from the Dongzhimen subway station. The hotel also has a shopping arcade.
china_beijing_palm_springs_beijing_marriott_executive_apartments,"The hotel is located a taxi ride away from the tourist parts of the city, with easy access to Sanlitun and the Workers Stadium area. There are restaurants within walking distance near the west gate of Chaoyang Park, and the location has easy access, without traffic, to the CBD."
china_beijing_park_hyatt_beijing,"The hotel has a bar, China Grill, and Lobby Lounge. The hotel is near subway lines 1 and 10."
china_beijing_park_plaza_beijing_wangfujing,"The hotel is within walking distance of Wangfujing Street and night markets, with taxis readily available to other destinations. It is close to shops and has a lobby bar with live music."
china_beijing_peixin_hotel_beijing,The hotel is located about 10-15 minutes by taxi from the city center and major sites. There are a few small stores and a McDonalds near the hotel.
china_beijing_plaza_hotel_beijing,"The hotel is located on one of Beijing's ring roads, a short taxi ride away from major sites, with a KFC next door. There are few restaurants or shops in the immediate vicinity."
